org_name,repo_name,stars_count,last_pushed_date,source_file
shopify,shopify_django_app,502,2025-05-13,data/orgs\shopify\shopify_repos_filter1_20250812_with_prs_20250812.csv
shopify,omniauth-shopify-oauth2,92,2025-08-04,data/orgs\shopify\shopify_repos_filter1_20250812_with_prs_20250812.csv
shopify,shopify.github.com,520,2025-05-23,data/orgs\shopify\shopify_repos_filter1_20250812_with_prs_20250812.csv
shopify,dukpt,45,2025-05-13,data/orgs\shopify\shopify_repos_filter1_20250812_with_prs_20250812.csv
shopify,identity_cache,1940,2025-08-04,data/orgs\shopify\shopify_repos_filter1_20250812_with_prs_20250812.csv
shopify,memcached_store,37,2025-08-04,data/orgs\shopify\shopify_repos_filter1_20250812_with_prs_20250812.csv
shopify,browser_sniffer,119,2025-08-04,data/orgs\shopify\shopify_repos_filter1_20250812_with_prs_20250812.csv
shopify,sysv_mq,86,2025-05-13,data/orgs\shopify\shopify_repos_filter1_20250812_with_prs_20250812.csv
shopify,goreferrer,64,2025-06-17,data/orgs\shopify\shopify_repos_filter1_20250812_with_prs_20250812.csv
shopify,activerecord-rescue_from_duplicate,91,2025-08-04,data/orgs\shopify\shopify_repos_filter1_20250812_with_prs_20250812.csv
shopify,pyactiveresource,102,2025-08-12,data/orgs\shopify\shopify_repos_filter1_20250812_with_prs_20250812.csv
shopify,go-lua,3321,2025-07-18,data/orgs\shopify\shopify_repos_filter1_20250812_with_prs_20250812.csv
shopify,lhm,199,2025-07-08,data/orgs\shopify\shopify_repos_filter1_20250812_with_prs_20250812.csv
shopify,shipit-engine,1451,2025-07-22,data/orgs\shopify\shopify_repos_filter1_20250812_with_prs_20250812.csv
shopify,ejson,1433,2025-08-11,data/orgs\shopify\shopify_repos_filter1_20250812_with_prs_20250812.csv
shopify,shopify-css-import,84,2025-07-22,data/orgs\shopify\shopify_repos_filter1_20250812_with_prs_20250812.csv
shopify,toxiproxy,11412,2025-08-11,data/orgs\shopify\shopify_repos_filter1_20250812_with_prs_20250812.csv
shopify,twine,117,2025-05-29,data/orgs\shopify\shopify_repos_filter1_20250812_with_prs_20250812.csv
shopify,semian,1423,2025-08-12,data/orgs\shopify\shopify_repos_filter1_20250812_with_prs_20250812.csv
shopify,themekit,1249,2025-06-24,data/orgs\shopify\shopify_repos_filter1_20250812_with_prs_20250812.csv
shopify,toxiproxy-ruby,122,2025-08-11,data/orgs\shopify\shopify_repos_filter1_20250812_with_prs_20250812.csv
shopify,grizzly_ber,15,2025-08-11,data/orgs\shopify\shopify_repos_filter1_20250812_with_prs_20250812.csv
shopify,homebrew-shopify,49,2025-08-06,data/orgs\shopify\shopify_repos_filter1_20250812_with_prs_20250812.csv
