[2025-08-18 17:24:03] === Starting Large Orgs Bucket 1 Repo Health Collection ===
[2025-08-18 17:24:03] Collecting: commits_last_30d + PRs_closed_30d
[2025-08-18 17:24:03] Input file: data/repos/batch_Aug_18/org_repo_counts_large_bucket1.csv
[2025-08-18 17:24:03] Output file: data/output/repo_health_large_bucket1.csv
[2025-08-18 17:24:03] Starting repo extraction for 13 organizations
[2025-08-18 17:24:03] Processing org 1/13: Walmart (walmartlabs)
[2025-08-18 17:24:11]   OK walmartlabs/concord: 0 commits, 95 PRs
[2025-08-18 17:24:13]   OK walmartlabs/vespa-helm: 16 commits, 8 PRs
[2025-08-18 17:24:16]   OK walmartlabs/cookie-cutter: 0 commits, 65 PRs
[2025-08-18 17:24:16] Processing org 2/13: Amazon (aws)
[2025-08-18 17:24:34]   OK aws/eks-distro: 66 commits, 89 PRs
[2025-08-18 17:24:37]   OK aws/aws-lambda-nodejs-runtime-interface-client: 5 commits, 58 PRs
[2025-08-18 17:24:40]   OK aws/aws-sdk-java-v2: 0 commits, 83 PRs
[2025-08-18 17:24:43]   OK aws/aws-iot-device-sdk-python-v2: 2 commits, 81 PRs
[2025-08-18 17:24:46]   OK aws/sagemaker-distribution: 34 commits, 41 PRs
[2025-08-18 17:24:49]   OK aws/aws-cdk-rfcs: 15 commits, 80 PRs
[2025-08-18 17:24:51]   OK aws/aws-sam-cli: 0 commits, 66 PRs
[2025-08-18 17:24:54]   OK aws/eks-anywhere: 29 commits, 91 PRs
[2025-08-18 17:24:57]   OK aws/amazon-cloudwatch-agent: 25 commits, 73 PRs
[2025-08-18 17:25:00]   OK aws/aws-sdk-net: 100 commits, 91 PRs
[2025-08-18 17:25:04]   OK aws/aws-cdk: 100 commits, 70 PRs
[2025-08-18 17:25:06]   OK aws/aws-sdk-cpp: 64 commits, 86 PRs
[2025-08-18 17:25:09]   OK aws/aws-sdk-ruby: 0 commits, 91 PRs
[2025-08-18 17:25:12]   OK aws/graph-explorer: 24 commits, 99 PRs
[2025-08-18 17:25:15]   OK aws/amazon-vpc-cni-k8s: 0 commits, 63 PRs
[2025-08-18 17:25:18]   OK aws/aws-cryptographic-material-providers-library: 22 commits, 54 PRs
[2025-08-18 17:25:20]   OK aws/aws-dynamodb-encryption-java: 0 commits, 3 PRs
[2025-08-18 17:25:22]   OK aws/code-editor: 19 commits, 34 PRs
[2025-08-18 17:25:25]   OK aws/karpenter-provider-aws: 33 commits, 79 PRs
[2025-08-18 17:25:26]   OK aws/api-models-aws: 20 commits, 13 PRs
[2025-08-18 17:25:29]   OK aws/aws-advanced-go-wrapper: 14 commits, 80 PRs
[2025-08-18 17:25:32]   OK aws/aws-lc: 43 commits, 83 PRs
[2025-08-18 17:25:35]   OK aws/eks-hybrid: 95 commits, 87 PRs
[2025-08-18 17:25:37]   OK aws/event-ruler: 1 commits, 90 PRs
[2025-08-18 17:25:40]   OK aws/jsii-compiler: 23 commits, 100 PRs
[2025-08-18 17:25:42]   OK aws/amazon-q-developer-cli-autocomplete: 27 commits, 40 PRs
[2025-08-18 17:25:45]   OK aws/aws-advanced-python-wrapper: 25 commits, 80 PRs
[2025-08-18 17:25:48]   OK aws/deep-learning-containers: 0 commits, 36 PRs
[2025-08-18 17:25:50]   OK aws/serverless-java-container: 0 commits, 33 PRs
[2025-08-18 17:25:52]   OK aws/bedrock-agentcore-sdk-python: 13 commits, 22 PRs
[2025-08-18 17:25:55]   OK aws/amazon-q-developer-cli: 99 commits, 77 PRs
[2025-08-18 17:25:56]   OK aws/jsii-superchain: 3 commits, 14 PRs
[2025-08-18 17:25:59]   OK aws/amazon-mwaa-docker-images: 20 commits, 81 PRs
[2025-08-18 17:26:02]   OK aws/aws-toolkit-common: 2 commits, 45 PRs
[2025-08-18 17:26:04]   OK aws/aws-signer-notation-plugin: 0 commits, 15 PRs
[2025-08-18 17:26:07]   OK aws/aws-sam-build-images: 0 commits, 95 PRs
[2025-08-18 17:26:09]   OK aws/amazon-ecs-agent: 0 commits, 68 PRs
[2025-08-18 17:26:11]   OK aws/aws-cdk-cli: 32 commits, 82 PRs
[2025-08-18 17:26:14]   OK aws/amazon-ecs-ami: 21 commits, 67 PRs
[2025-08-18 17:26:17]   OK aws/jsii-rosetta: 31 commits, 100 PRs
[2025-08-18 17:26:19]   OK aws/s2n-tls: 24 commits, 55 PRs
[2025-08-18 17:26:22]   OK aws/aws-k8s-tester: 24 commits, 92 PRs
[2025-08-18 17:26:25]   OK aws/aws-secretsmanager-agent: 1 commits, 35 PRs
[2025-08-18 17:26:29]   OK aws/secrets-store-csi-driver-provider-aws: 4 commits, 41 PRs
[2025-08-18 17:26:32]   OK aws/aws-cli: 0 commits, 83 PRs
[2025-08-18 17:26:35]   OK aws/amazon-vpc-resource-controller-k8s: 0 commits, 70 PRs
[2025-08-18 17:26:37]   OK aws/sagemaker-hyperpod-recipes: 8 commits, 30 PRs
[2025-08-18 17:26:40]   OK aws/aws-toolkit-azure-devops: 0 commits, 93 PRs
[2025-08-18 17:26:43]   OK aws/aws-toolkit-jetbrains: 25 commits, 86 PRs
[2025-08-18 17:26:46]   OK aws/sagemaker-code-editor: 0 commits, 67 PRs
[2025-08-18 17:26:49]   OK aws/aws-toolkit-vscode: 0 commits, 83 PRs
[2025-08-18 17:26:52]   OK aws/aws-for-fluent-bit: 0 commits, 81 PRs
[2025-08-18 17:26:55]   OK aws/language-servers: 100 commits, 92 PRs
[2025-08-18 17:26:58]   OK aws/eks-anywhere-build-tooling: 22 commits, 95 PRs
[2025-08-18 17:27:00]   OK aws/homebrew-tap: 0 commits, 88 PRs
[2025-08-18 17:27:04]   OK aws/aws-lambda-builders: 8 commits, 66 PRs
[2025-08-18 17:27:06]   OK aws/firelens-datajet: 18 commits, 81 PRs
[2025-08-18 17:27:09]   OK aws/aws-parallelcluster: 0 commits, 94 PRs
[2025-08-18 17:27:12]   OK aws/aws-tools-for-powershell: 27 commits, 11 PRs
[2025-08-18 17:27:13]   OK aws/amazon-sagemaker-examples-community: 2 commits, 23 PRs
[2025-08-18 17:27:16]   OK aws/aws-advanced-nodejs-wrapper: 7 commits, 64 PRs
[2025-08-18 17:27:18]   OK aws/nova-act: 2 commits, 22 PRs
[2025-08-18 17:27:22]   OK aws/aws-sdk-js-v3: 100 commits, 89 PRs
[2025-08-18 17:27:25]   OK aws/eks-anywhere-packages: 5 commits, 90 PRs
[2025-08-18 17:27:28]   OK aws/aws-sdk-go-v2: 92 commits, 85 PRs
[2025-08-18 17:27:30]   OK aws/amazon-s3-encryption-client-java: 8 commits, 37 PRs
[2025-08-18 17:27:33]   OK aws/aws-sdk-php: 0 commits, 91 PRs
[2025-08-18 17:27:35]   OK aws/sagemaker-hyperpod-cli: 30 commits, 86 PRs
[2025-08-18 17:27:38]   OK aws/aws-application-networking-k8s: 4 commits, 75 PRs
[2025-08-18 17:27:40]   OK aws/aws-parallelcluster-cookbook: 0 commits, 87 PRs
[2025-08-18 17:27:45]   OK aws/amazon-cloudwatch-agent-operator: 1 commits, 81 PRs
[2025-08-18 17:27:48]   OK aws/eks-distro-prow-jobs: 10 commits, 89 PRs
[2025-08-18 17:27:50]   OK aws/aws-lambda-base-images: 0 commits, 1 PRs
