[2025-08-18 17:24:03] === Starting Large Orgs Bucket 3 Repo Health Collection ===
[2025-08-18 17:24:03] Collecting: commits_last_30d + PRs_closed_30d
[2025-08-18 17:24:03] Input file: data/repos/batch_Aug_18/org_repo_counts_large_bucket3.csv
[2025-08-18 17:24:03] Output file: data/output/repo_health_large_bucket3.csv
[2025-08-18 17:24:03] Starting repo extraction for 13 organizations
[2025-08-18 17:24:03] Processing org 1/13: PayPal (paypal)
[2025-08-18 17:24:12]   OK paypal/paypal-messages-android: 0 commits, 56 PRs
[2025-08-18 17:24:14]   OK paypal/paypal-common-components: 0 commits, 63 PRs
[2025-08-18 17:24:16]   OK paypal/fullstack-phone: 0 commits, 8 PRs
[2025-08-18 17:24:19]   OK paypal/paypal-checkout-components: 14 commits, 74 PRs
[2025-08-18 17:24:21]   OK paypal/paypal-android: 1 commits, 93 PRs
[2025-08-18 17:24:23]   OK paypal/postman-collections: 3 commits, 2 PRs
[2025-08-18 17:24:25]   OK paypal/paypal-sdk-release: 18 commits, 51 PRs
[2025-08-18 17:24:28]   OK paypal/paypal-sdk-client: 6 commits, 81 PRs
[2025-08-18 17:24:31]   OK paypal/paypal-sdk-constants: 3 commits, 79 PRs
[2025-08-18 17:24:33]   OK paypal/paypal-ios: 1 commits, 85 PRs
[2025-08-18 17:24:35]   OK paypal/paypal-googlepay-component: 5 commits, 18 PRs
[2025-08-18 17:24:38]   OK paypal/paypal-js: 0 commits, 66 PRs
[2025-08-18 17:24:40]   OK paypal/PayPal-Dotnet-Server-SDK: 1 commits, 11 PRs
[2025-08-18 17:24:43]   OK paypal/paypal-messaging-components: 0 commits, 87 PRs
[2025-08-18 17:24:45]   OK paypal/heap-dump-tool: 8 commits, 21 PRs
[2025-08-18 17:24:47]   OK paypal/agent-toolkit: 2 commits, 39 PRs
[2025-08-18 17:24:49]   OK paypal/paypal-rest-api-specifications: 2 commits, 7 PRs
[2025-08-18 17:24:49] Processing org 2/13: HPE (hewlettpackard)
[2025-08-18 17:25:06]   OK hewlettpackard/morpheus-nutanix-prism-element-plugin: 4 commits, 32 PRs
