Name,Field,Stars,Forks,Contributors,Open Issues,Open Pull Requests,Date Created,Last Active,Top Languages
tensorflow/tensorflow,AI/ML,191135,74765,4908,1538,651,2015-11-07,2025-08-11,"C++ (55.9%), Python (25.6%), MLIR (6.3%), HTML (4.3%), Starlark (4.1%)"
pytorch/pytorch,AI/ML,92279,24914,5809,16738,1337,2016-08-13,2025-08-11,"Python (58.9%), C++ (32.9%), Cuda (2.9%), C (1.5%), Objective-C++ (1.1%)"
huggingface/transformers,AI/ML,148182,29977,3468,1968,886,2018-10-29,2025-08-11,"Python (99.6%), Cuda (0.3%), Dockerfile (0.1%), C++ (0.0%), C (0.0%)"
scikit-learn/scikit-learn,AI/ML,62964,26120,3363,2156,574,2010-08-17,2025-08-11,"Python (92.6%), Cython (5.3%), C++ (1.1%), Shell (0.3%), C (0.3%)"
ollama/ollama,AI/ML,149896,12782,510,2101,341,2023-06-26,2025-08-10,"Go (94.8%), C (2.0%), Shell (0.9%), TypeScript (0.8%), PowerShell (0.5%)"
microsoft/ML-For-Beginners,AI/ML,76450,17042,140,13,7,2021-03-03,2025-08-07,"HTML (92.6%), Jupyter Notebook (7.3%), Python (0.1%), Vue (0.0%), JavaScript (0.0%)"
facebookresearch/detectron2,AI/ML,32535,7753,279,574,109,2019-09-05,2025-07-07,"Python (94.0%), Cuda (3.2%), C++ (2.3%), Shell (0.4%), Dockerfile (0.1%)"
openai/whisper,AI/ML,86423,10632,79,90,90,2022-09-16,2025-06-26,Python (100.0%)
CompVis/stable-diffusion,AI/ML,71301,10490,8,606,75,2022-08-10,2024-06-18,"Jupyter Notebook (88.9%), Python (11.1%), Shell (0.1%)"
ageitgey/face_recognition,AI/ML,55224,13652,54,819,45,2017-03-03,2024-08-21,"Python (79.2%), Dockerfile (15.7%), Makefile (5.2%)"
keras-team/keras,AI/ML,63300,19607,1424,289,62,2015-03-28,2025-08-09,"Python (100.0%), Shell (0.0%)"
deepfakes/faceswap,AI/ML,54383,13429,98,40,6,2017-12-19,2025-07-11,"Python (98.7%), Shell (0.9%), NSIS (0.5%)"
fastai/fastai,AI/ML,27323,7639,259,261,31,2017-09-09,2025-08-07,"Jupyter Notebook (98.5%), Python (1.5%), CSS (0.0%)"
facebookresearch/faiss,AI/ML,36573,3998,239,293,61,2017-02-07,2025-08-11,"C++ (58.7%), Python (19.5%), Cuda (17.8%), C (1.7%), CMake (1.2%)"
microsoft/DeepSpeed,AI/ML,39703,4509,404,1195,110,2020-01-23,2025-08-11,"Python (71.4%), C++ (18.8%), Cuda (8.9%), Shell (0.4%), C (0.3%)"
ray-project/ray,AI/ML,38417,6694,1315,3014,303,2016-10-25,2025-08-11,"Python (73.8%), C++ (19.1%), Java (2.7%), TypeScript (1.5%), Starlark (1.3%)"
dmlc/xgboost,AI/ML,27221,8795,666,474,59,2014-02-06,2025-08-11,"C++ (43.6%), Python (21.3%), Cuda (17.2%), R (7.5%), Scala (4.8%)"
streamlit/streamlit,AI/ML,40843,3639,288,1242,131,2019-08-24,2025-08-11,"Python (58.8%), TypeScript (40.0%), JavaScript (0.8%), Makefile (0.1%), HTML (0.1%)"
gradio-app/gradio,AI/ML,39416,3023,434,441,8,2018-12-19,2025-08-11,"Python (52.1%), Svelte (21.6%), TypeScript (19.8%), mdsvex (3.4%), CSS (1.1%)"
explosion/spaCy,AI/ML,32149,4558,770,196,31,2014-07-03,2025-05-28,"Python (54.1%), MDX (31.2%), Cython (10.5%), JavaScript (2.6%), Sass (0.8%)"
nestjs/nest,TypeScript,72159,7973,619,62,32,2017-02-04,2025-08-11,"TypeScript (99.9%), JavaScript (0.1%), Shell (0.0%)"
prisma/prisma,TypeScript,43480,1831,310,2331,30,2019-06-20,2025-08-11,"TypeScript (98.7%), JavaScript (1.2%), Shell (0.1%), Dockerfile (0.0%), PLpgSQL (0.0%)"
adonisjs/core,TypeScript,18098,651,70,5,1,2015-08-15,2025-07-17,"TypeScript (99.8%), JavaScript (0.2%)"
typeorm/typeorm,TypeScript,35649,6426,1178,2467,133,2016-02-29,2025-08-09,"TypeScript (99.8%), JavaScript (0.2%)"
sequelize/sequelize,TypeScript,30108,4297,1243,984,93,2010-07-22,2025-08-10,"TypeScript (50.6%), JavaScript (49.1%), Shell (0.2%), Batchfile (0.0%)"
trpc/trpc,TypeScript,38166,1397,475,189,49,2020-07-18,2025-08-06,"TypeScript (80.9%), MDX (16.9%), JavaScript (1.1%), CSS (1.0%)"
fastify/fastify,TypeScript,34317,2465,835,120,44,2016-09-28,2025-08-11,"JavaScript (91.3%), TypeScript (8.7%), Shell (0.0%)"
taskforcesh/bullmq,TypeScript,7362,489,174,314,60,2018-12-19,2025-08-10,"TypeScript (82.4%), Lua (8.8%), Python (8.4%), JavaScript (0.4%), Shell (0.1%)"
mikro-orm/mikro-orm,TypeScript,8427,586,288,58,17,2018-03-15,2025-08-11,"TypeScript (99.2%), JavaScript (0.8%), Batchfile (0.0%)"
drizzle-team/drizzle-orm,TypeScript,29672,976,127,1699,277,2021-06-24,2025-08-11,"TypeScript (98.7%), JavaScript (1.3%)"
