ID,Organization Name
1,3i Group Plc
2,Admiral Group
3,Airtel Africa plc
4,Alliance Witan plc
5,Anglo American Plc
6,Antofagasta plc
7,Ashtead Group plc
8,Associated British Foods plc
9,AstraZeneca plc
10,Auto Trader Group plc
11,Aviva Plc
12,Babcock International Group
13,BAE Systems plc
14,Barclays plc
15,Barratt Redrow Plc
16,Beazley plc
17,Berkeley Group Holdings plc
18,BP Plc
19,British American Tobacco plc
20,BT Group plc
21,Bunzl plc
22,Centrica plc
23,Coca-Cola Europacific Partners Plc
24,Coca-Cola HBC AG
25,Compass Group plc
26,ConvaTec Group Plc
27,Croda International plc
28,DCC plc
29,Diageo plc
30,Diploma plc
31,easyJet plc
32,Endeavour Mining plc
33,Entain plc
34,Experian Plc
35,F&C Investment Trust plc
36,Fresnillo
37,Games Workshop Group
38,Glencore plc
39,GSK plc
40,Haleon plc
41,Halma plc
42,Hikma Pharmaceuticals
43,Hiscox Ltd
44,Howden Joinery Group Plc
45,HSBC Holdings plc
46,ICG Plc
47,IMI plc
48,Imperial Brands Group
49,Informa plc
50,InterContinental Hotels Group plc
51,International Consolidated Airlines Group SA
52,Intertek Group plc
53,JD Sports Fashion plc
54,Kingfisher
55,Land Securities Group plc
56,Legal & General Group plc
57,Lloyds Banking Group plc
58,London Stock Exchange Group plc
59,LondonMetric Property plc
60,M&G plc
61,Marks & Spencer Group plc
62,Melrose Industries plc
63,Mondi plc
64,National Grid
65,NatWest Group plc
66,Next plc
67,Pearson plc
68,Pershing Square Holdings Ltd
69,Persimmon plc
70,Phoenix Group Holdings Plc
71,Polar Capital Technology Trust plc
72,Prudential plc
73,Reckitt Benckiser Group Plc
74,RELX plc
75,Rentokil Initial Plc
76,Rightmove plc
77,Rio Tinto plc
78,Rolls Royce Holdings Plc
79,Sage Group plc
80,Sainsbury (J) plc
81,Schroders plc
82,Scottish Mortgage Investment Trust plc
83,Segro Plc
84,Severn Trent Plc
85,Shell plc
86,Smith & Nephew plc
87,Smiths Group Plc
88,Spirax Group plc
89,SSE plc
90,St James's Place Plc
91,Standard Chartered plc
92,Taylor Wimpey plc
93,Tesco plc
94,Unilever plc
95,Unite Group
96,United Utilities Group Plc
97,Vodafone Group plc
98,Weir Group plc
99,Whitbread plc
100,WPP plc
