index,organisation
1,3i Infrastructure
2,4imprint Group
3,Aberdeen Group
4,Aberforth Smaller Companies Trust
5,Abrdn Asia Focus
6,AJ Bell
7,Alfa Financial Software Holdings
8,Allianz Technology Trust
9,Alpha Group International
10,AO World
11,Apax Global Alpha
12,Ashmore Group
13,Ashoka India Equity Inv Trust
14,ASOS
15,Aston Martin Lagonda
16,Atalaya Mining Copper SA
17,Auction Technology Group
18,AVI Global Trust
19,Avon Technologies
20,B&M European Value Retail SA
21,Baillie Gifford Japan Trust
22,Baillie Gifford US Growth Trust
23,Bakkavor Group
24,Balfour Beatty
25,Baltic Classifieds Group
26,Bankers Investment Trust
27,Barr (A.G.)
28,Bellway
29,BH Macro
30,Big Yellow Group
31,BlackRock Greater Europe Investment Trust
32,BlackRock Smaller Companies Trust
33,BlackRock Throgmorton Trust
34,BlackRock World Mining Trust
35,Bloomsbury Publishing
36,Bluefield Solar Income Fund
37,Bodycote
38,Breedon Group
39,Bridgepoint Group
40,British Land Co
41,Brunner Investment Trust
42,Burberry Group
43,Bytes Technology Group
44,C & C Group
45,Caledonia Investments
46,Capital Gearing Trust
47,Carnival
48,Chemring Group
49,Chesnara
50,Chrysalis Investments
51,City Of London Investment Trust
52,Clarkson
53,Close Brothers Group
54,CMC Markets
55,Coats Group
56,Computacenter
57,Cranswick
58,Crest Nicholson Holdings
59,Currys
60,Deliveroo
61,Derwent London
62,DiscoverIE Group
63,Diversified Energy Company
64,Domino's Pizza Group
65,Dowlais Group
66,Dr Martens
67,Drax Group
68,Dunelm Group
69,Edinburgh Investment Trust
70,Edinburgh Worldwide Investment Trust
71,Elementis
72,Empiric Student Property
73,Energean
74,European Opportunities Trust
75,Fidelity China Special Situations
76,Fidelity Emerging Markets
77,Fidelity European Trust
78,Fidelity Special Values
79,Finsbury Growth & Income Trust
80,FirstGroup
81,Foresight Environmental Infrastructure
82,Foresight Group Holdings
83,Foresight Solar Fund
84,Frasers Group
85,Future
86,Gamma Communications
87,GCP Infrastructure Investments
88,Genuit Group
89,Genus
90,Goodwin
91,Grafton Group
92,Grainger
93,Great Portland Estates
94,Greencoat UK Wind
95,Greencore Group
96,Greggs
97,Hammerson
98,Harbour Energy
99,Harbourvest Global Private Equity
100,Harworth Group
101,Hays
102,Helios Towers
103,Henderson European Trust
104,Henderson Smaller Cos Investment Trust
105,Herald Investment Trust
106,HG Capital Trust
107,HICL Infrastructure
108,Hill & Smith
109,Hilton Food Group
110,Hochschild Mining
111,Hollywood Bowl Group
112,Hunting
113,Ibstock
114,ICG Enterprise Trust
115,IG Group Holdings
116,Impax Environmental Markets
117,Inchcape
118,Integrafin Holdings
119,International Public Partnerships
120,International Workplace Group
121,Invesco Asia Dragon Trust
122,Investec
123,IP Group
124,Ithaca Energy
125,ITV
