ID,Organization Name,GitHub URL
1,3i Group Plc,no github presence
2,Admiral Group,no github presence
3,Airtel Africa plc,no github presence
4,Alliance Witan plc,no github presence
5,Anglo American Plc,no github presence
6,Antofagasta plc,no github presence
7,Ashtead Group plc,no github presence
8,Associated British Foods plc,no github presence
9,AstraZeneca plc,https://github.com/AstraZeneca
10,Auto Trader Group plc,https://github.com/autotraderuk
11,Aviva Plc,no github presence
12,Babcock International Group,no github presence
13,BAE Systems plc,https://github.com/baesystemsdigital
14,Barclays plc,https://github.com/Barclays
15,Barratt Redrow Plc,no github presence
16,Beazley plc,https://github.com/BeazleyLabs
17,Berkeley Group Holdings plc,no github presence
18,BP Plc,https://github.com/bp
19,British American Tobacco plc,no github presence
20,BT Group plc,https://github.com/BT-OpenSource
21,Bunzl plc,no github presence
22,Centrica plc,https://github.com/ConnectedHomes 
23,Coca-Cola Europacific Partners Plc,no github presence 
24,Coca-Cola HBC AG,no github presence
25,Compass Group plc,https://github.com/compassdigital 
26,ConvaTec Group Plc,no github presence
27,Croda International plc,no github presence
28,DCC plc,no github presence
29,Diageo plc,no github presence
30,Diploma plc,no github presence
31,easyJet plc,https://github.com/Easyjet
32,Endeavour Mining plc, https://github.com/endeavourmining
33,Entain plc, https://github.com/ladbrokescoral
34,Experian Plc, https://github.com/experianplc
35,F&C Investment Trust plc,no github presence
36,Fresnillo,no github presence
37,Games Workshop Group,https://github.com/Games-Workshop
38,Glencore plc,no github presence
39,GSK plc,https://github.com/GSK-Biostatistics
40,Haleon plc,no github presence
41,Halma plc, no github presence
42,Hikma Pharmaceuticals,no github presence
43,Hiscox Ltd, https://github.com/hiscox
44,Howden Joinery Group Plc, no github presence
45,HSBC Holdings plc, https://github.com/hsbc
46,ICG Plc,no github presence
47,IMI plc,no github presence
48,Imperial Brands Group,no github presence
49,Informa plc,no github presence
50,InterContinental Hotels Group plc,no github presence
51,International Consolidated Airlines Group SA,no github presence
52,Intertek Group plc,no github presence
53,JD Sports Fashion plc,https://github.com/JDSportsFashionPlc
54,Kingfisher,no github presence
55,Land Securities Group plc,https://github.com/Landsec
56,Legal & General Group plc,https://github.com/Legal-and-General
57,Lloyds Banking Group plc,https://github.com/lloyds-banking-group
58,London Stock Exchange Group plc,https://github.com/LSEG
59,LondonMetric Property plc,no github presence
60,M&G plc,no github presence
61,Marks & Spencer Group plc,https://github.com/Marksandspencer
62,Melrose Industries plc,no github presence
63,Mondi plc,no github presence
64,National Grid,no github presence
65,NatWest Group plc,https://github.com/natwest
66,Next plc,no github presence
67,Pearson plc,https://github.com/PearsonEducation
68,Pershing Square Holdings Ltd,no github presence
69,Persimmon plc,no github presence
70,Phoenix Group Holdings Plc,no github presence
71,Polar Capital Technology Trust plc,no github presence
72,Prudential plc,https://github.com/prudential
73,Reckitt Benckiser Group Plc,https://github.com/reckitt
74,RELX plc,https://github.com/elsevierlabs-os
75,Rentokil Initial Plc,no github presence
76,Rightmove plc,https://github.com/rightmove
77,Rio Tinto plc,https://github.com/rio-tinto
78,Rolls Royce Holdings Plc,https://github.com/rropen
79,Sage Group plc,https://github.com/Sage
80,Sainsbury (J) plc,https://github.com/jsainsburyplc
81,Schroders plc, https://github.com/Schroders
82,Scottish Mortgage Investment Trust plc, no github presence
83,Segro Plc, no github presence
84,Severn Trent Plc,https://github.com/Severntrent
85,Shell plc,no github presence
86,Smith & Nephew plc,no github presence
87,Smiths Group Plc,no github presence
88,Spirax Group plc,no github presence
89,SSE plc,no github presence
90,St James's Place Plc,no github presence
91,Standard Chartered plc,https://github.com/standardchartered
92,Taylor Wimpey plc,no github presence
93,Tesco plc,https://github.com/tesco
94,Unilever plc,https://github.com/unilever
95,Unite Group,https://github.com/UniteStudents
96,United Utilities Group Plc,no github presence
97,Vodafone Group plc,https://github.com/vodafone
98,Weir Group plc,https://github.com/weirgroup
99,Whitbread plc,no github presence
100,WPP plc,https://github.com/WPP-Public
