ID,Organization Name,GitHub URL
1,3i Infrastructure,no github presence
2,4imprint Group,https://github.com/4imprint
3,Aberdeen Group,no github presence
4,Aberforth Smaller Companies Trust,no github presence
5,Abrdn Asia Focus,no github presence
6,AJ Bell,no github presence
7,Alfa Financial Software Holdings,https://github.com/alfasoftware
8,Allianz Technology Trust,no github presence
9,Alpha Group International,no github presence
10,AO World,no github presence
11,Apax Global Alpha,no github presence
12,Ashmore Group,no github presence
13,Ashoka India Equity Inv Trust,no github presence
14,ASOS,https://github.com/ASOS
15,Aston Martin Lagonda,no github presence
16,Atalaya Mining Copper SA,no github presence
17,Auction Technology Group,no github presence
18,AVI Global Trust,no github presence
19,Avon Technologies,no github presence
20,B&M European Value Retail SA,no github presence
21,Baillie Gifford Japan Trust,no github presence
22,Baillie Gifford US Growth Trust,no github presence
23,Bakkavor Group,no github presence
24,Balfour Beatty, no github presence
25,Baltic Classifieds Group,no github presence
26,Bankers Investment Trust,no github presence
27,Barr (A.G.),no github presence
28,Bellway,no github presence
29,BH Macro,no github presence
30,Big Yellow Group, no github presence
31,BlackRock Greater Europe Investment Trust,no github presence
32,BlackRock Smaller Companies Trust,no github presence
33,BlackRock Throgmorton Trust,no github presence
34,BlackRock World Mining Trust,no github presence
35,Bloomsbury Publishing,https://github.com/bloomsburyai
36,Bluefield Solar Income Fund,no github presence
37,Bodycote,no github presence
38,Breedon Group,no github presence
39,Bridgepoint Group,no github presence
40,British Land Co,no github presence
41,Brunner Investment Trust,no github presence
42,Burberry Group,https://github.com/burberry
43,Bytes Technology Group,no github presence
44,C & C Group,no github presence
45,Caledonia Investments,no github presence
46,Capital Gearing Trust,no github presence
47,Carnival,no github presence
48,Chemring Group,no github presence
49,Chesnara,no github presence
50,Chrysalis Investments,no github presence
51,City Of London Investment Trust,no github presence
52,Clarkson,no github presence
53,Close Brothers Group,no github presence
54,CMC Markets,no github presence
55,Coats Group,https://github.com/Coats
56,Computacenter,https://github.com/computacenter
57,Cranswick,no github presence
58,Crest Nicholson Holdings,no github presence
59,Currys,https://github.com/currys-co-uk
60,Deliveroo,https://github.com/deliveroo
61,Derwent London,no github presence
62,DiscoverIE Group,no github presence
63,Diversified Energy Company,no github presence
64,Domino's Pizza Group,no github presence
65,Dowlais Group,no github presence
66,Dr Martens,no github presence
67,Drax Group,no github presence
68,Dunelm Group,no github presence
69,Edinburgh Investment Trust,no github presence
70,Edinburgh Worldwide Investment Trust,no github presence
71,Elementis,no github presence
72,Empiric Student Property,no github presence
73,Energean,no github presence
74,European Opportunities Trust,no github presence
75,Fidelity China Special Situations,no github presence
76,Fidelity Emerging Markets,no github presence
77,Fidelity European Trust,no github presence
78,Fidelity Special Values,no github presence
79,Finsbury Growth & Income Trust,no github presence
80,FirstGroup,no github presence
81,Foresight Environmental Infrastructure,no github presence
82,Foresight Group Holdings,no github presence
83,Foresight Solar Fund,no github presence
84,Frasers Group,https://github.com/frasersgroup
85,Future,https://github.com/futureplc
86,Gamma Communications,no github presence
87,GCP Infrastructure Investments,no github presence
88,Genuit Group,no github presence
89,Genus,no github presence
90,Goodwin,no github presence
91,Grafton Group,no github presence
92,Grainger,no github presence
93,Great Portland Estates,no github presence
94,Greencoat UK Wind,no github presence
95,Greencore Group,no github presence
96,Greggs,https://github.com/Greggs-Digital
97,Hammerson,no github presence
98,Harbour Energy,no github presence
99,Harbourvest Global Private Equity,no github presence
100,Harworth Group,no github presence
101,Hays,no github presence
102,Helios Towers,no github presence
103,Henderson European Trust,no github presence
104,Henderson Smaller Cos Investment Trust,no github presence
105,Herald Investment Trust,no github presence
106,HG Capital Trust,no github presence
107,HICL Infrastructure,no github presence
108,Hill & Smith,no github presence
109,Hilton Food Group,no github presence
110,Hochschild Mining,no github presence
111,Hollywood Bowl Group,no github presence
112,Hunting,no github presence
113,Ibstock,no github presence
114,ICG Enterprise Trust,no github presence
115,IG Group Holdings,https://github.com/IG-Group
116,Impax Environmental Markets,no github presence
117,Inchcape,no github presence
118,Integrafin Holdings,no github presence
119,International Public Partnerships,no github presence
120,International Workplace Group,no github presence
121,Invesco Asia Dragon Trust,no github presence
122,Investec,https://github.com/investec
123,IP Group,no github presence
124,Ithaca Energy,no github presence
125,ITV,https://github.com/ITV
126,J D Wetherspoon,no github presence
127,Johnson Matthey,https://github.com/johnsonmatthey
128,JPMorgan American Investment Trust,https://github.com/jpmorganchase
129,JPMorgan Emerging Markets Investment Trust,https://github.com/jpmorganchase
130,JPMorgan European Discovery Trust,https://github.com/jpmorganchase
131,JPMorgan European Growth & Income,https://github.com/jpmorganchase
132,JPMorgan Global Growth & Income,https://github.com/jpmorganchase
133,JPMorgan Indian Investment Trust,https://github.com/jpmorganchase
134,JPMorgan Japanese Investment Trust,https://github.com/jpmorganchase
135,JTC,no github presence
136,Jupiter Fund Management,no github presence
137,Just Group,no github presence
138,Kainos Group,https://github.com/KainosSoftwareLtd
139,Keller Group,no github presence
140,Kier Group,no github presence
141,Lancashire Holdings,no github presence
142,Law Debenture Corporation,no github presence
143,Lion Finance Group,no github presence
144,Man Group,https://github.com/man-group
145,Marshalls,no github presence
146,ME Group International,no github presence
147,Mercantile Investment Trust,no github presence
148,Merchants Trust,no github presence
149,Metro Bank Holdings,no github presence
150,Mitchells & Butlers,no github presence
151,Mitie Group,no github presence
152,Molten Ventures,no github presence
153,Monks Investment Trust,no github presence
154,Mony Group,no github presence
155,Moonpig Group,https://github.com/moonpig
156,Morgan Advanced Materials,no github presence
157,Morgan Sindall Group,no github presence
158,Murray Income Trust,no github presence
159,Murray International Trust,no github presence
160,NB Private Equity Partners,no github presence
161,NCC Group,https://github.com/nccgroup
162,NextEnergy Solar Fund,no github presence
163,Ninety One,https://github.com/NinetyOne-GitHub
164,North Atlantic Smaller Cos Inv Tst,no github presence
165,Ocado Group,https://github.com/ocadotechnology
166,Ocean Wilsons Holdings,no github presence
167,OSB Group,no github presence
168,Oxford Instruments,no github presence
169,Oxford Nanopore Technologies,https://github.com/nanoporetech
170,Pacific Horizon Investment Trust,no github presence
171,PageGroup,no github presence
172,Pantheon Infrastructure,no github presence
173,Pantheon International,no github presence
174,Paragon Banking Group,no github presence
175,Patria Private Equity Trust,no github presence
176,Paypoint,no github presence
177,Pennon Group,no github presence
178,Personal Assets Trust,no github presence
179,Petershill Partners,no github presence
180,Pets At Home Group,no github presence
181,Playtech,https://github.com/playtech
182,Plus500,no github presence
183,Polar Capital Global Financials Trust,no github presence
184,Pollen Street Group,no github presence
185,PPHE Hotel Group,no github presence
186,Premier Foods,no github presence
187,Primary Health Properties,no github presence
188,PRS REIT,no github presence
189,QinetiQ Group,https://github.com/QinetiQ-Cyber-Intelligence
190,Quilter,no github presence
191,Rank Group,no github presence
192,Raspberry Pi Holdings,https://github.com/raspberrypi
193,Rathbones Group,no github presence
194,Renishaw,no github presence
195,RHI Magnesita NV,no github presence
196,RIT Capital Partners,no github presence
197,Rotork,no github presence
198,RS Group,https://github.com/LetsOKdo
199,Ruffer Investment Co,no github presence
200,Safestore Holdings,no github presence
201,Savills,no github presence
202,Schroder Asia Pacific Fund,no github presence
203,Schroder Oriental Income Fund,no github presence
204,Scottish American Investment Co,no github presence
205,SDCL Efficiency Income Trust,no github presence
206,Senior,no github presence
207,Sequoia Economic Infrastructure Income Fund,no github presence
208,Serco Group,no github presence
209,Shaftesbury Capital,no github presence
210,Sirius Real Estate,no github presence
211,Smithson Investment Trust,no github presence
212,Softcat,no github presence
213,Spectris,no github presence
214,Spire Healthcare Group,no github presence
215,Spirent Communications,https://github.com/Spirent
216,SSP Group,no github presence
217,Supermarket Income REIT, no github presence
218,Syncona,no github presence
219,Target Healthcare REIT, no github presence
220,Tate & Lyle,no github presence
221,TBC Bank Group,https://github.com/TBCBank
222,Telecom Plus,no github presence
223,Temple Bar Investment Trust,no github presence
224,Templeton Emerging Markets Investment Trust,no github presence
225,The European Smaller Companies Trust,no github presence
226,The Global Smaller Companies Trust,no github presence
227,The Renewables Infrastructure Group,no github presence
228,TP ICAP Group, no github presence
229,TR Property Investment Trust,no github presence
230,Trainline,https://github.com/trainline
231,Travis Perkins, https://github.com/travisperkins
232,Tritax Big Box REIT,no github presence
233,Trustpilot Group,https://github.com/trustpilot
234,TwentyFour Income Fund,no github presence
235,Vesuvius,no github presence
236,Victrex,no github presence
237,Vietnam Enterprise Investments,no github presence
238,VinaCapital Vietnam Opportunity Fund,no github presence
239,Vistry Group,no github presence
240,Volution Group,https://github.com/VolutionGroup
241,WAG Payment Solutions,no github presence
242,Warehouse REIT,no github presence
243,Watches Of Switzerland Group,no github presence
244,WH Smith,no github presence
245,Wickes Group,no github presence
246,Wizz Air Holdings,no github presence
247,Workspace Group,no github presence
248,Worldwide Healthcare Trust,no github presence
249,XPS Pensions Group,no github presence
250,Zigup,no github presence
