org_name,repo_name,open_issue_count,stars_count,forks_count,last_pushed_date,pull_requests_open_count,about_description,merged_prs_30d
shopify,response_bank,2,136,18,2025-06-05,0,Simple response caching for Ruby applications,0
shopify,liquid,399,11446,1468,2025-08-12,77,"Liquid markup language. Safe, customer facing template language for flexible web apps. ",0
shopify,shopify_app,32,1834,711,2025-08-11,11,A Rails Engine for building Shopify Apps,0
shopify,shopify-api-ruby,26,1077,478,2025-08-12,6,ShopifyAPI is a lightweight gem for accessing the Shopify admin REST and GraphQL web services.,0
shopify,asset_cloud,6,27,8,2025-08-04,2,An abstraction layer around arbitrary and diverse asset stores,4
shopify,money,32,343,44,2025-08-11,14,Manage money in Shopify with a class that won't lose pennies during division,1
shopify,connect-googleapps,0,26,14,2025-05-13,0,Google Apps OpenID auth middleware for Connect / Node.js,0
shopify,statsd-instrument,13,586,100,2025-08-01,7,A StatsD client for Ruby apps. Provides metaprogramming methods to inject StatsD instrumentation into your code.,1
shopify,active_utils,8,93,84,2025-08-11,6,"Active Utils extracts commonly used modules and classes used by Active Merchant, Active Shipping, and Active Fulfillment",0
shopify,shopify_python_api,27,1370,379,2025-06-16,11,ShopifyAPI library allows Python developers to programmatically access the admin section of stores,0
shopify,shopify_django_app,15,502,167,2025-05-13,4,Get a Shopify app up and running with Django and Python Shopify API,0
shopify,omniauth-shopify-oauth2,17,92,70,2025-08-04,5,Shopify OAuth2 Strategy for OmniAuth 1.0,0
shopify,shopify.github.com,4,520,117,2025-05-23,-1,A collection of the open source projects by Shopify,0
shopify,dukpt,2,45,30,2025-05-13,-1,Implements a decrypter for ciphertext originating from a device using a Derived Unique Key Per Transaction (DUKPT) scheme,0
shopify,identity_cache,41,1940,173,2025-08-04,-1,"IdentityCache is a blob level caching solution to plug into Active Record. Don't #find, #fetch!",3
shopify,memcached_store,9,37,18,2025-08-04,-1,ActiveSupport MemcachedStore,3
shopify,browser_sniffer,3,119,21,2025-08-04,-1,Properly detect what browser you are dealing with,6
shopify,sysv_mq,4,86,15,2025-05-13,-1,a Go wrapper for SysV Message Queues,0
shopify,goreferrer,2,64,14,2025-06-17,-1,Analyzes and classifies different kinds of referrer URLs,0
shopify,activerecord-rescue_from_duplicate,7,91,9,2025-08-04,-1,"Ruby gem to rescue from MySQL, PostgreSQL and Sqlite duplicate errors",0
shopify,pyactiveresource,20,102,46,2025-08-12,-1,,0
shopify,go-lua,50,3321,204,2025-07-18,-1,A Lua VM in Go,0
shopify,lhm,7,199,27,2025-07-08,-1,Online MySQL schema migrations,0
shopify,shipit-engine,71,1451,150,2025-07-22,-1,Deployment coordination,0
shopify,ejson,5,1433,65,2025-08-11,-1,EJSON is a small library to manage encrypted secrets using asymmetric encryption.,3
