org_name,repo_name,open_issue_count,stars_count,forks_count,last_pushed_date,pull_requests_open_count,about_description,merged_prs_30d
shopify,liquid,399,11446,1468,2025-08-12,77,"Liquid markup language. Safe, customer facing template language for flexible web apps. ",0
shopify,hydrogen-v1,193,3745,326,2025-03-19,33,"React-based framework for building dynamic, Shopify-powered custom storefronts.",-1
shopify,flash-list,214,6497,322,2025-08-11,33,A better list for React Native,-1
shopify,ui-extensions,429,301,47,2025-08-11,71,Repo for the public definition of Shopify's UI extension APIs. Please use the community forum to ask questions or report issues: https://community.shopify.dev/c/extensions/5,0
shopify,react-native-skia,88,7748,527,2025-08-12,20,High-performance React Native Graphics using Skia,-1
shopify,ghostferry,74,810,78,2025-08-04,28,The swiss army knife of live data migrations,-1
shopify,roast,168,799,38,2025-08-11,12,Structured AI workflows made easy,-1
shopify,sorbet,200,10,6,2025-08-11,52,"A fast, powerful type checker designed for Ruby",0
shopify,opentelemetry-collector-contrib,184,5,4,2025-08-04,184,Contrib repository for the OpenTelemetry Collector,-1
shopify,polaris,182,6018,1228,2025-08-11,-1,Shopify’s design system to help us work together to build a great experience for all of our merchants.,-1
shopify,draggable,163,18329,1109,2025-06-24,-1,The JavaScript Drag & Drop library your grandparents warned you about.,-1
shopify,ruby-lsp,117,1849,213,2025-08-11,-1,An opinionated language server for Ruby,-1
shopify,hydrogen,164,1715,352,2025-08-11,-1,"Hydrogen lets you build faster headless storefronts in less time, on Shopify.",-1
shopify,themekit,99,1249,406,2025-06-24,-1,Shopify theme development command line tool.,-1
shopify,toxiproxy,92,11412,471,2025-08-11,-1,:alarm_clock: :fire: A TCP proxy to simulate network and system conditions for chaos and resiliency testing,-1
shopify,job-iteration,49,1245,53,2025-08-11,20,Makes your background jobs interruptible and resumable by design.,-1
shopify,tapioca,115,794,149,2025-08-12,-1,The swiss army knife of RBI generation,-1
shopify,shipit-engine,71,1451,150,2025-07-22,-1,Deployment coordination,-1
shopify,krane,67,1397,119,2025-07-16,-1,A command-line tool that helps you ship changes to a Kubernetes namespace and understand the result,-1
shopify,mobile-buy-sdk-ios,99,473,202,2025-08-11,5,"Shopify’s Mobile Buy SDK makes it simple to sell physical products inside your mobile app. With a few lines of code, you can connect your app with the Shopify platform and let your users buy your products using Apple Pay or their credit card.",-1
shopify,shopify_app,32,1834,711,2025-08-11,11,A Rails Engine for building Shopify Apps,0
shopify,erb_lint,83,727,134,2025-08-11,-1,Lint your ERB or HTML files,-1
shopify,shopify_python_api,27,1370,379,2025-06-16,11,ShopifyAPI library allows Python developers to programmatically access the admin section of stores,0
shopify,semian,51,1423,81,2025-08-12,-1,:monkey: Resiliency toolkit for Ruby for failing fast,-1
shopify,go-lua,50,3321,204,2025-07-18,-1,A Lua VM in Go,-1
shopify,cli,92,543,197,2025-08-12,-1,"Build apps, themes, and hydrogen storefronts for Shopify",-1
shopify,shopify-app-js,111,435,166,2025-08-11,-1,,-1
shopify,shopify-app-template-node,47,963,417,2025-08-11,-1,,-1
shopify,shopify-api-ruby,26,1077,478,2025-08-12,6,ShopifyAPI is a lightweight gem for accessing the Shopify admin REST and GraphQL web services.,0
shopify,identity_cache,41,1940,173,2025-08-04,-1,"IdentityCache is a blob level caching solution to plug into Active Record. Don't #find, #fetch!",-1
shopify,packwerk,37,1745,119,2025-07-31,-1,Good things come in small packages.,0
shopify,polaris-viz,100,361,36,2025-06-05,-1,A collection of React and React native components that compose Shopify's data visualization system,0
shopify,restyle,32,3237,146,2025-08-04,-1,A type-enforced system for building UI components in React Native with TypeScript.,0
shopify,remote-dom,29,1126,70,2025-07-30,-1,,0
shopify,buy-button-js,149,251,122,2025-08-12,-1,BuyButton.js is a highly customizable UI library for adding ecommerce functionality to any website.,-1
shopify,shopify-app-template-remix,73,503,229,2025-08-12,-1,,-1
shopify,mobile-buy-sdk-android,106,228,141,2025-08-11,-1,"Shopify’s Mobile Buy SDK makes it simple to sell physical products inside your mobile app. With a few lines of code, you can connect your app with the Shopify platform and let your users buy your products using their credit card.",-1
shopify,js-buy-sdk,21,1005,267,2025-07-28,-1,"The JS Buy SDK is a lightweight library that allows you to build ecommerce into any website. It is based on Shopify's API and provides the ability to retrieve products and collections from your shop, add products to a cart, and checkout.",-1
shopify,dawn,11,2781,3959,2025-08-06,-1,"Shopify's first source available reference theme, with Online Store 2.0 features and performance built-in.",4
shopify,react-native-performance,24,966,51,2025-08-12,-1,Performance monitoring for React Native apps,-1
shopify,graphql-batch,17,1429,105,2025-08-12,-1,A query batching executor for the graphql gem,-1
shopify,theme-tools,133,145,52,2025-08-05,-1,Everything developer experience for Shopify themes,-1
shopify,cli-ui,14,1090,57,2025-08-04,-1,CLI tooling framework with simple interactive widgets,-1
shopify,dev-mcp,28,464,52,2025-08-12,17,Shopify.dev MCP server,-1
shopify,maintenance_tasks,7,1168,93,2025-08-12,-1,A Rails engine for queueing and managing data migrations.,0
shopify,ejson,5,1433,65,2025-08-11,-1,EJSON is a small library to manage encrypted secrets using asymmetric encryption.,-1
shopify,ruby-lsp-rails,41,639,33,2025-08-12,-1,A Ruby LSP add-on for Rails,-1
