org_name,repo_name,open_issue_count,stars_count,forks_count,last_pushed_date,pull_requests_open_count,about_description
shopify,active_shipping,55,814,543,2019-12-17,5,ActiveShipping is a simple shipping abstraction library extracted from Shopify
shopify,delayed_job,0,17,3,2019-06-21,0,Database based asynchronously priority queue system -- Extracted from Shopify 
shopify,response_bank,2,136,18,2025-06-05,0,Simple response caching for Ruby applications
shopify,liquid,399,11446,1468,2025-08-12,77,"Liquid markup language. Safe, customer facing template language for flexible web apps. "
shopify,active_fulfillment,9,154,53,2024-09-24,3,Active Merchant library for integration with order fulfillment services
shopify,vision,5,79,20,2012-05-04,0,The vision toolkit ( Shopify in a box -- for template designers )
shopify,shopify_app,32,1834,711,2025-08-11,11,A Rails Engine for building Shopify Apps
shopify,shopify-api-ruby,26,1077,478,2025-08-12,6,ShopifyAPI is a lightweight gem for accessing the Shopify admin REST and GraphQL web services.
shopify,asset_cloud,6,27,8,2025-08-04,2,An abstraction layer around arbitrary and diverse asset stores
shopify,liquid-tmbundle,0,61,35,2023-08-14,0,Liquid Templates Textmate Bundle
shopify,ultrasphinx,0,4,2,2012-01-25,0,Ruby on Rails configurator and client to the Sphinx full text search engine
shopify,money,32,343,44,2025-08-11,14,Manage money in Shopify with a class that won't lose pennies during division
shopify,connect-googleapps,0,26,14,2025-05-13,0,Google Apps OpenID auth middleware for Connect / Node.js
shopify,dynect_email,0,5,4,2014-05-27,0,
shopify,shopify_theme,50,649,135,2018-12-17,11,A console tool for interacting with Shopify Theme Assets.
shopify,statsd-instrument,13,586,100,2025-08-01,7,A StatsD client for Ruby apps. Provides metaprogramming methods to inject StatsD instrumentation into your code.
shopify,active_utils,8,93,84,2025-08-11,6,"Active Utils extracts commonly used modules and classes used by Active Merchant, Active Shipping, and Active Fulfillment"
shopify,shopify_python_api,27,1370,379,2025-06-16,11,ShopifyAPI library allows Python developers to programmatically access the admin section of stores
shopify,shopify_django_app,15,502,167,2025-05-13,4,Get a Shopify app up and running with Django and Python Shopify API
shopify,theme-sync,2,10,14,2015-08-03,0,
shopify,omniauth-shopify-oauth2,17,92,70,2025-08-04,5,Shopify OAuth2 Strategy for OmniAuth 1.0
shopify,google_auth,2,4,4,2015-03-15,0,
shopify,ObjectiveRecord,0,4,5,2012-08-01,0,ObjectiveRecord
shopify,wolverine,4,111,28,2023-03-22,1,Scripting redis with lua made even easier
shopify,marginalia-resque,0,2,2,2012-10-11,0,
shopify,rpm,0,3,2,2014-11-04,0,New Relic RPM Ruby Agent
shopify,Shopify-Developer-Book,1,44,14,2014-03-11,0,An ebook containing Shopify tips
shopify,chef-ebs,7,31,40,2018-02-15,6,Scalarium's EBS cookbook with added magic
shopify,multirow_counter,1,8,4,2014-06-23,0,
shopify,dashing,251,10956,1173,2019-04-29,28,The exceptionally handsome dashboard framework in Ruby and Coffeescript.
shopify,shopify.github.com,4,520,117,2025-05-23,-1,A collection of the open source projects by Shopify
shopify,airbrake,1,2,0,2015-01-06,-1,The official Airbrake library for Ruby on Rails. Links to other Airbrake libraries are in the ReadMe. 
shopify,dukpt,2,45,30,2025-05-13,-1,Implements a decrypter for ciphertext originating from a device using a Derived Unique Key Per Transaction (DUKPT) scheme
shopify,superdb,7,1148,81,2018-11-06,-1,"The Super Debugger, a realtime wireless debugger for iOS"
shopify,fmdb,0,4,3,2014-07-30,-1,A Cocoa / Objective-C wrapper around SQLite
shopify,search_query_parser,0,4,6,2018-12-17,-1,
shopify,magnet,1,30,14,2023-03-22,-1,Magnetic Track Data parsing library
shopify,dmca,0,5,4,2014-04-14,-1,dmca
shopify,identity_cache,41,1940,173,2025-08-04,-1,"IdentityCache is a blob level caching solution to plug into Active Record. Don't #find, #fetch!"
shopify,brigade,0,42,10,2017-12-04,-1,Parallel S3 bucket-bucket differential sync in Go
shopify,ohai-system_packages,0,4,1,2017-01-13,-1,
shopify,rails_parallel,0,44,8,2023-03-22,-1,Makes your Rails tests scale with the number of CPU cores available
shopify,chef-apt,0,4,2,2013-03-25,-1,Development repository for Opscode Cookbook apt
shopify,noeq53,0,6,4,2013-06-05,-1,A fault-tolerant network service for meaningful GUID generation
shopify,s3cmd,0,3,2,2014-06-04,-1,Official s3cmd repo -- Command line tool for managing Amazon S3 and CloudFront services
shopify,reprepro,0,3,2,2013-08-26,-1,Development repository for Opscode Cookbook reprepro
shopify,memcached_store,9,37,18,2025-08-04,-1,ActiveSupport MemcachedStore
shopify,tinymce,0,11,7,2024-02-20,-1,TinyMCE is a platform independent web based Javascript HTML WYSIWYG editor control released as Open Source under LGPL.
shopify,roadie,0,7,2,2014-02-16,-1,Making HTML emails comfortable for the Rails rockstars
shopify,browser_sniffer,3,119,21,2025-08-04,-1,Properly detect what browser you are dealing with
shopify,chef-keepalived,1,2,2,2014-12-03,-1,Development repository for Opscode Cookbook keepalived
shopify,opensrs,1,3,4,2022-01-17,-1,Provides support to utilise the OpenSRS API with Ruby/Rails.
shopify,omnibus_updater,1,2,5,2018-12-17,-1,Omnibus Chef updater (historical fork)
shopify,chef-client,0,2,5,2018-12-17,-1,Development repository for Opscode Cookbook chef-client
shopify,locationary,0,4,6,2019-01-14,-1,
shopify,turbo-sprockets-rails3,0,2,2,2013-09-03,-1,"Speeds up your Rails 3 assets:precompile by only recompiling changed files, and only compiling once to generate all assets"
shopify,sysv_mq,4,86,15,2025-05-13,-1,a Go wrapper for SysV Message Queues
shopify,chef-collectd,0,2,4,2018-12-17,-1,Chef cookbook for collectd
shopify,jmxtrans,0,2,2,2013-10-04,-1,jmxtrans
shopify,sysctl-cookbook,0,3,3,2013-09-21,-1,
shopify,goreferrer,2,64,14,2025-06-17,-1,Analyzes and classifies different kinds of referrer URLs
shopify,bcache-tools,0,2,2,2013-11-12,-1,"bcache-tools, part of the bcache hybrid storage project (features, debian packaging)"
shopify,chef-collectd_plugins,0,4,3,2013-11-13,-1,Chef cookbook for collectd plugins
shopify,chef-datadog,0,2,2,2018-07-16,-1,Datadog's public cookbooks
shopify,jzmq,0,2,2,2013-11-14,-1,Frozen version of JZMQ that is tested to work with Storm.
shopify,hubot-flowdock,0,2,1,2014-08-07,-1,Flowdock adapter for Hubot chat bot
shopify,hubot,0,4,2,2013-11-18,-1,Chef cookbook for deploying and managing an instance of Github's Hubot.
shopify,dd-agent,0,1,1,2015-07-28,-1,Datadog Agent
shopify,poseidon,0,2,2,2014-11-24,-1,A client for Kafka 0.8
shopify,sky,0,16,6,2014-05-21,-1,":dancer: Sky is an open source, behavioral analytics database."
shopify,sky.go,0,2,3,2013-11-04,-1,:rocket: The official Go client for the Sky database.
shopify,activerecord-rescue_from_duplicate,7,91,9,2025-08-04,-1,"Ruby gem to rescue from MySQL, PostgreSQL and Sqlite duplicate errors"
shopify,pyactiveresource,20,102,46,2025-08-12,-1,
