org_name,repo_name,open_issue_count,stars_count,forks_count,last_pushed_date,pull_requests_open_count,about_description,merged_prs_30d
stripe,stripe-android,128,1407,677,2025-08-12,76,Stripe Android SDK    ,126
stripe,stripe-ios,158,2426,1015,2025-08-12,91,Stripe iOS SDK    ,119
stripe,stripe-react-native,161,1353,291,2025-08-11,24,React Native library for Stripe.,-1
stripe,stripe-cli,183,1750,405,2025-08-04,11,A command-line tool for Stripe,4
stripe,stripe-apps,330,161,78,2025-08-08,104,Stripe Apps lets you embed custom user experiences directly in the Stripe Dashboard and orchestrate the Stripe API.,-1
stripe,stripe-node,49,4152,805,2025-08-11,10,Node.js library for the Stripe API.    ,8
stripe,stripe-dotnet,19,1432,578,2025-08-11,4,"Stripe.net is a sync/async .NET 4.6.1+ client, and a portable class library for stripe.com.",8
stripe,stripe-python,21,1848,454,2025-08-11,5,Python library for the Stripe API.    ,4
stripe,smokescreen,25,1179,81,2025-08-11,8,A simple HTTP proxy that fogs over naughty URLs    ,4
stripe,stripe-ruby,19,2037,578,2025-08-11,3,Ruby library for the Stripe API.    ,6
stripe,stripe-go,13,2372,487,2025-08-11,2,Go library for the Stripe API.    ,7
stripe,stripe-java,25,885,371,2025-08-11,3,Java library for the Stripe API.    ,4
stripe,vscode-stripe,69,131,38,2025-03-20,23,Stripe for Visual Studio Code,0
stripe,stripe-php,13,3912,880,2025-08-11,2,PHP library for the Stripe API.    ,4
stripe,pg-schema-diff,55,558,39,2025-08-11,0,Go library for diffing Postgres schemas and generating SQL migrations,-1
stripe,react-stripe-js,6,1927,294,2025-08-04,2,React components for Stripe.js and Stripe Elements,4
stripe,agent-toolkit,12,925,131,2025-08-11,0,Python and TypeScript library for integrating the Stripe API into agentic workflows,1
stripe,stripe-mock,4,1495,120,2025-08-11,0,stripe-mock is a mock HTTP server that responds like the real Stripe API. It can be used instead of Stripe's testmode to make test suites integrating with Stripe faster and less brittle.,64
stripe,stripe-js,12,700,172,2025-08-01,2,Loading wrapper for Stripe.js,11
stripe,skycfg,10,664,57,2025-06-29,0,Skycfg is an extension library for the Starlark language that adds support for constructing Protocol Buffer messages.,0
stripe,openapi,15,431,130,2025-08-11,0,An OpenAPI specification for the Stripe API.        ,0
stripe,stripe-terminal-react-native,31,138,58,2025-08-12,6,React Native SDK for Stripe Terminal,-1
stripe,subprocess,6,210,18,2025-07-24,1,A port of Python's subprocess module to Ruby    ,2
stripe,stripe-terminal-ios,21,120,71,2025-08-07,0,Stripe Terminal iOS SDK,3
stripe,stripe-terminal-android,20,113,53,2025-08-01,0,Stripe Terminal Android SDK,2
