org,repo,hyperlink,30d_merge_rate
ibm,mcp,https://github.com/IBM/mcp,0
ibm,spnl,https://github.com/IBM/spnl,0
ibm,WxMCPServer,https://github.com/IBM/WxMCPServer,0
ibm,terratorch,https://github.com/IBM/terratorch,20
ibm,mcp-context-forge,https://github.com/IBM/mcp-context-forge,4
ibm,test-infra,https://github.com/IBM/test-infra,0
ibm,storage-fusion,https://github.com/IBM/storage-fusion,0
ibm,kubernetes-must-gather,https://github.com/IBM/kubernetes-must-gather,0
ibm,opensource-ai-workshop,https://github.com/IBM/opensource-ai-workshop,0
ibm,cloudant-go-sdk,https://github.com/IBM/cloudant-go-sdk,0
ibm,ocp4-power-workload-tools,https://github.com/IBM/ocp4-power-workload-tools,12
ibm,ibm-iam-operator,https://github.com/IBM/ibm-iam-operator,0
ibm,pyds8k,https://github.com/IBM/pyds8k,0
ibm,dbb,https://github.com/IBM/dbb,1
ibm,mainframe-downloads,https://github.com/IBM/mainframe-downloads,0
ibm,universal-connectors,https://github.com/IBM/universal-connectors,27
ibm,eval-assist,https://github.com/IBM/eval-assist,0
ibm,API4JSON,https://github.com/IBM/API4JSON,0
ibm,JSONata4Java,https://github.com/IBM/JSONata4Java,0
ibm,mcp,https://github.com/IBM/mcp,0
ibm,spnl,https://github.com/IBM/spnl,0
ibm,WxMCPServer,https://github.com/IBM/WxMCPServer,0
ibm,terratorch,https://github.com/IBM/terratorch,20
ibm,mcp-context-forge,https://github.com/IBM/mcp-context-forge,4
ibm,test-infra,https://github.com/IBM/test-infra,0
ibm,storage-fusion,https://github.com/IBM/storage-fusion,0
ibm,kubernetes-must-gather,https://github.com/IBM/kubernetes-must-gather,0
ibm,opensource-ai-workshop,https://github.com/IBM/opensource-ai-workshop,0
ibm,cloudant-go-sdk,https://github.com/IBM/cloudant-go-sdk,0
ibm,ocp4-power-workload-tools,https://github.com/IBM/ocp4-power-workload-tools,12
ibm,ibm-iam-operator,https://github.com/IBM/ibm-iam-operator,0
ibm,pyds8k,https://github.com/IBM/pyds8k,0
ibm,dbb,https://github.com/IBM/dbb,1
ibm,mainframe-downloads,https://github.com/IBM/mainframe-downloads,0
ibm,universal-connectors,https://github.com/IBM/universal-connectors,27
ibm,eval-assist,https://github.com/IBM/eval-assist,0
ibm,API4JSON,https://github.com/IBM/API4JSON,0
ibm,JSONata4Java,https://github.com/IBM/JSONata4Java,0
ibm,WhitelistMasker,https://github.com/IBM/WhitelistMasker,0
ibm,GitIgnoreZipper,https://github.com/IBM/GitIgnoreZipper,1
ibm,risk-atlas-nexus,https://github.com/IBM/risk-atlas-nexus,3
ibm,continuous-delivery-java-sdk,https://github.com/IBM/continuous-delivery-java-sdk,1
ibm,ibm-watsonxdata-dl-retrieval-mcp-server,https://github.com/IBM/ibm-watsonxdata-dl-retrieval-mcp-server,1
ibm,sarama,https://github.com/IBM/sarama,0
ibm,ibm-spectrum-scale-csi,https://github.com/IBM/ibm-spectrum-scale-csi,0
