org,repo,hyperlink,30d_merge_rate
microsoft,mcp-for-beginners,https://github.com/microsoft/mcp-for-beginners,51
microsoft,winget-pkgs,https://github.com/microsoft/winget-pkgs,0
microsoft,fluentui,https://github.com/microsoft/fluentui,0
microsoft,mcsmcp,https://github.com/microsoft/mcsmcp,0
microsoft,vscode,https://github.com/microsoft/vscode,28
microsoft,generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,6
microsoft,PowerToys,https://github.com/microsoft/PowerToys,0
microsoft,TypeScript,https://github.com/microsoft/TypeScript,0
microsoft,vscode-anycode,https://github.com/microsoft/vscode-anycode,6
microsoft,magentic-ui,https://github.com/microsoft/magentic-ui,0
microsoft,azure-devops-mcp,https://github.com/microsoft/azure-devops-mcp,0
microsoft,playwright-mcp,https://github.com/microsoft/playwright-mcp,0
microsoft,confidential-aci-testing,https://github.com/microsoft/confidential-aci-testing,0
microsoft,RIFT,https://github.com/microsoft/RIFT,1
microsoft,ai-agents-for-beginners,https://github.com/microsoft/ai-agents-for-beginners,7
microsoft,semantic-kernel,https://github.com/microsoft/semantic-kernel,0
microsoft,terminal,https://github.com/microsoft/terminal,0
microsoft,mcp-for-beginners,https://github.com/microsoft/mcp-for-beginners,51
microsoft,winget-pkgs,https://github.com/microsoft/winget-pkgs,0
microsoft,fluentui,https://github.com/microsoft/fluentui,0
microsoft,mcsmcp,https://github.com/microsoft/mcsmcp,0
microsoft,vscode,https://github.com/microsoft/vscode,28
microsoft,generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,6
microsoft,PowerToys,https://github.com/microsoft/PowerToys,0
microsoft,TypeScript,https://github.com/microsoft/TypeScript,0
microsoft,vscode-anycode,https://github.com/microsoft/vscode-anycode,6
microsoft,magentic-ui,https://github.com/microsoft/magentic-ui,0
microsoft,azure-devops-mcp,https://github.com/microsoft/azure-devops-mcp,0
microsoft,playwright-mcp,https://github.com/microsoft/playwright-mcp,0
microsoft,confidential-aci-testing,https://github.com/microsoft/confidential-aci-testing,0
microsoft,RIFT,https://github.com/microsoft/RIFT,1
microsoft,ai-agents-for-beginners,https://github.com/microsoft/ai-agents-for-beginners,7
microsoft,semantic-kernel,https://github.com/microsoft/semantic-kernel,0
microsoft,terminal,https://github.com/microsoft/terminal,0
microsoft,edit,https://github.com/microsoft/edit,0
microsoft,playwright,https://github.com/microsoft/playwright,0
microsoft,rnx-kit,https://github.com/microsoft/rnx-kit,0
microsoft,vscode-copilot-chat,https://github.com/microsoft/vscode-copilot-chat,0
microsoft,AI-For-Beginners,https://github.com/microsoft/AI-For-Beginners,1
microsoft,markitdown,https://github.com/microsoft/markitdown,0
microsoft,Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,1
microsoft,playwright-python,https://github.com/microsoft/playwright-python,0
microsoft,Mastering-GitHub-Copilot-for-Paired-Programming,https://github.com/microsoft/Mastering-GitHub-Copilot-for-Paired-Programming,10
