org,repo,hyperlink,commits_last_30d,PRs_closed_30d
google,oss-fuzz,https://github.com/google/oss-fuzz,0,88
google,aarch64-paging,https://github.com/google/aarch64-paging,3,76
google,langextract,https://github.com/google/langextract,83,39
google,koladata,https://github.com/google/koladata,100,0
google,angle,https://github.com/google/angle,100,0
google,dawn,https://github.com/google/dawn,100,0
google,security-research,https://github.com/google/security-research,0,71
google,sec-gemini,https://github.com/google/sec-gemini,25,64
google,closure-compiler,https://github.com/google/closure-compiler,0,69
google,j2cl,https://github.com/google/j2cl,0,8
google,longfellow-zk,https://github.com/google/longfellow-zk,7,3
google,compile-testing,https://github.com/google/compile-testing,5,20
google,XNNPACK,https://github.com/google/XNNPACK,0,92
google,gemma.cpp,https://github.com/google/gemma.cpp,25,91
google,mangle,https://github.com/google/mangle,1,0
google,python-fire,https://github.com/google/python-fire,0,58
google,zx,https://github.com/google/zx,41,92
google,adk-samples,https://github.com/google/adk-samples,26,58
google,adk-python,https://github.com/google/adk-python,100,83
google,caliper,https://github.com/google/caliper,0,61
google,jimfs,https://github.com/google/jimfs,0,19
google,perfetto,https://github.com/google/perfetto,100,93
google,grain,https://github.com/google/grain,23,72
google,proto-task-queue,https://github.com/google/proto-task-queue,3,14
google,dagger,https://github.com/google/dagger,0,65
google,boringssl,https://github.com/google/boringssl,39,0
google,crubit,https://github.com/google/crubit,91,0
google,gvisor,https://github.com/google/gvisor,0,86
google,ink,https://github.com/google/ink,16,67
google,facade,https://github.com/google/facade,3,0
google,skia,https://github.com/google/skia,100,0
google,material-design-icons,https://github.com/google/material-design-icons,0,25
google,go-github,https://github.com/google/go-github,0,90
google,digitalbuildings,https://github.com/google/digitalbuildings,0,92
google,oss-fuzz-vulns,https://github.com/google/oss-fuzz-vulns,90,24
google,xls,https://github.com/google/xls,100,94
google,jscin,https://github.com/google/jscin,2,3
google,arm-gic,https://github.com/google/arm-gic,10,65
google,yggdrasil-decision-forests,https://github.com/google/yggdrasil-decision-forests,30,29
google,dwh-migration-tools,https://github.com/google/dwh-migration-tools,2,75
google,styleguide,https://github.com/google/styleguide,0,51
google,capslock,https://github.com/google/capslock,4,87
google,filament,https://github.com/google/filament,100,96
google,osv-scalibr,https://github.com/google/osv-scalibr,100,89
google,oboe,https://github.com/google/oboe,37,91
google,orbax,https://github.com/google/orbax,100,88
google,gops,https://github.com/google/gops,0,95
google,mcp-security,https://github.com/google/mcp-security,9,85
google,googletest,https://github.com/google/googletest,4,28
google,quiche,https://github.com/google/quiche,53,1
google,gtm-session-fetcher,https://github.com/google/gtm-session-fetcher,6,97
google,fonts,https://github.com/google/fonts,99,92
google,wasefire,https://github.com/google/wasefire,41,95
google,comprehensive-rust,https://github.com/google/comprehensive-rust,24,97
google,cpu_features,https://github.com/google/cpu_features,2,89
google,highway,https://github.com/google/highway,0,93
google,wuffs,https://github.com/google/wuffs,0,18
google,skia-buildbot,https://github.com/google/skia-buildbot,100,0
google,tunix,https://github.com/google/tunix,73,92
google,flatbuffers,https://github.com/google/flatbuffers,0,72
google,truth,https://github.com/google/truth,0,90
google,jetpack-camera-app,https://github.com/google/jetpack-camera-app,13,86
google,timesketch,https://github.com/google/timesketch,0,93
google,re2,https://github.com/google/re2,26,0
google,auto,https://github.com/google/auto,3,29
google,sanitizers,https://github.com/google/sanitizers,0,44
google,clusterfuzz,https://github.com/google/clusterfuzz,0,90
google,pigweed,https://github.com/google/pigweed,100,0
google,or-tools,https://github.com/google/or-tools,65,63
google,safe-mmio,https://github.com/google/safe-mmio,1,21
google,virtual-broadcast-production-assistant,https://github.com/google/virtual-broadcast-production-assistant,100,77
google,aarch64-rt,https://github.com/google/aarch64-rt,1,19
google,percore,https://github.com/google/percore,5,7
google,command-fds,https://github.com/google/command-fds,4,37
google,ksp,https://github.com/google/ksp,9,87
google,tsunami-security-scanner-callback-server,https://github.com/google/tsunami-security-scanner-callback-server,0,0
google,clasp,https://github.com/google/clasp,0,74
google,vizier,https://github.com/google/vizier,7,74
google,earthengine-api,https://github.com/google/earthengine-api,0,84
google,scaaml,https://github.com/google/scaaml,8,92
google,horologist,https://github.com/google/horologist,16,86
google,generative-ai-docs,https://github.com/google/generative-ai-docs,2,68
google,secops-wrapper,https://github.com/google/secops-wrapper,100,60
google,tsunami-security-scanner,https://github.com/google/tsunami-security-scanner,0,16
google,blockly,https://github.com/google/blockly,0,87
google,tsunami-security-scanner-plugins,https://github.com/google/tsunami-security-scanner-plugins,0,69
google,alioth,https://github.com/google/alioth,24,95
google,guava,https://github.com/google/guava,0,83
google,cluster-data,https://github.com/google/cluster-data,0,12
google,sentencepiece,https://github.com/google/sentencepiece,0,54
google,fuzztest,https://github.com/google/fuzztest,43,82
google,sedpack,https://github.com/google/sedpack,19,93
google,benchmark,https://github.com/google/benchmark,20,94
google,copybara,https://github.com/google/copybara,21,10
google,merchant-api-samples,https://github.com/google/merchant-api-samples,29,0
google,device-infra,https://github.com/google/device-infra,98,82
google,osv-scanner,https://github.com/google/osv-scanner,75,89
google,model-viewer,https://github.com/google/model-viewer,0,87
google,adk-java,https://github.com/google/adk-java,74,86
google,mount-zip,https://github.com/google/mount-zip,16,2
google,adk-web,https://github.com/google/adk-web,3,12
google,gsocguides,https://github.com/google/gsocguides,0,60
google,libphonenumber,https://github.com/google/libphonenumber,0,61
google,osv.dev,https://github.com/google/osv.dev,0,98
google,certificate-transparency-go,https://github.com/google/certificate-transparency-go,0,95
google,crosvm,https://github.com/google/crosvm,66,0
google,cel-spec,https://github.com/google/cel-spec,0,93
google,GoogleSignIn-iOS,https://github.com/google/GoogleSignIn-iOS,0,85
google,gn-language-server,https://github.com/google/gn-language-server,81,24
google,gson,https://github.com/google/gson,7,85
google,oss-rebuild,https://github.com/google/oss-rebuild,31,99
google,go-querystring,https://github.com/google/go-querystring,0,19
