org,repo,hyperlink,commits_last_30d,PRs_closed_30d
ibm,mcp,https://github.com/IBM/mcp,6,8
ibm,spnl,https://github.com/IBM/spnl,100,99
ibm,WxMCPServer,https://github.com/IBM/WxMCPServer,3,0
ibm,terratorch,https://github.com/IBM/terratorch,73,79
ibm,mcp-context-forge,https://github.com/IBM/mcp-context-forge,100,94
ibm,test-infra,https://github.com/IBM/test-infra,0,97
ibm,storage-fusion,https://github.com/IBM/storage-fusion,0,96
ibm,kubernetes-must-gather,https://github.com/IBM/kubernetes-must-gather,21,0
ibm,opensource-ai-workshop,https://github.com/IBM/opensource-ai-workshop,1,17
ibm,cloudant-go-sdk,https://github.com/IBM/cloudant-go-sdk,13,98
ibm,ocp4-power-workload-tools,https://github.com/IBM/ocp4-power-workload-tools,24,37
ibm,ibm-iam-operator,https://github.com/IBM/ibm-iam-operator,0,83
ibm,pyds8k,https://github.com/IBM/pyds8k,0,37
ibm,dbb,https://github.com/IBM/dbb,12,89
ibm,mainframe-downloads,https://github.com/IBM/mainframe-downloads,0,99
ibm,universal-connectors,https://github.com/IBM/universal-connectors,100,81
ibm,eval-assist,https://github.com/IBM/eval-assist,39,73
ibm,API4JSON,https://github.com/IBM/API4JSON,0,12
ibm,JSONata4Java,https://github.com/IBM/JSONata4Java,0,81
ibm,WhitelistMasker,https://github.com/IBM/WhitelistMasker,0,23
ibm,GitIgnoreZipper,https://github.com/IBM/GitIgnoreZipper,2,10
ibm,risk-atlas-nexus,https://github.com/IBM/risk-atlas-nexus,13,67
ibm,continuous-delivery-java-sdk,https://github.com/IBM/continuous-delivery-java-sdk,4,49
ibm,ibm-watsonxdata-dl-retrieval-mcp-server,https://github.com/IBM/ibm-watsonxdata-dl-retrieval-mcp-server,2,3
ibm,sarama,https://github.com/IBM/sarama,27,54
ibm,ibm-spectrum-scale-csi,https://github.com/IBM/ibm-spectrum-scale-csi,0,91
ibm,ibm-storageinsights-mcpserver,https://github.com/IBM/ibm-storageinsights-mcpserver,2,6
ibm,CodeEngine,https://github.com/IBM/CodeEngine,59,92
ibm,fp-go,https://github.com/IBM/fp-go,1,99
ibm,personas-llms-analysis,https://github.com/IBM/personas-llms-analysis,37,1
ibm,japan-technology,https://github.com/IBM/japan-technology,2,17
ibm,cp4d-connector-sdk,https://github.com/IBM/cp4d-connector-sdk,1,11
ibm,data-product-exchange-go-sdk,https://github.com/IBM/data-product-exchange-go-sdk,30,20
ibm,ibm-watsonx-orchestrate-adk,https://github.com/IBM/ibm-watsonx-orchestrate-adk,66,3
ibm,zopeneditor-about,https://github.com/IBM/zopeneditor-about,1,8
ibm,activated-lora,https://github.com/IBM/activated-lora,0,7
