org,repo,hyperlink,commits_last_30d,PRs_closed_30d
walmartlabs,concord,https://github.com/walmartlabs/concord,0,95
walmartlabs,vespa-helm,https://github.com/walmartlabs/vespa-helm,16,8
walmartlabs,cookie-cutter,https://github.com/walmartlabs/cookie-cutter,0,65
aws,eks-distro,https://github.com/aws/eks-distro,66,89
aws,aws-lambda-nodejs-runtime-interface-client,https://github.com/aws/aws-lambda-nodejs-runtime-interface-client,5,58
aws,aws-sdk-java-v2,https://github.com/aws/aws-sdk-java-v2,0,83
aws,aws-iot-device-sdk-python-v2,https://github.com/aws/aws-iot-device-sdk-python-v2,2,81
aws,sagemaker-distribution,https://github.com/aws/sagemaker-distribution,34,41
aws,aws-cdk-rfcs,https://github.com/aws/aws-cdk-rfcs,15,80
aws,aws-sam-cli,https://github.com/aws/aws-sam-cli,0,66
aws,eks-anywhere,https://github.com/aws/eks-anywhere,29,91
aws,amazon-cloudwatch-agent,https://github.com/aws/amazon-cloudwatch-agent,25,73
aws,aws-sdk-net,https://github.com/aws/aws-sdk-net,100,91
aws,aws-cdk,https://github.com/aws/aws-cdk,100,70
aws,aws-sdk-cpp,https://github.com/aws/aws-sdk-cpp,64,86
aws,aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby,0,91
aws,graph-explorer,https://github.com/aws/graph-explorer,24,99
aws,amazon-vpc-cni-k8s,https://github.com/aws/amazon-vpc-cni-k8s,0,63
aws,aws-cryptographic-material-providers-library,https://github.com/aws/aws-cryptographic-material-providers-library,22,54
aws,aws-dynamodb-encryption-java,https://github.com/aws/aws-dynamodb-encryption-java,0,3
aws,code-editor,https://github.com/aws/code-editor,19,34
aws,karpenter-provider-aws,https://github.com/aws/karpenter-provider-aws,33,79
aws,api-models-aws,https://github.com/aws/api-models-aws,20,13
aws,aws-advanced-go-wrapper,https://github.com/aws/aws-advanced-go-wrapper,14,80
aws,aws-lc,https://github.com/aws/aws-lc,43,83
aws,eks-hybrid,https://github.com/aws/eks-hybrid,95,87
aws,event-ruler,https://github.com/aws/event-ruler,1,90
aws,jsii-compiler,https://github.com/aws/jsii-compiler,23,100
aws,amazon-q-developer-cli-autocomplete,https://github.com/aws/amazon-q-developer-cli-autocomplete,27,40
aws,aws-advanced-python-wrapper,https://github.com/aws/aws-advanced-python-wrapper,25,80
aws,deep-learning-containers,https://github.com/aws/deep-learning-containers,0,36
aws,serverless-java-container,https://github.com/aws/serverless-java-container,0,33
aws,bedrock-agentcore-sdk-python,https://github.com/aws/bedrock-agentcore-sdk-python,13,22
aws,amazon-q-developer-cli,https://github.com/aws/amazon-q-developer-cli,99,77
aws,jsii-superchain,https://github.com/aws/jsii-superchain,3,14
aws,amazon-mwaa-docker-images,https://github.com/aws/amazon-mwaa-docker-images,20,81
aws,aws-toolkit-common,https://github.com/aws/aws-toolkit-common,2,45
aws,aws-signer-notation-plugin,https://github.com/aws/aws-signer-notation-plugin,0,15
aws,aws-sam-build-images,https://github.com/aws/aws-sam-build-images,0,95
aws,amazon-ecs-agent,https://github.com/aws/amazon-ecs-agent,0,68
aws,aws-cdk-cli,https://github.com/aws/aws-cdk-cli,32,82
aws,amazon-ecs-ami,https://github.com/aws/amazon-ecs-ami,21,67
aws,jsii-rosetta,https://github.com/aws/jsii-rosetta,31,100
aws,s2n-tls,https://github.com/aws/s2n-tls,24,55
aws,aws-k8s-tester,https://github.com/aws/aws-k8s-tester,24,92
aws,aws-secretsmanager-agent,https://github.com/aws/aws-secretsmanager-agent,1,35
aws,secrets-store-csi-driver-provider-aws,https://github.com/aws/secrets-store-csi-driver-provider-aws,4,41
aws,aws-cli,https://github.com/aws/aws-cli,0,83
aws,amazon-vpc-resource-controller-k8s,https://github.com/aws/amazon-vpc-resource-controller-k8s,0,70
aws,sagemaker-hyperpod-recipes,https://github.com/aws/sagemaker-hyperpod-recipes,8,30
aws,aws-toolkit-azure-devops,https://github.com/aws/aws-toolkit-azure-devops,0,93
aws,aws-toolkit-jetbrains,https://github.com/aws/aws-toolkit-jetbrains,25,86
aws,sagemaker-code-editor,https://github.com/aws/sagemaker-code-editor,0,67
aws,aws-toolkit-vscode,https://github.com/aws/aws-toolkit-vscode,0,83
aws,aws-for-fluent-bit,https://github.com/aws/aws-for-fluent-bit,0,81
aws,language-servers,https://github.com/aws/language-servers,100,92
aws,eks-anywhere-build-tooling,https://github.com/aws/eks-anywhere-build-tooling,22,95
aws,homebrew-tap,https://github.com/aws/homebrew-tap,0,88
aws,aws-lambda-builders,https://github.com/aws/aws-lambda-builders,8,66
aws,firelens-datajet,https://github.com/aws/firelens-datajet,18,81
aws,aws-parallelcluster,https://github.com/aws/aws-parallelcluster,0,94
aws,aws-tools-for-powershell,https://github.com/aws/aws-tools-for-powershell,27,11
aws,amazon-sagemaker-examples-community,https://github.com/aws/amazon-sagemaker-examples-community,2,23
aws,aws-advanced-nodejs-wrapper,https://github.com/aws/aws-advanced-nodejs-wrapper,7,64
aws,nova-act,https://github.com/aws/nova-act,2,22
aws,aws-sdk-js-v3,https://github.com/aws/aws-sdk-js-v3,100,89
aws,eks-anywhere-packages,https://github.com/aws/eks-anywhere-packages,5,90
