org,repo,hyperlink,commits_last_30d,PRs_closed_30d
facebook,rocksdb,https://github.com/facebook/rocksdb,51,2
facebook,hhvm,https://github.com/facebook/hhvm,0,7
facebook,react-native,https://github.com/facebook/react-native,100,0
facebook,react,https://github.com/facebook/react,100,87
facebook,Ax,https://github.com/facebook/Ax,95,1
facebook,fbthrift,https://github.com/facebook/fbthrift,100,7
facebook,docusaurus,https://github.com/facebook/docusaurus,11,71
facebook,fboss,https://github.com/facebook/fboss,100,1
facebook,sapling,https://github.com/facebook/sapling,100,5
facebook,prophet,https://github.com/facebook/prophet,0,67
facebook,pyrefly,https://github.com/facebook/pyrefly,100,0
facebook,igl,https://github.com/facebook/igl,100,3
facebook,lexical,https://github.com/facebook/lexical,22,89
facebook,ktfmt,https://github.com/facebook/ktfmt,11,0
facebook,ThreatExchange,https://github.com/facebook/ThreatExchange,3,95
facebook,CacheLib,https://github.com/facebook/CacheLib,70,4
facebook,buck2,https://github.com/facebook/buck2,100,4
facebook,infer,https://github.com/facebook/infer,35,0
facebook,react-native-devtools-frontend,https://github.com/facebook/react-native-devtools-frontend,5,91
facebook,zstd,https://github.com/facebook/zstd,0,77
facebook,hermes,https://github.com/facebook/hermes,22,0
facebook,chef-cookbooks,https://github.com/facebook/chef-cookbooks,30,4
facebook,metro,https://github.com/facebook/metro,66,2
facebook,fresco,https://github.com/facebook/fresco,86,2
facebook,idb,https://github.com/facebook/idb,2,0
facebook,yoga,https://github.com/facebook/yoga,17,0
facebook,facebook-java-business-sdk,https://github.com/facebook/facebook-java-business-sdk,2,6
facebook,jscodeshift,https://github.com/facebook/jscodeshift,6,82
facebook,relay,https://github.com/facebook/relay,56,0
facebook,litho,https://github.com/facebook/litho,0,0
facebook,buck2-prelude,https://github.com/facebook/buck2-prelude,100,6
facebook,kuduraft,https://github.com/facebook/kuduraft,0,89
facebook,redex,https://github.com/facebook/redex,100,4
facebook,mcrouter,https://github.com/facebook/mcrouter,30,3
facebook,flow,https://github.com/facebook/flow,87,0
facebook,watchman,https://github.com/facebook/watchman,61,8
facebook,mvfst,https://github.com/facebook/mvfst,82,12
facebook,starlark-rust,https://github.com/facebook/starlark-rust,7,8
facebook,facebook-android-sdk,https://github.com/facebook/facebook-android-sdk,9,2
facebook,facebook-ios-sdk,https://github.com/facebook/facebook-ios-sdk,4,0
facebook,stylex,https://github.com/facebook/stylex,35,91
facebook,bpfilter,https://github.com/facebook/bpfilter,8,95
facebook,memlab,https://github.com/facebook/memlab,9,2
facebook,proxygen,https://github.com/facebook/proxygen,80,6
facebook,akd,https://github.com/facebook/akd,3,91
facebook,folly,https://github.com/facebook/folly,100,4
facebook,fb303,https://github.com/facebook/fb303,57,9
facebook,openr,https://github.com/facebook/openr,53,7
facebook,wangle,https://github.com/facebook/wangle,52,7
facebook,pyre-check,https://github.com/facebook/pyre-check,40,3
facebook,openbmc,https://github.com/facebook/openbmc,0,1
facebook,screenshot-tests-for-android,https://github.com/facebook/screenshot-tests-for-android,1,41
facebook,react-strict-dom,https://github.com/facebook/react-strict-dom,32,66
facebook,react-native-website,https://github.com/facebook/react-native-website,45,75
facebook,dotslash,https://github.com/facebook/dotslash,10,0
facebook,jemalloc,https://github.com/facebook/jemalloc,0,12
facebook,pake-kem,https://github.com/facebook/pake-kem,2,10
facebook,facebook-python-business-sdk,https://github.com/facebook/facebook-python-business-sdk,0,0
facebook,mariana-trench,https://github.com/facebook/mariana-trench,18,2
facebook,time,https://github.com/facebook/time,8,0
facebook,ocamlrep,https://github.com/facebook/ocamlrep,8,22
facebook,facebook-for-woocommerce,https://github.com/facebook/facebook-for-woocommerce,21,4
facebook,hyperion,https://github.com/facebook/hyperion,4,95
facebook,fatal,https://github.com/facebook/fatal,8,17
facebook,facebook-nodejs-business-sdk,https://github.com/facebook/facebook-nodejs-business-sdk,0,6
facebook,facebook360_dep,https://github.com/facebook/facebook360_dep,6,0
facebook,facebook-ruby-business-sdk,https://github.com/facebook/facebook-ruby-business-sdk,0,9
facebook,sapp,https://github.com/facebook/sapp,3,0
facebook,FAI-PEP,https://github.com/facebook/FAI-PEP,2,0
facebook,Rapid,https://github.com/facebook/Rapid,2,49
facebook,wdt,https://github.com/facebook/wdt,5,2
facebook,bookworm,https://github.com/facebook/bookworm,2,3
facebook,winterfell,https://github.com/facebook/winterfell,0,76
facebook,IT-CPE,https://github.com/facebook/IT-CPE,8,63
facebook,squangle,https://github.com/facebook/squangle,8,1
facebook,netconsd,https://github.com/facebook/netconsd,9,1
facebook,facebook-php-business-sdk,https://github.com/facebook/facebook-php-business-sdk,0,1
facebook,SoLoader,https://github.com/facebook/SoLoader,0,0
facebook,OpenBIC,https://github.com/facebook/OpenBIC,30,0
facebook,bunnylol.rs,https://github.com/facebook/bunnylol.rs,6,2
facebook,buck2-shims-meta,https://github.com/facebook/buck2-shims-meta,2,1
facebook,dns,https://github.com/facebook/dns,1,3
facebook,capi-param-builder,https://github.com/facebook/capi-param-builder,23,2
facebook,gfxreconstruct,https://github.com/facebook/gfxreconstruct,0,0
facebook,facebook-business-sdk-codegen,https://github.com/facebook/facebook-business-sdk-codegen,0,1
facebookresearch,dinov3,https://github.com/facebookresearch/dinov3,12,7
facebookresearch,faiss,https://github.com/facebookresearch/faiss,57,0
facebookresearch,hydra,https://github.com/facebookresearch/hydra,7,79
facebookresearch,vjepa2,https://github.com/facebookresearch/vjepa2,3,12
facebookresearch,SONAR,https://github.com/facebookresearch/SONAR,3,25
facebookresearch,exca,https://github.com/facebookresearch/exca,2,78
facebookresearch,dinov2,https://github.com/facebookresearch/dinov2,1,34
facebookresearch,vggt,https://github.com/facebookresearch/vggt,7,13
facebookresearch,seamless_interaction,https://github.com/facebookresearch/seamless_interaction,4,2
facebookresearch,pytorch3d,https://github.com/facebookresearch/pytorch3d,2,1
facebookresearch,detectron2,https://github.com/facebookresearch/detectron2,1,0
