org,repo,hyperlink,commits_last_30d,PRs_closed_30d
microsoft,mcp-for-beginners,https://github.com/microsoft/mcp-for-beginners,100,92
microsoft,winget-pkgs,https://github.com/microsoft/winget-pkgs,0,94
microsoft,fluentui,https://github.com/microsoft/fluentui,0,93
microsoft,mcsmcp,https://github.com/microsoft/mcsmcp,3,2
microsoft,vscode,https://github.com/microsoft/vscode,100,89
microsoft,generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,11,43
microsoft,PowerToys,https://github.com/microsoft/PowerToys,80,91
microsoft,TypeScript,https://github.com/microsoft/TypeScript,13,59
microsoft,vscode-anycode,https://github.com/microsoft/vscode-anycode,15,73
microsoft,magentic-ui,https://github.com/microsoft/magentic-ui,15,67
microsoft,azure-devops-mcp,https://github.com/microsoft/azure-devops-mcp,48,78
microsoft,playwright-mcp,https://github.com/microsoft/playwright-mcp,86,77
microsoft,confidential-aci-testing,https://github.com/microsoft/confidential-aci-testing,5,77
microsoft,RIFT,https://github.com/microsoft/RIFT,4,2
microsoft,ai-agents-for-beginners,https://github.com/microsoft/ai-agents-for-beginners,14,73
microsoft,semantic-kernel,https://github.com/microsoft/semantic-kernel,58,94
microsoft,terminal,https://github.com/microsoft/terminal,36,80
microsoft,edit,https://github.com/microsoft/edit,10,65
microsoft,playwright,https://github.com/microsoft/playwright,100,83
microsoft,rnx-kit,https://github.com/microsoft/rnx-kit,72,95
microsoft,vscode-copilot-chat,https://github.com/microsoft/vscode-copilot-chat,100,94
microsoft,AI-For-Beginners,https://github.com/microsoft/AI-For-Beginners,3,59
microsoft,markitdown,https://github.com/microsoft/markitdown,0,71
microsoft,Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,3,46
microsoft,playwright-python,https://github.com/microsoft/playwright-python,13,88
microsoft,Mastering-GitHub-Copilot-for-Paired-Programming,https://github.com/microsoft/Mastering-GitHub-Copilot-for-Paired-Programming,59,35
microsoft,planetary-computer-tasks,https://github.com/microsoft/planetary-computer-tasks,9,97
microsoft,playwright-dotnet,https://github.com/microsoft/playwright-dotnet,20,90
microsoft,playwright-java,https://github.com/microsoft/playwright-java,4,89
microsoft,poml,https://github.com/microsoft/poml,36,72
microsoft,playwright-pytest,https://github.com/microsoft/playwright-pytest,2,88
microsoft,TimeCraft,https://github.com/microsoft/TimeCraft,3,11
microsoft,winget-cli,https://github.com/microsoft/winget-cli,0,96
microsoft,playwright-vscode,https://github.com/microsoft/playwright-vscode,11,77
microsoft,Security-101,https://github.com/microsoft/Security-101,2,15
microsoft,clrmd,https://github.com/microsoft/clrmd,6,93
microsoft,RD-Agent,https://github.com/microsoft/RD-Agent,78,92
microsoft,vscode-docs,https://github.com/microsoft/vscode-docs,100,80
microsoft,qlib,https://github.com/microsoft/qlib,4,62
microsoft,react-native-windows,https://github.com/microsoft/react-native-windows,60,77
microsoft,scitt-ccf-ledger,https://github.com/microsoft/scitt-ccf-ledger,4,86
microsoft,autogen,https://github.com/microsoft/autogen,30,76
microsoft,AI-Red-Teaming-Playground-Labs,https://github.com/microsoft/AI-Red-Teaming-Playground-Labs,1,8
microsoft,mssql-python,https://github.com/microsoft/mssql-python,12,78
microsoft,presidio,https://github.com/microsoft/presidio,17,78
microsoft,clarity-apps,https://github.com/microsoft/clarity-apps,7,12
microsoft,WindowsAppSDK,https://github.com/microsoft/WindowsAppSDK,22,92
microsoft,go,https://github.com/microsoft/go,0,93
microsoft,JARVIS,https://github.com/microsoft/JARVIS,2,23
microsoft,data-formulator,https://github.com/microsoft/data-formulator,0,83
microsoft,ML-For-Beginners,https://github.com/microsoft/ML-For-Beginners,2,22
microsoft,DirectML,https://github.com/microsoft/DirectML,0,75
microsoft,windows-rs,https://github.com/microsoft/windows-rs,0,86
microsoft,opensource.microsoft.com,https://github.com/microsoft/opensource.microsoft.com,63,89
microsoft,vs-streamjsonrpc,https://github.com/microsoft/vs-streamjsonrpc,65,68
microsoft,microsoft-ui-xaml,https://github.com/microsoft/microsoft-ui-xaml,2,75
microsoft,windows-ai-studio-templates,https://github.com/microsoft/windows-ai-studio-templates,55,87
microsoft,mu_common_intel_min_platform,https://github.com/microsoft/mu_common_intel_min_platform,0,85
microsoft,terraform-provider-msgraph,https://github.com/microsoft/terraform-provider-msgraph,1,11
microsoft,mu_plus,https://github.com/microsoft/mu_plus,0,82
microsoft,ai-dev-gallery,https://github.com/microsoft/ai-dev-gallery,39,95
microsoft,mu_tiano_plus,https://github.com/microsoft/mu_tiano_plus,0,75
microsoft,mu_basecore,https://github.com/microsoft/mu_basecore,0,85
microsoft,onnxruntime,https://github.com/microsoft/onnxruntime,100,88
microsoft,mastering-github-copilot-for-dotnet-csharp-developers,https://github.com/microsoft/mastering-github-copilot-for-dotnet-csharp-developers,3,13
microsoft,CCF,https://github.com/microsoft/CCF,52,95
microsoft,inshellisense,https://github.com/microsoft/inshellisense,12,97
microsoft,CSS-Exchange,https://github.com/microsoft/CSS-Exchange,41,97
microsoft,Microsoft365DSC,https://github.com/microsoft/Microsoft365DSC,0,87
microsoft,wslg,https://github.com/microsoft/wslg,3,90
microsoft,graphrag,https://github.com/microsoft/graphrag,3,71
microsoft,Policy-Weaver,https://github.com/microsoft/Policy-Weaver,26,35
microsoft,homebrew-git,https://github.com/microsoft/homebrew-git,0,75
microsoft,typescript-go,https://github.com/microsoft/typescript-go,95,89
microsoft,react-native-test-app,https://github.com/microsoft/react-native-test-app,0,99
microsoft,xdp-for-windows,https://github.com/microsoft/xdp-for-windows,4,94
microsoft,OpenAPI.NET,https://github.com/microsoft/OpenAPI.NET,25,87
microsoft,wassette,https://github.com/microsoft/wassette,100,86
microsoft,Generative-AI-for-beginners-java,https://github.com/microsoft/Generative-AI-for-beginners-java,100,22
microsoft,agent-lightning,https://github.com/microsoft/agent-lightning,29,32
microsoft,genaiscript,https://github.com/microsoft/genaiscript,0,52
microsoft,fluentui-contrib,https://github.com/microsoft/fluentui-contrib,18,44
microsoft,documentdb,https://github.com/microsoft/documentdb,82,56
microsoft,semantic-kernel-java,https://github.com/microsoft/semantic-kernel-java,2,95
microsoft,UFO,https://github.com/microsoft/UFO,4,93
microsoft,go-mssqldb,https://github.com/microsoft/go-mssqldb,1,84
