org,repo,hyperlink,commits_last_30d,PRs_closed_30d
samsungds,unvme-cli,https://github.com/SamsungDS/unvme-cli,29,0
samsungds,libvfn,https://github.com/SamsungDS/libvfn,6,27
samsungds,vmctl,https://github.com/SamsungDS/vmctl,0,25
samsungds,exynos-eco,https://github.com/SamsungDS/exynos-eco,1,0
jpmorganchase,salt-ds,https://github.com/jpmorganchase/salt-ds,39,85
jpmorganchase,fusion,https://github.com/jpmorganchase/fusion,0,90
jpmorganchase,nbcelltests,https://github.com/jpmorganchase/nbcelltests,7,89
jpmorganchase,jupyter-fs,https://github.com/jpmorganchase/jupyter-fs,12,75
jpmorganchase,mosaic,https://github.com/jpmorganchase/mosaic,3,79
jpmorganchase,QOKit,https://github.com/jpmorganchase/QOKit,18,51
jpmorganchase,fusion-3.7,https://github.com/jpmorganchase/fusion-3.7,28,14
jpmorganchase,anu,https://github.com/jpmorganchase/anu,5,83
jpmorganchase,fusion-java-sdk,https://github.com/jpmorganchase/fusion-java-sdk,8,87
ford,hoppscotch,https://github.com/Ford/hoppscotch,37,0
verizon,verizon-geofeed,https://github.com/Verizon/verizon-geofeed,11,98
att-comdev,charts,https://github.com/att-comdev/charts,0,0
att-comdev,cicd,https://github.com/att-comdev/cicd,0,0
teslamotors,zephyr,https://github.com/teslamotors/zephyr,100,0
teslamotors,LVCS,https://github.com/teslamotors/LVCS,5,0
teslamotors,vehicle-command,https://github.com/teslamotors/vehicle-command,3,89
teslamotors,fixed-containers,https://github.com/teslamotors/fixed-containers,0,88
teslamotors,fleet-telemetry,https://github.com/teslamotors/fleet-telemetry,1,81
teslamotors,ansible_puller,https://github.com/teslamotors/ansible_puller,0,42
tencent-hunyuan,Hunyuan-GameCraft-1.0,https://github.com/Tencent-Hunyuan/Hunyuan-GameCraft-1.0,29,2
tencent-hunyuan,Hunyuan3D-2,https://github.com/Tencent-Hunyuan/Hunyuan3D-2,7,25
tencent-hunyuan,HunyuanWorld-1.0,https://github.com/Tencent-Hunyuan/HunyuanWorld-1.0,24,2
tencent-hunyuan,MixGRPO,https://github.com/Tencent-Hunyuan/MixGRPO,9,0
