company;github_org;repo;hyperlink;last_commit;days_since_commit;activity_status;stars;language;is_fork;is_archived
Microsoft;microsoft;mcp-for-beginners;https://github.com/microsoft/mcp-for-beginners;2025-08-18;0;Very Active;9400;Python;False;False
Microsoft;microsoft;winget-pkgs;https://github.com/microsoft/winget-pkgs;2025-08-18;0;Very Active;9619;PowerShell;False;False
Microsoft;microsoft;fluentui;https://github.com/microsoft/fluentui;2025-08-18;0;Very Active;19480;TypeScript;False;False
Microsoft;microsoft;mcsmcp;https://github.com/microsoft/mcsmcp;2025-07-25;24;Active;205;Bicep;False;False
Microsoft;microsoft;vscode;https://github.com/microsoft/vscode;2025-08-18;0;Very Active;175854;TypeScript;False;False
Microsoft;microsoft;generative-ai-for-beginners;https://github.com/microsoft/generative-ai-for-beginners;2025-08-18;0;Very Active;95136;Jupyter Notebook;False;False
Microsoft;microsoft;PowerToys;https://github.com/microsoft/PowerToys;2025-08-18;0;Very Active;122299;C#;False;False
Microsoft;microsoft;TypeScript;https://github.com/microsoft/TypeScript;2025-08-18;0;Very Active;105632;TypeScript;False;False
Microsoft;microsoft;vscode-anycode;https://github.com/microsoft/vscode-anycode;2025-08-18;0;Very Active;367;JavaScript;False;False
Microsoft;microsoft;magentic-ui;https://github.com/microsoft/magentic-ui;2025-08-15;2;Very Active;7426;Python;False;False
Microsoft;microsoft;azure-devops-mcp;https://github.com/microsoft/azure-devops-mcp;2025-08-18;0;Very Active;615;TypeScript;False;False
Microsoft;microsoft;playwright-mcp;https://github.com/microsoft/playwright-mcp;2025-08-17;1;Very Active;17321;TypeScript;False;False
Microsoft;microsoft;confidential-aci-testing;https://github.com/microsoft/confidential-aci-testing;2025-08-18;0;Very Active;2;Python;False;False
Microsoft;microsoft;RIFT;https://github.com/microsoft/RIFT;2025-08-01;17;Active;221;Python;False;False
Microsoft;microsoft;ai-agents-for-beginners;https://github.com/microsoft/ai-agents-for-beginners;2025-07-24;25;Active;34495;Jupyter Notebook;False;False
Microsoft;microsoft;semantic-kernel;https://github.com/microsoft/semantic-kernel;2025-08-18;0;Very Active;25846;C#;False;False
Microsoft;microsoft;terminal;https://github.com/microsoft/terminal;2025-08-17;0;Very Active;99233;C++;False;False
Microsoft;microsoft;lida;https://github.com/microsoft/lida;2024-08-08;374;Abandoned;3109;Jupyter Notebook;False;False
Microsoft;microsoft;edit;https://github.com/microsoft/edit;2025-08-13;4;Very Active;12064;Rust;False;False
Microsoft;microsoft;playwright;https://github.com/microsoft/playwright;2025-08-18;0;Very Active;76088;TypeScript;False;False
Microsoft;microsoft;rnx-kit;https://github.com/microsoft/rnx-kit;2025-08-18;0;Very Active;1651;TypeScript;False;False
Microsoft;microsoft;vscode-copilot-chat;https://github.com/microsoft/vscode-copilot-chat;2025-08-18;0;Very Active;8303;TypeScript;False;False
Microsoft;microsoft;AI-For-Beginners;https://github.com/microsoft/AI-For-Beginners;2025-08-07;11;Active;39660;Jupyter Notebook;False;False
Microsoft;microsoft;markitdown;https://github.com/microsoft/markitdown;2025-08-11;6;Very Active;71950;Python;False;False
Microsoft;microsoft;Web-Dev-For-Beginners;https://github.com/microsoft/Web-Dev-For-Beginners;2025-08-07;11;Active;91428;JavaScript;False;False
Microsoft;microsoft;playwright-python;https://github.com/microsoft/playwright-python;2025-08-14;4;Very Active;13562;Python;False;False
Microsoft;microsoft;Mastering-GitHub-Copilot-for-Paired-Programming;https://github.com/microsoft/Mastering-GitHub-Copilot-for-Paired-Programming;2025-08-07;11;Active;6747;Python;False;False
Microsoft;microsoft;planetary-computer-tasks;https://github.com/microsoft/planetary-computer-tasks;2025-08-18;0;Very Active;38;Python;False;False
Microsoft;microsoft;playwright-dotnet;https://github.com/microsoft/playwright-dotnet;2025-08-13;4;Very Active;2745;C#;False;False
Microsoft;microsoft;playwright-java;https://github.com/microsoft/playwright-java;2025-08-11;6;Very Active;1351;Java;False;False
Microsoft;microsoft;poml;https://github.com/microsoft/poml;2025-08-18;0;Very Active;3261;TypeScript;False;False
Microsoft;microsoft;playwright-pytest;https://github.com/microsoft/playwright-pytest;2025-08-04;14;Active;499;Python;False;False
Microsoft;microsoft;unilm;https://github.com/microsoft/unilm;2025-07-03;46;Maintained;21633;Python;False;False
Microsoft;microsoft;TimeCraft;https://github.com/microsoft/TimeCraft;2025-07-22;27;Active;697;Python;False;False
Microsoft;microsoft;rust_fallible_vec;https://github.com/microsoft/rust_fallible_vec;2024-05-14;460;Abandoned;29;Rust;False;False
Microsoft;microsoft;winget-cli;https://github.com/microsoft/winget-cli;2025-08-13;4;Very Active;24658;C++;False;False
Microsoft;microsoft;playwright-vscode;https://github.com/microsoft/playwright-vscode;2025-08-11;7;Very Active;405;TypeScript;False;False
Microsoft;microsoft;Security-101;https://github.com/microsoft/Security-101;2025-08-07;11;Active;5584;HTML;False;False
Microsoft;microsoft;clrmd;https://github.com/microsoft/clrmd;2025-08-18;0;Very Active;1106;C#;False;False
Microsoft;microsoft;RD-Agent;https://github.com/microsoft/RD-Agent;2025-08-18;0;Very Active;7052;Python;False;False
Microsoft;microsoft;vscode-docs;https://github.com/microsoft/vscode-docs;2025-08-18;0;Very Active;6127;Markdown;False;False
Microsoft;microsoft;qlib;https://github.com/microsoft/qlib;2025-08-18;0;Very Active;28448;Python;False;False
Microsoft;microsoft;react-native-windows;https://github.com/microsoft/react-native-windows;2025-08-18;0;Very Active;16949;C++;False;False
Microsoft;microsoft;OmniParser;https://github.com/microsoft/OmniParser;2025-03-26;144;Stale;23305;Jupyter Notebook;False;False
Microsoft;microsoft;PIKE-RAG;https://github.com/microsoft/PIKE-RAG;2025-05-07;103;Stale;1944;Python;False;False
Microsoft;microsoft;scitt-ccf-ledger;https://github.com/microsoft/scitt-ccf-ledger;2025-08-18;0;Very Active;38;Python;False;False
Microsoft;microsoft;table-transformer;https://github.com/microsoft/table-transformer;2024-06-24;420;Abandoned;2703;Python;False;False
Microsoft;microsoft;autogen;https://github.com/microsoft/autogen;2025-08-11;6;Very Active;48810;Python;False;False
Microsoft;microsoft;AI-Red-Teaming-Playground-Labs;https://github.com/microsoft/AI-Red-Teaming-Playground-Labs;2025-08-14;4;Very Active;1505;TypeScript;False;False
Microsoft;microsoft;mssql-python;https://github.com/microsoft/mssql-python;2025-08-18;0;Very Active;162;Python;False;False
Microsoft;microsoft;presidio;https://github.com/microsoft/presidio;2025-08-18;0;Very Active;5256;Python;False;False
Microsoft;microsoft;clarity-apps;https://github.com/microsoft/clarity-apps;2025-08-18;0;Very Active;60;Swift;False;False
Microsoft;microsoft;WindowsAppSDK;https://github.com/microsoft/WindowsAppSDK;2025-08-18;0;Very Active;4231;C++;False;False
Microsoft;microsoft;vc-ue-extensions;https://github.com/microsoft/vc-ue-extensions;2025-06-09;70;Maintained;364;C++;False;False
Microsoft;microsoft;go;https://github.com/microsoft/go;2025-08-18;0;Very Active;389;Go;False;False
Microsoft;microsoft;JARVIS;https://github.com/microsoft/JARVIS;2025-07-29;20;Active;24280;Python;False;False
Microsoft;microsoft;data-formulator;https://github.com/microsoft/data-formulator;2025-08-15;3;Very Active;13156;TypeScript;False;False
Microsoft;microsoft;ML-For-Beginners;https://github.com/microsoft/ML-For-Beginners;2025-08-07;11;Active;76663;HTML;False;False
Microsoft;microsoft;DirectML;https://github.com/microsoft/DirectML;2025-08-15;3;Very Active;2500;C++;False;False
Microsoft;microsoft;picologging;https://github.com/microsoft/picologging;2025-06-17;61;Maintained;742;Python;False;False
Microsoft;microsoft;windows-rs;https://github.com/microsoft/windows-rs;2025-08-18;0;Very Active;11531;Rust;False;False
Microsoft;microsoft;opensource.microsoft.com;https://github.com/microsoft/opensource.microsoft.com;2025-08-18;0;Very Active;954;TypeScript;False;False
Microsoft;microsoft;CSS_SQL_Networking_Tools;https://github.com/microsoft/CSS_SQL_Networking_Tools;2025-02-07;191;Stale;195;C#;False;False
Microsoft;microsoft;vs-streamjsonrpc;https://github.com/microsoft/vs-streamjsonrpc;2025-08-18;0;Very Active;851;C#;False;False
Microsoft;microsoft;antares;https://github.com/microsoft/antares;2025-04-20;120;Stale;472;C++;False;False
Microsoft;microsoft;microsoft-ui-xaml;https://github.com/microsoft/microsoft-ui-xaml;2025-08-15;2;Very Active;6923;C++;False;False
Microsoft;microsoft;windows-ai-studio-templates;https://github.com/microsoft/windows-ai-studio-templates;2025-08-18;0;Very Active;39;Python;False;False
Microsoft;microsoft;ailab;https://github.com/microsoft/ailab;2024-06-26;417;Abandoned;7822;C#;False;False
Microsoft;microsoft;mu_common_intel_min_platform;https://github.com/microsoft/mu_common_intel_min_platform;2025-08-18;0;Very Active;26;C;False;False
Microsoft;microsoft;terraform-provider-msgraph;https://github.com/microsoft/terraform-provider-msgraph;2025-07-30;19;Active;24;Go;False;False
Microsoft;microsoft;mu_plus;https://github.com/microsoft/mu_plus;2025-08-18;0;Very Active;243;C;False;False
Microsoft;microsoft;ai-dev-gallery;https://github.com/microsoft/ai-dev-gallery;2025-08-14;4;Very Active;1183;C#;False;False
Microsoft;microsoft;mu_tiano_plus;https://github.com/microsoft/mu_tiano_plus;2025-08-18;0;Very Active;77;C;False;False
Microsoft;microsoft;mu_basecore;https://github.com/microsoft/mu_basecore;2025-08-18;0;Very Active;269;C;False;False
Microsoft;microsoft;onnxruntime;https://github.com/microsoft/onnxruntime;2025-08-18;0;Very Active;17551;C++;False;False
Microsoft;microsoft;mastering-github-copilot-for-dotnet-csharp-developers;https://github.com/microsoft/mastering-github-copilot-for-dotnet-csharp-developers;2025-08-07;11;Active;258;C#;False;False
Microsoft;microsoft;rStar;https://github.com/microsoft/rStar;2025-07-15;34;Maintained;617;Python;False;False
Microsoft;microsoft;CCF;https://github.com/microsoft/CCF;2025-08-18;0;Very Active;830;C++;False;False
Microsoft;microsoft;foss-fund;https://github.com/microsoft/foss-fund;2025-06-26;52;Maintained;413;N/A;False;False
Microsoft;microsoft;inshellisense;https://github.com/microsoft/inshellisense;2025-07-26;22;Active;9395;TypeScript;False;False
Microsoft;microsoft;MicrosoftCloud;https://github.com/microsoft/MicrosoftCloud;2025-03-22;149;Stale;79;HTML;False;False
Microsoft;microsoft;CSS-Exchange;https://github.com/microsoft/CSS-Exchange;2025-08-18;0;Very Active;1256;PowerShell;False;False
Microsoft;microsoft;cascadia-code;https://github.com/microsoft/cascadia-code;2025-03-06;165;Stale;27065;Python;False;False
Microsoft;microsoft;SoM;https://github.com/microsoft/SoM;2024-08-19;364;Stale;1442;Python;False;False
Microsoft;microsoft;Microsoft365DSC;https://github.com/microsoft/Microsoft365DSC;2025-08-08;9;Active;1936;PowerShell;False;False
Microsoft;microsoft;wslg;https://github.com/microsoft/wslg;2025-08-13;4;Very Active;11135;C++;False;False
Microsoft;microsoft;graphrag;https://github.com/microsoft/graphrag;2025-08-15;2;Very Active;27334;Python;False;False
Microsoft;microsoft;Policy-Weaver;https://github.com/microsoft/Policy-Weaver;2025-08-18;0;Very Active;12;Python;False;False
Microsoft;microsoft;tsdoc;https://github.com/microsoft/tsdoc;2025-07-15;33;Maintained;4865;TypeScript;False;False
Microsoft;microsoft;EVA;https://github.com/microsoft/EVA;2024-07-03;410;Abandoned;246;C++;False;False
Microsoft;microsoft;homebrew-git;https://github.com/microsoft/homebrew-git;2025-08-18;0;Very Active;21;Ruby;False;False
Microsoft;microsoft;PyCodeGPT;https://github.com/microsoft/PyCodeGPT;2023-06-12;797;Abandoned;280;Python;False;False
Microsoft;microsoft;typescript-go;https://github.com/microsoft/typescript-go;2025-08-18;0;Very Active;21744;Go;False;False
Microsoft;microsoft;react-native-test-app;https://github.com/microsoft/react-native-test-app;2025-08-18;0;Very Active;651;TypeScript;False;False
Microsoft;microsoft;xdp-for-windows;https://github.com/microsoft/xdp-for-windows;2025-08-18;0;Very Active;420;C;False;False
Microsoft;microsoft;artifacts-credprovider;https://github.com/microsoft/artifacts-credprovider;2025-07-01;47;Maintained;866;C#;False;False
