# Issues Total: 42
# Repository: https://github.com/shopify/checkout-sheet-kit-swift
# Generated: 2025-08-13
#
issue_title,comments_count,labels,opened_date,hyperlink
Does not show store credit payment option,12,Bug,2025-06-05,https://github.com/shopify/checkout-sheet-kit-swift/issues/302
"Inconsistent Behavior in CheckoutDelegateWrapper Callbacks (onComplete, onCancel)",7,"Bug, never-stale",2025-01-09,https://github.com/shopify/checkout-sheet-kit-swift/issues/264
Please add Storefront order object in the response of checkout sheet kit,4,"Feature-Request, untriaged",2025-05-06,https://github.com/shopify/checkout-sheet-kit-swift/issues/294
Fetching Order ID or Checkout ID / Status upon completion,5,,2024-01-26,https://github.com/shopify/checkout-sheet-kit-swift/issues/117
The checkout button color h5 is inconsistent with the sdk of the APP.,1,"Feature-Request, untriaged",2025-04-15,https://github.com/shopify/checkout-sheet-kit-swift/issues/290
[Feature Request] Bypass online store password,9,"Feature-Request, never-stale",2024-03-11,https://github.com/shopify/checkout-sheet-kit-swift/issues/151
GooglePay does not appear as a payment method.,2,"Bug, never-stale",2025-01-28,https://github.com/shopify/checkout-sheet-kit-swift/issues/270
"DeliveryAddressInput requires exactly one of delivery_address, customer_address_id",5,stale,2025-01-13,https://github.com/shopify/checkout-sheet-kit-swift/issues/265
Only one shipping address is being shown,12,Bug,2024-02-26,https://github.com/shopify/checkout-sheet-kit-swift/issues/134
"I have a Shopify store requiring users to log in for checkout. I’m using the Storefront API to authenticate and passing the token and email to the cart, but users are redirected to the login screen at checkout instead of completing their purchase.",5,Bug,2024-11-07,https://github.com/shopify/checkout-sheet-kit-swift/issues/236
Amazon Pay is not showing up on the checkout page even though this is a Japanese store.,2,"Bug, untriaged",2024-11-08,https://github.com/shopify/checkout-sheet-kit-swift/issues/238
App Store Review Rejection. Apple Pay Button Violation.,1,Bug,2024-11-22,https://github.com/shopify/checkout-sheet-kit-swift/issues/245
Cart buyer identity is not pre-filled in the checkout,23,Bug,2024-07-11,https://github.com/shopify/checkout-sheet-kit-swift/issues/189
CheckoutSheet swiftui issue,4,"Bug, stale",2024-07-11,https://github.com/shopify/checkout-sheet-kit-swift/issues/191
iDEAL payments do not function,3,"Bug, untriaged",2024-09-06,https://github.com/shopify/checkout-sheet-kit-swift/issues/213
Make CheckoutWebViewController open or public,3,"Feature-Request, stale",2024-06-26,https://github.com/shopify/checkout-sheet-kit-swift/issues/185
