# Issues Total: 232
# Repository: https://github.com/shopify/flash-list
# Generated: 2025-08-13
#
issue_title,comments_count,labels,opened_date,hyperlink
FlashList Small Gap Sometimes Between Items with Fractional Heights,0,"bug, v2.0",2025-08-07,https://github.com/shopify/flash-list/issues/1827
Loading another Flashlist causes a horizontal scroll bar to appear - IOS,0,"bug, v2.0",2025-08-07,https://github.com/shopify/flash-list/issues/1828
V2: Invalid attribute disableRecycling,0,"bug, v2.0",2025-08-12,https://github.com/shopify/flash-list/issues/1831
still have blank cells in V2，RN 0.79.2,0,"bug, v2.0",2025-08-12,https://github.com/shopify/flash-list/issues/1833
Jest mock returns `undefined`,1,"bug, v2.0",2025-08-12,https://github.com/shopify/flash-list/issues/1834
v2: maintainVisibleContentPosition doesn't work in horizontal,2,bug,2025-08-02,https://github.com/shopify/flash-list/issues/1817
FlashList broken when numColumns is 2 and App is in RTL,4,bug,2024-05-22,https://github.com/shopify/flash-list/issues/1207
onEndReached calls infinitilly in v2,2,bug,2025-07-26,https://github.com/shopify/flash-list/issues/1795
Items overlap in FlashList v2,7,bug,2025-07-27,https://github.com/shopify/flash-list/issues/1797
Scroll position changes when navigating back to a list in react navigation stack,1,bug,2025-08-02,https://github.com/shopify/flash-list/issues/1816
🐛 Bug Report: Infinite Render Loop in FlashList v2 (setRenderId),20,bug,2025-07-14,https://github.com/shopify/flash-list/issues/1773
'Maximum update depth exceeded' issue,7,bug,2025-07-21,https://github.com/shopify/flash-list/issues/1792
Blank space still exists,21,bug,2023-07-04,https://github.com/shopify/flash-list/issues/868
v2: Horizontal list overflow clipped,2,bug,2025-08-04,https://github.com/shopify/flash-list/issues/1822
V2: MVCP not adjusting position when item above changes layout,1,bug,2025-08-04,https://github.com/shopify/flash-list/issues/1823
Impossible to have list with overflow visible,1,bug,2023-11-09,https://github.com/shopify/flash-list/issues/945
Getting 'StickyContainer' error,1,bug,2025-07-27,https://github.com/shopify/flash-list/issues/1796
"[v2.0.0, v2.0.0-rc] inverted={true} not working on both iOS and Android",1,bug,2025-08-01,https://github.com/shopify/flash-list/issues/1814
Missing `tslib` package,1,bug,2025-08-01,https://github.com/shopify/flash-list/issues/1812
Incorrect scroll direction on web with `inverted` prop,6,bug,2024-09-11,https://github.com/shopify/flash-list/issues/1351
[BUG] FlashList inside Stack of expo-router overlapping content,1,bug,2025-07-16,https://github.com/shopify/flash-list/issues/1787
"Unlike FlatList, which resizes properly when the screen dimensions change, the FlashList container does not adjust its size correctly.",6,"bug, v2.0",2025-06-10,https://github.com/shopify/flash-list/issues/1717
