# Issues Total: 189
# Repository: https://github.com/shopify/hydrogen
# Generated: 2025-08-13
#
issue_title,comments_count,labels,opened_date,hyperlink
Error while running locally an hydrogen app for first time on Windows,2,,2024-10-15,https://github.com/shopify/hydrogen/issues/2604
Can't upgrade to latest version of Hydrogen using Shopify CLI,4,,2025-06-04,https://github.com/shopify/hydrogen/issues/2975
View GraphiQL API browser down,3,,2025-06-24,https://github.com/shopify/hydrogen/issues/2996
Hydrogen redirect theme seised to work for customer account pages,0,untriaged,2025-07-25,https://github.com/shopify/hydrogen/issues/3031
"isOptimistic for CartLineItem only works when added to cart, not when updating or removing the line",4,,2024-12-12,https://github.com/shopify/hydrogen/issues/2673
Hydrogen app doesn't work with custom plans,9,Feature,2025-07-18,https://github.com/shopify/hydrogen/issues/3020
Codegen stops working after installing the official prettier-plugin-tailwindcss plugin,2,untriaged,2025-06-19,https://github.com/shopify/hydrogen/issues/2994
GraphiQL API browser not loading,3,,2025-07-16,https://github.com/shopify/hydrogen/issues/3019
Product Bundles - Not showing in Storefront API on Headless Site,6,"Bug, SEV-3",2024-06-18,https://github.com/shopify/hydrogen/issues/2259
Hydrogen dev codegen fails on Windows with double-“Users” path causing EPERM,5,,2025-06-07,https://github.com/shopify/hydrogen/issues/2980
Improve the image component,2,Feature,2024-07-15,https://github.com/shopify/hydrogen/issues/2329
Invalid hook call,3,,2025-04-30,https://github.com/shopify/hydrogen/issues/2901
`useOptimisticCart` not optimistically updating total cost amounts,1,,2025-07-16,https://github.com/shopify/hydrogen/issues/3018
Submitting a form built with the remix-form library triggers the following error: 'A ReadableStream branch was created but never consumed.',0,untriaged,2025-06-09,https://github.com/shopify/hydrogen/issues/2981
CSP nonce incompatibility between Hydrogen 2025.5.0 and React Router v7.6.0 hydration scripts when deployed to Oxygen,1,"untriaged, can't reproduce",2025-06-27,https://github.com/shopify/hydrogen/issues/3003
Streaming/Suspense don't work in Shopify/hydrogen,8,"Bug, SEV-3",2025-04-17,https://github.com/shopify/hydrogen/issues/2867
localhost:3000/graphiql not working,1,,2025-07-15,https://github.com/shopify/hydrogen/issues/3016
Browser extensions that modify the DOM cause Hydrogen to crash,2,,2025-07-01,https://github.com/shopify/hydrogen/issues/3004
Add to cart is failing in preview,4,,2025-05-21,https://github.com/shopify/hydrogen/issues/2959
Local `https` not working,4,,2025-05-26,https://github.com/shopify/hydrogen/issues/2964
"Oxygen broken on all environments, including production, preview and local environments.",3,,2025-06-04,https://github.com/shopify/hydrogen/issues/2974
React router's prerender/SSG functionality not working,2,Feature,2025-06-27,https://github.com/shopify/hydrogen/issues/3002
Using `Script` in combination with `json+ld` in SEO meta leads to hydration errors,0,,2025-07-14,https://github.com/shopify/hydrogen/issues/3014
Analytics subscriptions stop firing if you go from checkout to store via back button,0,analytics,2025-05-17,https://github.com/shopify/hydrogen/issues/2937
Customer API Order.fulfillmentstatus is typed to the wrong ENUM data,0,Customer Account API,2025-07-02,https://github.com/shopify/hydrogen/issues/3005
Shopify Hydrogen Deploy deletes sourcemaps before Sentry Vite plugin runs,5,Bug,2025-05-28,https://github.com/shopify/hydrogen/issues/2965
"Googlebot gets error 500 """"unable to decode turbo-stream response""""",0,,2025-06-27,https://github.com/shopify/hydrogen/issues/3001
Graphql Validation Errors for Customer Account Queries,4,,2025-03-08,https://github.com/shopify/hydrogen/issues/2789
Incompatibility of react-compiler-runtime with Vite app,1,,2024-12-06,https://github.com/shopify/hydrogen/issues/2664
`customerEmailMarketingSubscribe` mutation ignores double opt-in setting,1,,2025-05-12,https://github.com/shopify/hydrogen/issues/2919
Shop Pay Installments component,5,"Blocked, @shopify/hydrogen-react, Storefront API",2022-11-03,https://github.com/shopify/hydrogen/issues/628
`Money` component and `useMoney` hook don’t respect app language format,1,"Bug, SEV-3",2024-09-09,https://github.com/shopify/hydrogen/issues/2507
`page_viewed` Analytics events not firing when expected,23,"Bug, analytics, SEV-3",2024-08-27,https://github.com/shopify/hydrogen/issues/2475
[Bug]: `node_modules` not getting updated while upgrading shopify hydrogen version using yarn,1,,2025-03-16,https://github.com/shopify/hydrogen/issues/2830
"MiniflareCoreError [ERR_RUNTIME_FAILURE] When Running """"npm run dev"""" in Hydrogen Storefront",9,,2025-03-19,https://github.com/shopify/hydrogen/issues/2799
Oversized cookie error on account creation,0,,2025-06-03,https://github.com/shopify/hydrogen/issues/2973
cartCreate buyer identity and discount codes do not persist to checkout,0,,2025-06-03,https://github.com/shopify/hydrogen/issues/2972
"Error: """"Cannot redefine property: Shopify"""" when run Hydrogen on local",8,,2024-09-19,https://github.com/shopify/hydrogen/issues/2549
"MiniOxygen: Error during evaluation: Error: write EPIPE (Hydrogen 2025.5.0, Node 18/20/22, Ubuntu 5.15)",0,,2025-05-29,https://github.com/shopify/hydrogen/issues/2968
Express hangs when attempting to run production server,1,,2025-05-29,https://github.com/shopify/hydrogen/issues/2966
ErrorBoundary not rendering on account_.authorize.jsx,2,"Bug, SEV-4",2024-11-14,https://github.com/shopify/hydrogen/issues/2644
[Bug] Error building express remix after updating hydrogen to version 2025.1.3,2,,2025-04-09,https://github.com/shopify/hydrogen/issues/2846
MiniOxygen encountered an error while running your app's entry point,1,,2025-05-06,https://github.com/shopify/hydrogen/issues/2908
Better custom cart fragment typing,2,Feature,2024-08-15,https://github.com/shopify/hydrogen/issues/2440
GET  500  render  /service-worker.js after clean npm create @shopify/hydrogen@latest -- --quickstart,1,,2025-03-29,https://github.com/shopify/hydrogen/issues/2825
Shopify Oxygen fails to load the latest changes to SVGs when making updates in /public/svgs,1,,2025-05-01,https://github.com/shopify/hydrogen/issues/2902
Update GTM example with real events,1,,2025-01-09,https://github.com/shopify/hydrogen/issues/2699
Directory import 'x/Y/Z/node_modules/vite' is not supported resolving es modules,4,,2025-03-27,https://github.com/shopify/hydrogen/issues/2811
ReferenceError: process is not defined when using Shapediver,3,,2025-04-11,https://github.com/shopify/hydrogen/issues/2858
Uncaught Error: Disallowed operation called within global scope.,7,wont-fix,2025-03-23,https://github.com/shopify/hydrogen/issues/2805
"Error """"SelectPrompt requires at least one choice"""" when try to connect to storefront",3,,2025-02-21,https://github.com/shopify/hydrogen/issues/2772
Upgrade to 2025.1.2 resulted in hydrogen project not being found,3,"Blocked, can't reproduce",2025-04-01,https://github.com/shopify/hydrogen/issues/2835
MiniOxygen encountered an error while running your app's entry point,14,"Bug, SEV-3",2024-07-25,https://github.com/shopify/hydrogen/issues/2366
CLI Upgrade command can't detect the package manager in monorepos with single lock file at the root,0,,2025-04-01,https://github.com/shopify/hydrogen/issues/2834
Hydrogen CLI does not support Yarn v4 with Hydrogen upgrade,3,Blocked,2024-06-04,https://github.com/shopify/hydrogen/issues/2191
npm error code ERESOLVE While resolving: @shopify/mini-oxygen@3.1.2 when running `npx shopify hydrogen upgrade`,1,,2025-03-28,https://github.com/shopify/hydrogen/issues/2820
Unable to run server after clean install with npm create @shopify/hydrogen@latest,4,,2025-03-27,https://github.com/shopify/hydrogen/issues/2812
Weird Behavior with Filters from Storefront API returning 0 results when filter is selected,5,,2025-02-21,https://github.com/shopify/hydrogen/issues/2774
Vite and MiniOxygen errors when using `vanilla-extract` and `formik`,1,Bug,2024-08-26,https://github.com/shopify/hydrogen/issues/2468
Error while running Hydrogen on Windows 11,7,,2025-03-19,https://github.com/shopify/hydrogen/issues/2798
Brand new hydrogen project issue with VITE import of Tailwindcss v4,5,"Bug, SEV-4",2024-09-23,https://github.com/shopify/hydrogen/issues/2557
Ability to purchase with Apple|Google|PayPal,10,"Blocked, @shopify/hydrogen-react, Storefront API",2021-07-13,https://github.com/shopify/hydrogen/issues/618
Cart Id / Cookie is not reset on checkout completed,19,checkout,2024-09-12,https://github.com/shopify/hydrogen/issues/2524
Generated sitemap.xml weirdness,3,,2025-02-25,https://github.com/shopify/hydrogen/issues/2777
