# Issues Total: 190
# Repository: https://github.com/shopify/toxiproxy
# Generated: 2025-08-13
#
issue_title,comments_count,labels,opened_date,hyperlink
Latency toxic is not bidirectional (and this is undocumented),0,,2025-07-20,https://github.com/shopify/toxiproxy/issues/655
Is Redis Cluster/ PostGresDB Connection(based on master/slave architecture) supported for ToxiProxy ? ,1,,2024-01-28,https://github.com/shopify/toxiproxy/issues/557
Add docker compose sample,0,,2025-06-09,https://github.com/shopify/toxiproxy/issues/647
Ignore certificate errors when creating proxy over a https url,0,,2025-06-04,https://github.com/shopify/toxiproxy/issues/646
Issues with re-routing https traffic,4,,2016-10-13,https://github.com/shopify/toxiproxy/issues/136
🤝 Web interface (Toxihub) 🙊,0,,2025-05-08,https://github.com/shopify/toxiproxy/issues/641
Add ability to specify toxics in the config file,3,"Toxiproxy, ideas",2022-09-29,https://github.com/shopify/toxiproxy/issues/447
Populate doesn't compare hostnames properly,0,,2016-09-14,https://github.com/shopify/toxiproxy/issues/131
toxicity parameter ignored,2,,2020-02-21,https://github.com/shopify/toxiproxy/issues/272
Proxy-wide bandwidth limit,0,,2025-01-23,https://github.com/shopify/toxiproxy/issues/613
Toxic with toxicity: 0 still affects proxy,2,,2024-12-05,https://github.com/shopify/toxiproxy/issues/603
non-local API server connection refused when using '-config',2,,2023-06-20,https://github.com/shopify/toxiproxy/issues/516
"Container images for arm,v6 and arm,v7 are broken",0,,2024-07-22,https://github.com/shopify/toxiproxy/issues/580
how to access request and response data from the proxy server,4,,2016-08-03,https://github.com/shopify/toxiproxy/issues/118
K8s support,11,,2018-05-09,https://github.com/shopify/toxiproxy/issues/213
Support or simulate packet lose in Toxiproxy?,0,,2024-06-11,https://github.com/shopify/toxiproxy/issues/578
Dynamic / Conditional Toxics?,2,,2023-07-25,https://github.com/shopify/toxiproxy/issues/518
Release toxiproxy changes,0,,2024-03-12,https://github.com/shopify/toxiproxy/issues/560
Toxiproxy control port hangs on removing a toxic,2,,2024-02-21,https://github.com/shopify/toxiproxy/issues/558
Scrapoxy,2,,2018-08-03,https://github.com/shopify/toxiproxy/issues/221
