org,repo,github_repo_url,last_committed,days_since_commit,stars,language,commits_last_30d,merges_last_30d,repo_health_score
raspberrypi,linux,https://github.com/raspberrypi/linux ,2025-08-28,0,11991,C,958,3,480.5
ocadotechnology,codeforlife-workspace,https://github.com/ocadotechnology/codeforlife-workspace ,2025-08-22,6,4,Python,78,0,39.0
man-group,ArcticDB,https://github.com/man-group/ArcticDB ,2025-08-28,0,2033,C++,75,0,37.5
nanoporetech,dorado,https://github.com/nanoporetech/dorado ,2025-08-13,15,717,C++,43,13,28.0
raspberrypi,documentation,https://github.com/raspberrypi/documentation ,2025-08-27,1,5440,Python,37,5,21.0
raspberrypi,rpi-imager,https://github.com/raspberrypi/rpi-imager ,2025-08-28,0,2026,C++,39,0,19.5
jpmorganchase,salt-ds,https://github.com/jpmorganchase/salt-ds ,2025-08-28,0,170,TypeScript,38,0,19.0
jpmorganchase,salt-ds,https://github.com/jpmorganchase/salt-ds ,2025-08-28,0,170,TypeScript,38,0,19.0
jpmorganchase,salt-ds,https://github.com/jpmorganchase/salt-ds ,2025-08-28,0,170,TypeScript,38,0,19.0
jpmorganchase,salt-ds,https://github.com/jpmorganchase/salt-ds ,2025-08-28,0,170,TypeScript,38,0,19.0
jpmorganchase,salt-ds,https://github.com/jpmorganchase/salt-ds ,2025-08-28,0,170,TypeScript,38,0,19.0
jpmorganchase,salt-ds,https://github.com/jpmorganchase/salt-ds ,2025-08-28,0,170,TypeScript,38,0,19.0
jpmorganchase,salt-ds,https://github.com/jpmorganchase/salt-ds ,2025-08-28,0,170,TypeScript,38,0,19.0
jpmorganchase,anu,https://github.com/jpmorganchase/anu ,2025-08-27,1,44,JavaScript,32,5,18.5
jpmorganchase,anu,https://github.com/jpmorganchase/anu ,2025-08-27,1,44,JavaScript,32,5,18.5
jpmorganchase,anu,https://github.com/jpmorganchase/anu ,2025-08-27,1,44,JavaScript,32,5,18.5
jpmorganchase,anu,https://github.com/jpmorganchase/anu ,2025-08-27,1,44,JavaScript,32,5,18.5
jpmorganchase,anu,https://github.com/jpmorganchase/anu ,2025-08-27,1,44,JavaScript,32,5,18.5
jpmorganchase,anu,https://github.com/jpmorganchase/anu ,2025-08-27,1,44,JavaScript,32,5,18.5
jpmorganchase,anu,https://github.com/jpmorganchase/anu ,2025-08-27,1,44,JavaScript,32,5,18.5
nanoporetech,dorado-docs,https://github.com/nanoporetech/dorado-docs ,2025-08-04,24,6,Python,19,5,12.0
ocadotechnology,codeforlife-package-javascript,https://github.com/ocadotechnology/codeforlife-package-javascript ,2025-08-22,6,0,TypeScript,19,0,9.5
ocadotechnology,rapid-router,https://github.com/ocadotechnology/rapid-router ,2025-08-27,1,59,JavaScript,19,0,9.5
jpmorganchase,jupyter-fs,https://github.com/jpmorganchase/jupyter-fs ,2025-08-18,10,231,TypeScript,12,6,9.0
jpmorganchase,jupyter-fs,https://github.com/jpmorganchase/jupyter-fs ,2025-08-18,10,231,TypeScript,12,6,9.0
jpmorganchase,jupyter-fs,https://github.com/jpmorganchase/jupyter-fs ,2025-08-18,10,231,TypeScript,12,6,9.0
jpmorganchase,jupyter-fs,https://github.com/jpmorganchase/jupyter-fs ,2025-08-18,10,231,TypeScript,12,6,9.0
jpmorganchase,jupyter-fs,https://github.com/jpmorganchase/jupyter-fs ,2025-08-18,10,231,TypeScript,12,6,9.0
jpmorganchase,jupyter-fs,https://github.com/jpmorganchase/jupyter-fs ,2025-08-18,10,231,TypeScript,12,6,9.0
jpmorganchase,jupyter-fs,https://github.com/jpmorganchase/jupyter-fs ,2025-08-18,10,231,TypeScript,12,6,9.0
ocadotechnology,codeforlife-portal,https://github.com/ocadotechnology/codeforlife-portal ,2025-08-27,1,50,Python,18,0,9.0
jpmorganchase,QOKit,https://github.com/jpmorganchase/QOKit ,2025-08-26,2,78,Python,12,5,8.5
jpmorganchase,QOKit,https://github.com/jpmorganchase/QOKit ,2025-08-26,2,78,Python,12,5,8.5
jpmorganchase,QOKit,https://github.com/jpmorganchase/QOKit ,2025-08-26,2,78,Python,12,5,8.5
jpmorganchase,QOKit,https://github.com/jpmorganchase/QOKit ,2025-08-26,2,78,Python,12,5,8.5
jpmorganchase,QOKit,https://github.com/jpmorganchase/QOKit ,2025-08-26,2,78,Python,12,5,8.5
jpmorganchase,QOKit,https://github.com/jpmorganchase/QOKit ,2025-08-26,2,78,Python,12,5,8.5
jpmorganchase,QOKit,https://github.com/jpmorganchase/QOKit ,2025-08-26,2,78,Python,12,5,8.5
jpmorganchase,fusion,https://github.com/jpmorganchase/fusion ,2025-08-28,0,26,Python,16,1,8.5
jpmorganchase,fusion,https://github.com/jpmorganchase/fusion ,2025-08-28,0,26,Python,16,1,8.5
jpmorganchase,fusion,https://github.com/jpmorganchase/fusion ,2025-08-28,0,26,Python,16,1,8.5
jpmorganchase,fusion,https://github.com/jpmorganchase/fusion ,2025-08-28,0,26,Python,16,1,8.5
jpmorganchase,fusion,https://github.com/jpmorganchase/fusion ,2025-08-28,0,26,Python,16,1,8.5
jpmorganchase,fusion,https://github.com/jpmorganchase/fusion ,2025-08-28,0,26,Python,16,1,8.5
jpmorganchase,fusion,https://github.com/jpmorganchase/fusion ,2025-08-28,0,26,Python,16,1,8.5
jpmorganchase,fusion-java-sdk,https://github.com/jpmorganchase/fusion-java-sdk ,2025-08-28,0,16,Java,16,0,8.0
jpmorganchase,fusion-java-sdk,https://github.com/jpmorganchase/fusion-java-sdk ,2025-08-28,0,16,Java,16,0,8.0
jpmorganchase,fusion-java-sdk,https://github.com/jpmorganchase/fusion-java-sdk ,2025-08-28,0,16,Java,16,0,8.0
jpmorganchase,fusion-java-sdk,https://github.com/jpmorganchase/fusion-java-sdk ,2025-08-28,0,16,Java,16,0,8.0
jpmorganchase,fusion-java-sdk,https://github.com/jpmorganchase/fusion-java-sdk ,2025-08-28,0,16,Java,16,0,8.0
jpmorganchase,fusion-java-sdk,https://github.com/jpmorganchase/fusion-java-sdk ,2025-08-28,0,16,Java,16,0,8.0
jpmorganchase,fusion-java-sdk,https://github.com/jpmorganchase/fusion-java-sdk ,2025-08-28,0,16,Java,16,0,8.0
nanoporetech,medaka,https://github.com/nanoporetech/medaka ,2025-08-19,9,476,Python,10,5,7.5
raspberrypi,libpisp,https://github.com/raspberrypi/libpisp ,2025-08-06,22,11,C++,14,0,7.0
raspberrypi,utils,https://github.com/raspberrypi/utils ,2025-08-27,1,269,C,12,1,6.5
nanoporetech,modkit,https://github.com/nanoporetech/modkit ,2025-08-16,12,211,Rust,8,4,6.0
alfasoftware,astra,https://github.com/alfasoftware/astra ,2025-08-15,13,73,Java,9,2,5.5
raspberrypi,pico-vscode,https://github.com/raspberrypi/pico-vscode ,2025-08-28,0,213,TypeScript,11,0,5.5
alfasoftware,morf,https://github.com/alfasoftware/morf ,2025-08-14,14,40,Java,8,2,5.0
man-group,sparrow,https://github.com/man-group/sparrow ,2025-08-28,0,93,C++,10,0,5.0
ocadotechnology,codeforlife-contributor-frontend,https://github.com/ocadotechnology/codeforlife-contributor-frontend ,2025-08-22,6,0,TypeScript,10,0,5.0
nanoporetech,hatch-protobuf,https://github.com/nanoporetech/hatch-protobuf ,2025-08-27,1,9,Python,6,3,4.5
nanoporetech,pyspoa,https://github.com/nanoporetech/pyspoa ,2025-08-15,13,21,Python,6,3,4.5
raspberrypi,rpi-eeprom,https://github.com/raspberrypi/rpi-eeprom ,2025-08-27,1,1391,Shell,9,0,4.5
raspberrypi,rpi-trace-boot,https://github.com/raspberrypi/rpi-trace-boot ,2025-07-30,29,2,Shell,9,0,4.5
ocadotechnology,codeforlife-deploy-appengine,https://github.com/ocadotechnology/codeforlife-deploy-appengine ,2025-08-22,6,4,Python,8,0,4.0
ITV,fe-constants,https://github.com/ITV/fe-constants ,2025-08-18,10,0,None,7,0,3.5
ocadotechnology,Ocava,https://github.com/ocadotechnology/Ocava ,2025-08-04,24,26,Java,7,0,3.5
ocadotechnology,codeforlife-sso-frontend,https://github.com/ocadotechnology/codeforlife-sso-frontend ,2025-08-22,6,0,TypeScript,7,0,3.5
raspberrypi,pi-gen-micro,https://github.com/raspberrypi/pi-gen-micro ,2025-08-22,6,101,Shell,7,0,3.5
TBCBank,TBC.Common.Configuration.Registry,https://github.com/TBCBank/TBC.Common.Configuration.Registry ,2025-08-12,15,12,C#,4,2,3.0
raspberrypi,firmware,https://github.com/raspberrypi/firmware ,2025-08-26,2,5372,None,6,0,3.0
raspberrypi,rpi-sb-provisioner,https://github.com/raspberrypi/rpi-sb-provisioner ,2025-08-21,7,82,C++,6,0,3.0
raspberrypi,usb-pid,https://github.com/raspberrypi/usb-pid ,2025-08-13,15,91,None,6,0,3.0
raspberrypi,usbboot,https://github.com/raspberrypi/usbboot ,2025-08-21,7,1112,C,6,0,3.0
TBCBank,build-zstd,https://github.com/TBCBank/build-zstd ,2025-08-17,11,1,CMake,5,0,2.5
jpmorganchase,fusion-3.7,https://github.com/jpmorganchase/fusion-3.7 ,2025-08-28,0,3,Python,4,1,2.5
jpmorganchase,fusion-3.7,https://github.com/jpmorganchase/fusion-3.7 ,2025-08-28,0,3,Python,4,1,2.5
jpmorganchase,fusion-3.7,https://github.com/jpmorganchase/fusion-3.7 ,2025-08-28,0,3,Python,4,1,2.5
jpmorganchase,fusion-3.7,https://github.com/jpmorganchase/fusion-3.7 ,2025-08-28,0,3,Python,4,1,2.5
jpmorganchase,fusion-3.7,https://github.com/jpmorganchase/fusion-3.7 ,2025-08-28,0,3,Python,4,1,2.5
jpmorganchase,fusion-3.7,https://github.com/jpmorganchase/fusion-3.7 ,2025-08-28,0,3,Python,4,1,2.5
jpmorganchase,fusion-3.7,https://github.com/jpmorganchase/fusion-3.7 ,2025-08-28,0,3,Python,4,1,2.5
jpmorganchase,mosaic,https://github.com/jpmorganchase/mosaic ,2025-08-28,0,24,TypeScript,5,0,2.5
jpmorganchase,mosaic,https://github.com/jpmorganchase/mosaic ,2025-08-28,0,24,TypeScript,5,0,2.5
jpmorganchase,mosaic,https://github.com/jpmorganchase/mosaic ,2025-08-28,0,24,TypeScript,5,0,2.5
jpmorganchase,mosaic,https://github.com/jpmorganchase/mosaic ,2025-08-28,0,24,TypeScript,5,0,2.5
jpmorganchase,mosaic,https://github.com/jpmorganchase/mosaic ,2025-08-28,0,24,TypeScript,5,0,2.5
jpmorganchase,mosaic,https://github.com/jpmorganchase/mosaic ,2025-08-28,0,24,TypeScript,5,0,2.5
jpmorganchase,mosaic,https://github.com/jpmorganchase/mosaic ,2025-08-28,0,24,TypeScript,5,0,2.5
ocadotechnology,codeforlife-portal-frontend,https://github.com/ocadotechnology/codeforlife-portal-frontend ,2025-08-22,6,0,TypeScript,5,0,2.5
ocadotechnology,codeforlife-rapid-router-frontend,https://github.com/ocadotechnology/codeforlife-rapid-router-frontend ,2025-08-22,6,0,TypeScript,5,0,2.5
raspberrypi,rpi-systemd-config,https://github.com/raspberrypi/rpi-systemd-config ,2025-07-31,28,0,Python,5,0,2.5
man-group,PyBloqs,https://github.com/man-group/PyBloqs ,2025-08-27,1,177,Python,3,1,2.0
