org,repo,github_repo_url,last_committed,days_since_commit,stars,language,commits_last_30d,merges_last_30d,repo_health_score
snyk,user-docs,https://github.com/snyk/user-docs  ,2025-08-28,0,31,Go,134,34,84.0
snyk,cli,https://github.com/snyk/cli ,2025-08-28,0,5219,TypeScript,85,42,63.5
snyk,cli-extension-os-flows,https://github.com/snyk/cli-extension-os-flows ,2025-08-28,0,4,Go,73,35,54.0
thought-machine,prometheus-cardinality-exporter,https://github.com/thought-machine/prometheus-cardinality-exporter ,2025-08-28,0,37,Go,37,12,24.5
gocardless,react-dropin,https://github.com/gocardless/react-dropin ,2025-08-27,1,6,TypeScript,24,12,18.0
snyk,go-application-framework,https://github.com/snyk/go-application-framework ,2025-08-28,0,13,Go,26,5,15.5
snyk,snyk-ls,https://github.com/snyk/snyk-ls ,2025-08-28,0,63,Go,24,0,12.0
snyk,snyk-docker-plugin,https://github.com/snyk/snyk-docker-plugin ,2025-08-27,1,36,TypeScript,23,0,11.5
gocardless,woocommerce-gateway-gocardless,https://github.com/gocardless/woocommerce-gateway-gocardless ,2025-08-22,6,1,PHP,14,6,10.0
snyk,actions,https://github.com/snyk/actions ,2025-08-26,2,580,HTML,20,0,10.0
snyk,broker,https://github.com/snyk/broker ,2025-08-27,1,111,TypeScript,14,6,10.0
checkout,CheckoutCardManagement-iOS,https://github.com/checkout/CheckoutCardManagement-iOS ,2025-08-26,2,6,Swift,11,5,8.0
snyk,snyk-images,https://github.com/snyk/snyk-images ,2025-08-26,2,64,HTML,13,0,6.5
PaddleHQ,paddle-node-sdk,https://github.com/PaddleHQ/paddle-node-sdk ,2025-08-26,2,79,TypeScript,12,0,6.0
snyk,vscode-extension,https://github.com/snyk/vscode-extension ,2025-08-26,2,95,TypeScript,9,3,6.0
PaddleHQ,paddle-go-sdk,https://github.com/PaddleHQ/paddle-go-sdk ,2025-08-27,1,43,Go,11,0,5.5
snyk,homebrew-tap,https://github.com/snyk/homebrew-tap ,2025-08-26,2,21,Ruby,8,3,5.5
snyk,artifactory-snyk-security-plugin,https://github.com/snyk/artifactory-snyk-security-plugin ,2025-08-26,2,22,Java,6,3,4.5
checkout,checkout-sdk-net,https://github.com/checkout/checkout-sdk-net ,2025-08-12,16,22,C#,8,0,4.0
snyk,scoop-snyk,https://github.com/snyk/scoop-snyk ,2025-08-26,2,12,Ruby,6,2,4.0
snyk,container-cli,https://github.com/snyk/container-cli ,2025-08-26,2,2,Go,5,2,3.5
snyk,snyk-cocoapods-plugin,https://github.com/snyk/snyk-cocoapods-plugin ,2025-08-26,2,5,TypeScript,5,2,3.5
gocardless,homebrew-taps,https://github.com/gocardless/homebrew-taps ,2025-08-28,0,1,Ruby,6,0,3.0
monzo,docs,https://github.com/monzo/docs ,2025-08-26,2,106,SCSS,4,2,3.0
snyk,cli-extension-dep-graph,https://github.com/snyk/cli-extension-dep-graph ,2025-08-27,1,3,Go,4,2,3.0
snyk,cloud-config-parser,https://github.com/snyk/cloud-config-parser ,2025-08-26,2,7,TypeScript,4,2,3.0
snyk,code-client-go,https://github.com/snyk/code-client-go ,2025-08-28,0,4,Go,5,1,3.0
snyk,custom-rules-examples,https://github.com/snyk/custom-rules-examples ,2025-08-26,2,4,Open Policy Agent,4,2,3.0
snyk,driftctl-action,https://github.com/snyk/driftctl-action ,2025-08-26,2,19,Shell,4,2,3.0
snyk,driftctl-docs,https://github.com/snyk/driftctl-docs ,2025-08-26,2,6,MDX,4,2,3.0
snyk,driftctl-orb,https://github.com/snyk/driftctl-orb ,2025-08-26,2,2,Shell,4,2,3.0
snyk,kubernetes-monitor,https://github.com/snyk/kubernetes-monitor ,2025-08-27,1,92,TypeScript,6,0,3.0
snyk,lambda-env-updater,https://github.com/snyk/lambda-env-updater ,2025-08-26,2,2,Go,4,2,3.0
snyk,snyk-go-parser,https://github.com/snyk/snyk-go-parser ,2025-08-26,2,11,TypeScript,4,2,3.0
snyk,snyk-hex-plugin,https://github.com/snyk/snyk-hex-plugin ,2025-08-26,2,8,Elixir,4,2,3.0
snyk,snyk-iac-arm,https://github.com/snyk/snyk-iac-arm ,2025-08-26,2,2,Bicep,4,2,3.0
snyk,snyk-iac-capture,https://github.com/snyk/snyk-iac-capture ,2025-08-26,2,3,Go,4,2,3.0
snyk,snyk-iac-rules,https://github.com/snyk/snyk-iac-rules ,2025-08-26,2,11,Go,4,2,3.0
snyk,snyk-sbt-plugin,https://github.com/snyk/snyk-sbt-plugin ,2025-08-26,2,10,TypeScript,4,2,3.0
PaddleHQ,paddle-mcp-server,https://github.com/PaddleHQ/paddle-mcp-server ,2025-08-26,2,27,TypeScript,5,0,2.5
PaddleHQ,paddle-python-sdk,https://github.com/PaddleHQ/paddle-python-sdk ,2025-08-15,13,41,Python,5,0,2.5
checkout,CheckoutCardManagement-Android,https://github.com/checkout/CheckoutCardManagement-Android ,2025-08-26,2,4,Kotlin,5,0,2.5
gocardless,gc_ruboconfig,https://github.com/gocardless/gc_ruboconfig ,2025-08-14,14,3,Ruby,4,1,2.5
snyk,cli-extension-sbom,https://github.com/snyk/cli-extension-sbom ,2025-08-27,1,5,Go,4,1,2.5
snyk,error-catalog-golang-public,https://github.com/snyk/error-catalog-golang-public ,2025-08-27,1,2,Go,5,0,2.5
gocardless,nandi,https://github.com/gocardless/nandi ,2025-08-28,0,126,Ruby,3,1,2.0
snyk,cli-extension-ai-bom,https://github.com/snyk/cli-extension-ai-bom ,2025-08-26,2,0,Go,4,0,2.0
snyk,go-httpauth,https://github.com/snyk/go-httpauth ,2025-08-27,1,7,Go,4,0,2.0
snyk,snyk-eclipse-plugin,https://github.com/snyk/snyk-eclipse-plugin ,2025-08-26,2,19,Java,4,0,2.0
snyk,snyk-iac-parsers,https://github.com/snyk/snyk-iac-parsers ,2025-08-26,2,2,Go,3,1,2.0
snyk,snyk-intellij-plugin,https://github.com/snyk/snyk-intellij-plugin ,2025-08-27,1,63,Kotlin,4,0,2.0
snyk,snyk-mvn-plugin,https://github.com/snyk/snyk-mvn-plugin ,2025-08-27,1,10,TypeScript,3,1,2.0
snyk,snyk-nuget-plugin,https://github.com/snyk/snyk-nuget-plugin ,2025-08-26,2,8,TypeScript,4,0,2.0
snyk,snyk-visual-studio-plugin,https://github.com/snyk/snyk-visual-studio-plugin ,2025-08-26,2,35,C#,4,0,2.0
PaddleHQ,paddle-nextjs-starter-kit,https://github.com/PaddleHQ/paddle-nextjs-starter-kit ,2025-08-26,2,259,TypeScript,3,0,1.5
ZopaPublic,ozone-dev-portal,https://github.com/ZopaPublic/ozone-dev-portal ,2025-08-11,17,0,CSS,3,0,1.5
checkout,checkout-sdk-java,https://github.com/checkout/checkout-sdk-java ,2025-08-28,0,26,Java,3,0,1.5
checkout,frames-react-native,https://github.com/checkout/frames-react-native ,2025-08-13,15,18,TypeScript,3,0,1.5
deliveroo,platform-code-test,https://github.com/deliveroo/platform-code-test ,2025-08-28,0,0,HCL,2,1,1.5
monzo,terrors,https://github.com/monzo/terrors ,2025-08-04,24,82,Go,2,1,1.5
snyk,cli-extension-iac-rules,https://github.com/snyk/cli-extension-iac-rules ,2025-08-26,2,2,Go,2,1,1.5
snyk,cocoapods-lockfile-parser,https://github.com/snyk/cocoapods-lockfile-parser ,2025-08-26,2,11,TypeScript,2,1,1.5
snyk,code-client,https://github.com/snyk/code-client ,2025-08-26,2,11,TypeScript,2,1,1.5
snyk,composer-lockfile-parser,https://github.com/snyk/composer-lockfile-parser ,2025-08-26,2,8,TypeScript,2,1,1.5
snyk,dotnet-deps-parser,https://github.com/snyk/dotnet-deps-parser ,2025-08-26,2,10,TypeScript,3,0,1.5
snyk,driftctl,https://github.com/snyk/driftctl ,2025-08-26,2,2567,Go,2,1,1.5
snyk,kubernetes-scanner,https://github.com/snyk/kubernetes-scanner ,2025-08-26,2,8,Go,3,0,1.5
snyk,mix-parser,https://github.com/snyk/mix-parser ,2025-08-26,2,3,TypeScript,2,1,1.5
snyk,module,https://github.com/snyk/module ,2025-08-26,2,5,JavaScript,2,1,1.5
snyk,nodejs-lockfile-parser,https://github.com/snyk/nodejs-lockfile-parser ,2025-08-28,0,71,TypeScript,2,1,1.5
snyk,policy,https://github.com/snyk/policy ,2025-08-26,2,10,TypeScript,2,1,1.5
snyk,resolve-package,https://github.com/snyk/resolve-package ,2025-08-26,2,6,HTML,2,1,1.5
snyk,snyk-cli-interface,https://github.com/snyk/snyk-cli-interface ,2025-08-26,2,4,TypeScript,3,0,1.5
snyk,snyk-gradle-plugin,https://github.com/snyk/snyk-gradle-plugin ,2025-08-27,1,28,TypeScript,3,0,1.5
snyk,snyk-maven-plugin,https://github.com/snyk/snyk-maven-plugin ,2025-08-26,2,82,Java,3,0,1.5
snyk,snyk-nodejs-plugin,https://github.com/snyk/snyk-nodejs-plugin ,2025-08-26,2,2,TypeScript,2,1,1.5
snyk,snyk-orb,https://github.com/snyk/snyk-orb ,2025-08-26,2,20,None,3,0,1.5
snyk,snyk-paket-parser,https://github.com/snyk/snyk-paket-parser ,2025-08-26,2,4,TypeScript,2,1,1.5
snyk,snyk-php-plugin,https://github.com/snyk/snyk-php-plugin ,2025-08-26,2,9,TypeScript,2,1,1.5
snyk,snyk-poetry-lockfile-parser,https://github.com/snyk/snyk-poetry-lockfile-parser ,2025-08-26,2,13,TypeScript,2,1,1.5
snyk,snyk-to-html,https://github.com/snyk/snyk-to-html ,2025-08-26,2,100,Handlebars,3,0,1.5
snyk,teamcity-snyk-security-plugin,https://github.com/snyk/teamcity-snyk-security-plugin ,2025-08-26,2,11,Java,3,0,1.5
snyk,try-require,https://github.com/snyk/try-require ,2025-08-26,2,4,JavaScript,2,1,1.5
snyk,unified-range,https://github.com/snyk/unified-range ,2025-08-26,2,11,Python,2,1,1.5
snyk,zip-slip-vulnerability,https://github.com/snyk/zip-slip-vulnerability ,2025-08-27,1,789,None,2,1,1.5
checkout,checkout-sdk-node,https://github.com/checkout/checkout-sdk-node ,2025-08-14,14,64,JavaScript,2,0,1.0
deliveroo,merge-pr-to-branch,https://github.com/deliveroo/merge-pr-to-branch ,2025-08-04,24,1,TypeScript,2,0,1.0
revolut-engineering,revolut-openapi,https://github.com/revolut-engineering/revolut-openapi ,2025-08-20,8,10,None,2,0,1.0
snyk,nexus-snyk-security-plugin,https://github.com/snyk/nexus-snyk-security-plugin ,2025-08-26,2,21,Java,2,0,1.0
snyk,parlay,https://github.com/snyk/parlay ,2025-08-27,1,190,Go,2,0,1.0
snyk,runtime-sensor,https://github.com/snyk/runtime-sensor ,2025-08-26,2,2,None,2,0,1.0
snyk,snyk-api-import,https://github.com/snyk/snyk-api-import ,2025-08-26,2,42,TypeScript,1,1,1.0
snyk,snyk-azure-pipelines-task,https://github.com/snyk/snyk-azure-pipelines-task ,2025-08-28,0,33,TypeScript,2,0,1.0
snyk,snyk-broker-config,https://github.com/snyk/snyk-broker-config ,2025-08-26,1,1,TypeScript,2,0,1.0
snyk,snyk-broker-helm,https://github.com/snyk/snyk-broker-helm ,2025-08-26,2,16,Smarty,2,0,1.0
snyk,snyk-cpp-plugin,https://github.com/snyk/snyk-cpp-plugin ,2025-08-26,2,7,TypeScript,2,0,1.0
snyk,snyk-go-plugin,https://github.com/snyk/snyk-go-plugin ,2025-08-26,2,14,TypeScript,2,0,1.0
snyk,snyk-python-plugin,https://github.com/snyk/snyk-python-plugin ,2025-08-27,1,20,Python,2,0,1.0
snyk,socketsleuth,https://github.com/snyk/socketsleuth ,2025-08-27,1,98,Java,2,0,1.0
thought-machine,terraform-cloud-providers,https://github.com/thought-machine/terraform-cloud-providers ,2025-08-01,27,2,HCL,1,1,1.0
checkout,checkout-3ds-sdk-ios,https://github.com/checkout/checkout-3ds-sdk-ios ,2025-07-31,28,5,Objective-C,1,0,0.5
