org;github_org;repo_count;revenue
Samsung;samsungds;26;$218.9B
General Motors;generalmotors;42;$187.44B
JPMorgan Chase;jpmorganchase;74;$177.56B
Ford;ford;4;$176B
Verizon;verizon;38;$134.8B
Verizon;verizonconnect;6;$134.8B
AT&T;att-comdev;49;$122.3B
Tesla;teslamotors;62;$97.69B
Tencent;tencent-hunyuan;28;$91.9B
Disney;disney;20;$91B
Disney;disneystreaming;21;$91B
Sony;sonymobile;8;$89.8B
Dell;dellhpc;2;$88.4B
HP;hpinc;47;$53.6B
Cisco;cisco;84;$53.8B
Goldman Sachs;goldmansachs;69;$53.51B
Broadcom;broadcom;99;$51.6B
Vodafone;vodafone;19;$49B
Schneider Electric;schneider-electric;10;$41.29B
GE;generalelectric;41;$38.7B
Honeywell;;0;$38.5B
Qualcomm;qualcomm;30;$33.19B
Qualcomm;quic;90;$33.19B
ABB;abb-iss;16;$32.85B
ASML;asml-labs;21;$30.7B
HPE;hpenetworking;50;$30.13B
BT Group;bt-opensource;14;$26B
AMD;amd;84;$25.8B
Block;block;59;$24B
Western Digital;;0;$13B
DoorDash;doordash;62;$10.72B
Workday;workday;43;$7.3B
Marvell;marvellembeddedprocessors;57;$5.51B
Stripe;stripe;74;$5.1B
Pinterest;pinterest;94;$3.65B
Snowflake;snowflakedb;58;$2.67B
HSBC;hsbc;18;$65.9B
London Stock Exchange Group;lseg;1;$8.7B
Barclays;barclays;1;$33.6B
Lloyds Banking Group;lloyds-banking-group;7;$23.8B
NatWest Group;;0;$14.6B
Standard Chartered;standard-chartered;1;$16.7B
Hargreaves Lansdown;;0;$0.8B
AstraZeneca;astrazeneca;88;$45.8B
AstraZeneca;astrazeneca-ngs;15;$45.8B
GlaxoSmithKline;gsk;1;$38.3B
AVEVA;aveva;88;$1.2B
Ocado Group;ocadotechnology;85;$3.2B
Auto Trader Group;autotraderuk;62;$0.6B
Rightmove;rightmove;15;$0.5B
Just Eat Takeaway.com;justeattakeaway;21;$5.9B
Just Eat Takeaway.com;justeat;68;$5.9B
RELX;;0;$11.0B
Experian;experianplc;23;$6.6B
BAE Systems;baesystemsdigital;1;$33.0B
Rolls-Royce;rolls-royce;1;$23.7B
Rolls-Royce;rropen;13;$23.7B
National Grid;national-grid;4;$25.4B
SSE;;0;$12.5B
Pearson;pearsondevelopersnetwork;20;$5.2B
WPP;;0;$18.9B
