# Issues Total: 132
# Repository: https://github.com/shopify/cli
# Generated: 2025-08-12
#
issue_title,comments_count,labels,opened_date,hyperlink
[Bug]: Theme commands hitting network issues,27,"Severity: 2, Type: Bug, Area: @shopify/theme",2025-07-03,https://github.com/shopify/cli/issues/6062
[Feature]: Configurable hot-reload delay for full page reload,3,"Type: Enhancement, Area: @shopify/theme",2025-05-30,https://github.com/shopify/cli/issues/5913
[Bug]: `shopify app dev` doesn't server the host theme as expected with theme app extensions,1,"Severity: 2, Type: Bug, Area: @shopify/theme",2025-08-08,https://github.com/shopify/cli/issues/6224
[Bug]: Your development session could not be created because the store password is invalid.,27,"Type: Bug, Area: @shopify/theme",2025-07-22,https://github.com/shopify/cli/issues/6145
Deploy fails with useless error message,11,"Type: Enhancement, good first issue, Area: @shopify/theme",2024-10-21,https://github.com/shopify/cli/issues/4705
"[Bug]: The """"Cookie banner"""" keeps appearing after every reload in the localhost server",16,"Severity: 3, Type: Bug, Area: @shopify/theme",2025-01-13,https://github.com/shopify/cli/issues/5186
[Bug]: Generating self-signed certificate for localhost requires SUDO access,3,"Type: Enhancement, no-issue-activity",2025-05-30,https://github.com/shopify/cli/issues/5916
[Bug]: shopify app dev --reset HTTP 500 error,0,Type: Bug,2025-08-11,https://github.com/shopify/cli/issues/6238
[Bug]: Codespaces `app dev` CSP error,0,Type: Bug,2025-08-09,https://github.com/shopify/cli/issues/6235
502 Bad Gateway Error When Using HTTP Proxy with `shopify theme dev`,10,"Type: Bug, Area: @shopify/cli, Area: @shopify/cli-kit",2025-05-23,https://github.com/shopify/cli/issues/5890
[Bug]: Bad dev experience with use-localhost in new dev dashboard,2,Type: Bug,2025-08-08,https://github.com/shopify/cli/issues/6223
[Bug]: visible_if no longer working with collection_list input setting,6,"Type: Bug, Area: @shopify/theme",2025-08-04,https://github.com/shopify/cli/issues/6206
[Bug]: Theme builds error when uploaded to the theme store,0,"Type: Bug, Area: @shopify/theme",2025-08-02,https://github.com/shopify/cli/issues/6205
[Bug]: assets/ 目录下部分静态资源文件 unload error 导致 theme dev 无法启动,2,"Type: Bug, Area: @shopify/theme, State: Waiting for feedback",2025-07-11,https://github.com/shopify/cli/issues/6096
"[Bug]: `shopify app config link` with flag `-c, --config` does not work",4,Type: Bug,2025-07-31,https://github.com/shopify/cli/issues/6202
[Bug]: Logged in customer session issues while developing theme app blocks,0,"Type: Bug, Area: @shopify/theme",2025-08-06,https://github.com/shopify/cli/issues/6218
Using --only flag with theme pull does not fetch new files,5,"Type: Bug, Area: @shopify/theme",2025-07-24,https://github.com/shopify/cli/issues/6160
[Bug] Customer Account UI Extension does not render in dev preview,2,"Type: Bug, no-issue-activity",2025-06-16,https://github.com/shopify/cli/issues/5988
[Bug]: Version couldn't be created,2,"Type: Bug, Area: @shopify/app",2025-08-05,https://github.com/shopify/cli/issues/6210
[Bug]: Flow Action Template Creates Internal Error,2,"Type: Bug, Area: @shopify/app",2025-07-30,https://github.com/shopify/cli/issues/6187
[Feature]: Feedback for shopify app build & shopify app deploy --no-build,1,"Type: Enhancement, Area: @shopify/app",2025-07-31,https://github.com/shopify/cli/issues/6195
[Bug]: App deployment animation broken in CI,2,"Type: Bug, Area: @shopify/app",2025-07-31,https://github.com/shopify/cli/issues/6194
[Bug]: Missing wasm-opt.cjs and shopify-function-trampoline files after upgrading CLI ≥ 3.73 causing build/deploy failures,1,"Type: Bug, Area: Functions",2025-07-01,https://github.com/shopify/cli/issues/6044
[Feature]: metafieldNamespaces (or metafields) doesn't seem to be supported in toml webhook subscriptions,3,Type: Enhancement,2025-06-16,https://github.com/shopify/cli/issues/5987
[Feature]: Multiple Stores Using Same Github Branch ,29,"Type: Enhancement, Area: @shopify/theme",2024-03-01,https://github.com/shopify/cli/issues/3509
[Feature]: GraphiQL Explorer to shopify cli app scaffold,4,"Type: Enhancement, Area: @shopify/app",2025-06-02,https://github.com/shopify/cli/issues/5928
[Bug]: shopify app generate extension with a Typescript flavor fails on the graphql-code-generator command,5,Type: Bug,2025-07-18,https://github.com/shopify/cli/issues/6132
[Bug]: `shopify hydrogen env pull` does not put quotes around string values.,7,"Type: Bug, Area: @shopify/hydrogen",2025-05-14,https://github.com/shopify/cli/issues/5801
[Bug]: CLI fails to run when password is declared inside shopify.theme.toml,6,"Type: Bug, Area: @shopify/theme, State: Waiting for feedback",2025-06-03,https://github.com/shopify/cli/issues/5935
[Feature]: Add `SHOPIFY_CLI_WASM_OPT_PATH` environment variable,0,Type: Enhancement,2025-07-29,https://github.com/shopify/cli/issues/6180
[Bug]: Incorrectly getting total size error on theme push,2,"Severity: 3, Type: Bug, Area: @shopify/theme",2025-07-09,https://github.com/shopify/cli/issues/6082
[Bug]:  JavaScript Shopify Functions deployment fails with canonical_abi_realloc runtime version mismatch,2,"Type: Bug, Area: Functions",2025-07-26,https://github.com/shopify/cli/issues/6167
"[Bug]: Cannot create unscoped, app-specific webhooks with legacy install flow",0,Area: @shopify/app,2025-07-28,https://github.com/shopify/cli/issues/6171
[Bug]: `theme profile` returns error when authenticating with Theme Access Token,0,"Type: Bug, Area: @shopify/theme",2025-07-27,https://github.com/shopify/cli/issues/6168
[Feature]: Allow markdown file uploads in the assets folder?,9,"Type: Enhancement, Area: @shopify/theme",2025-02-15,https://github.com/shopify/cli/issues/5396
"[Bug]: Your development session could not be created because the store password is invalid. Please, retry with a different password.",3,Type: Bug,2025-07-28,https://github.com/shopify/cli/issues/6172
"[Bug]: Shopify Theme Dev """"Failed to perform initial theme synchronization""""",6,"Type: Bug, Area: @shopify/theme",2025-06-26,https://github.com/shopify/cli/issues/6019
[Bug]: `shopify theme dev` has the wrong content type for `/cart.json` requests,1,"Severity: 3, Type: Bug, good first issue, Area: @shopify/theme",2025-07-14,https://github.com/shopify/cli/issues/6107
New template install issues shopify issues,7,,2025-07-20,https://github.com/shopify/cli/issues/6162
[Bug]: CLI attempts to match with removed extension,1,Type: Bug,2025-07-24,https://github.com/shopify/cli/issues/6155
Theme ID mismatch error,3,"Type: Bug, Area: @shopify/theme",2025-04-30,https://github.com/shopify/cli/issues/5733
[Bug]: Extension Metafield Config has Higher Minimum Length For Key String Than Admin API or UI - Blocks Extension Access To Metafield,0,Type: Bug,2025-07-24,https://github.com/shopify/cli/issues/6159
