# Issues Total: 203
# Repository: https://github.com/shopify/react-native-skia
# Generated: 2025-08-13
#
issue_title,comments_count,labels,opened_date,hyperlink
Add support for react-native-reanimated v4 peer dependency,0,bug,2025-08-12,https://github.com/shopify/react-native-skia/issues/3285
"void setColorSpace(SkiaPictureView view, @Nullable String value) build error",2,bug,2025-08-05,https://github.com/shopify/react-native-skia/issues/3261
Bug Using Skia with Web Expo Project,4,bug,2025-07-24,https://github.com/shopify/react-native-skia/issues/3247
"Error exception in hostfunction non whitespace character found after end of conversion : """"%""""",1,bug,2025-08-07,https://github.com/shopify/react-native-skia/issues/3266
"[Expo] [Web] Can't access property """"onSize"""", this is undefined",2,"bug, released",2025-08-08,https://github.com/shopify/react-native-skia/issues/3274
"[Expo 53] """"useColorBuffer"""" throwing """" Value is undefined, expected an Object, js engine: hermes""""",0,bug,2025-08-08,https://github.com/shopify/react-native-skia/issues/3275
Different Issues (Android and iOS) with useSkiaFrameProcessor,10,bug,2025-02-17,https://github.com/shopify/react-native-skia/issues/2964
[iOS] Image re-rendering with potential memory leak,22,bug,2025-01-23,https://github.com/shopify/react-native-skia/issues/2909
Why can't it run on the release version when drawing through this API on the debug version is normal,4,"bug, released",2025-07-02,https://github.com/shopify/react-native-skia/issues/3222
[Android] onLayout not be called on <Canvas /> in release mode,2,"bug, released",2025-04-29,https://github.com/shopify/react-native-skia/issues/3116
[2.2.0] [Android Only] method does not override or implement a method from a supertype,1,"bug, released",2025-08-05,https://github.com/shopify/react-native-skia/issues/3257
[Regression] [2.2.0] [Android Only] Can't build with error method does not override or implement a method from a supertype,6,"bug, released",2025-08-04,https://github.com/shopify/react-native-skia/issues/3255
Opacity doesn't work with Skottie.,4,"bug, released",2025-07-31,https://github.com/shopify/react-native-skia/issues/3250
Update in Expo SDK 53 Project - Path color,11,"bug, released",2025-05-23,https://github.com/shopify/react-native-skia/issues/3158
Color rendered by react-native-skia is inconsistent with native rendering,7,"bug, released",2025-07-24,https://github.com/shopify/react-native-skia/issues/3246
Using alpha mask over a group of radialgradient shaders leads to some weird compositing,0,bug,2025-08-02,https://github.com/shopify/react-native-skia/issues/3254
Big regression after upgrading to v2 on react native 0.79,28,bug,2025-04-15,https://github.com/shopify/react-native-skia/issues/3098
Delay in animation,13,bug,2025-07-23,https://github.com/shopify/react-native-skia/issues/3245
"ReanimatedError: Exception in HostFunction: bad_optional_access, js engine: reanimated",1,bug,2025-07-18,https://github.com/shopify/react-native-skia/issues/3242
