# Issues Total: 168
# Repository: https://github.com/shopify/tapioca
# Generated: 2025-08-13
#
issue_title,comments_count,labels,opened_date,hyperlink
ActiveRecordColumnTypes - Create a 'Mixed' option,1,enhancement,2025-08-06,https://github.com/shopify/tapioca/issues/2369
`bundle exec tapioca init` fails with `No such file or directory @ rb_sysopen - Gemfile.lock ` when using `gems.rb`,1,,2025-07-21,https://github.com/shopify/tapioca/issues/2355
Tapioca::Dsl::Compilers::ActiveJob missing Exception as a possible return type in perform_now type compiled signature,3,,2025-07-19,https://github.com/shopify/tapioca/issues/2353
Ruby LSP Tapioca addon generates incomplete RBI files,5,,2025-04-15,https://github.com/shopify/tapioca/issues/2253
Comment parsing errors in generating gem rbis,2,,2025-07-22,https://github.com/shopify/tapioca/issues/2361
private constant `MyModel::ActiveRecord_Relation` referenced,1,,2025-07-23,https://github.com/shopify/tapioca/issues/2362
Create Tapioca exceptions rather than relying on `Thor::Error`,6,good-first-issue,2025-02-20,https://github.com/shopify/tapioca/issues/2208
Show a warning for skipped gems?,3,"enhancement, good-first-issue",2023-01-05,https://github.com/shopify/tapioca/issues/1347
MethodDefinition tracker crashes if caller_locations is overridden and calls new method,1,,2025-07-09,https://github.com/shopify/tapioca/issues/2346
Trying to generate DSLs with add-on for a non-processable constant errors,1,bug,2025-07-09,https://github.com/shopify/tapioca/issues/2348
Different behaviour between CLI and add-on,0,bug,2025-07-09,https://github.com/shopify/tapioca/issues/2349
Tapioca v0.17.5 doesn't handle typing of output of custom GraphQL Scalars correctly,1,"bug, help-wanted",2025-06-26,https://github.com/shopify/tapioca/issues/2337
Dependency conflict when upgrading tapioca to ~> 0.17.6 due to rbs version constraints,1,,2025-07-07,https://github.com/shopify/tapioca/issues/2344
tapioca init failing with Rails 8.0.2 - Generating RBI files of gems that are added or updated,1,,2025-06-30,https://github.com/shopify/tapioca/issues/2339
Tapioca `v0.17.5` generates invalid RBI for `shopify_errors` gem `v0.3.2`,1,,2025-07-02,https://github.com/shopify/tapioca/issues/2341
User-defined routes missing from generated path/URL helper RBI files after upgrading to Rails 8,2,help-wanted,2025-05-29,https://github.com/shopify/tapioca/issues/2295
Feature request: DSL compiler for RuboCop's `def_node_matcher`,1,help-wanted,2025-06-13,https://github.com/shopify/tapioca/issues/2321
`bin/tapioca gems` fails to run against Zeitwerk 2.7.3,1,,2025-06-25,https://github.com/shopify/tapioca/issues/2336
Tapioca v0.17.2 fails to generate signature for `AbstractController::Collector#turbo_stream`,3,help-wanted,2025-06-24,https://github.com/shopify/tapioca/issues/2334
`find_in_batches` return type is wrong,3,help-wanted,2025-03-19,https://github.com/shopify/tapioca/issues/2239
Internal error – RBI methods must not have code (3010),1,,2025-06-24,https://github.com/shopify/tapioca/issues/2333
`bin/tapioca dsl --only` should not purge existing directory,2,"enhancement, good-first-issue",2023-08-17,https://github.com/shopify/tapioca/issues/1612
"ActiveModelAttributes compiler does not allow calling """"super"""" from attribute method overrides.",1,,2025-06-03,https://github.com/shopify/tapioca/issues/2307
Locally running test suite results in  Google::ProtoBuf::DescriptorPool.build - NoMethodError,1,,2025-06-17,https://github.com/shopify/tapioca/issues/2327
Tapioca-generated rbi for `set` allows type errors,2,,2025-05-27,https://github.com/shopify/tapioca/issues/2293
Incompatible with gems that call `attribute` in Rails models,6,help-wanted,2024-08-29,https://github.com/shopify/tapioca/issues/2004
Add-on crashes if `sorbet/rbi/gems` doesn't exist,0,bug,2025-06-03,https://github.com/shopify/tapioca/issues/2308
Add support for `cursor:` when using `in_batches` on an ActiveRecord PrivateRelation,4,help-wanted,2024-11-22,https://github.com/shopify/tapioca/issues/2087
Bug when translating `@interface` annotation from RBS to RBI,3,bug,2025-06-12,https://github.com/shopify/tapioca/issues/2316
rbi 0.3.5,2,,2025-06-10,https://github.com/shopify/tapioca/issues/2314
Lengthy CI times,0,,2025-06-10,https://github.com/shopify/tapioca/issues/2313
Document that tapioca can pull the sources from a local directory,2,,2025-05-28,https://github.com/shopify/tapioca/issues/2294
ActiveModel::Attribute generates non nilable attribute that should be nilable,2,question,2025-05-16,https://github.com/shopify/tapioca/issues/2277
Latest Tapioca (0.16.11) is incompatible with latest Zeitwerk (2.7.3),2,,2025-05-20,https://github.com/shopify/tapioca/issues/2281
Feature request: Support types for polymorphic associations,0,"enhancement, help-wanted",2025-05-12,https://github.com/shopify/tapioca/issues/2272
Suggestion: Generate T.any signatures when an ActiveModel::Attribute has a known type,2,,2025-04-09,https://github.com/shopify/tapioca/issues/2250
RuboCop RBI appears to be pulling in rubocop-rspec when typechecking,3,,2024-08-07,https://github.com/shopify/tapioca/issues/1982
How to skip constants with `tapioca gem GEM`?,2,help-wanted,2025-02-04,https://github.com/shopify/tapioca/issues/2183
Tapioca doesn't import hand written signatures from the `stripe` gem,12,help-wanted,2025-04-08,https://github.com/shopify/tapioca/issues/2248
Sorbet generates unreachable assignment for AR default attributes,1,help-wanted,2023-01-23,https://github.com/shopify/tapioca/issues/1370
Suggestion: Implement `<Model>::Persisted` opaque type to solve column nilability confusion,19,help-wanted,2023-09-21,https://github.com/shopify/tapioca/issues/1667
SystemStackError for has_many assocation that points to own model,4,help-wanted,2024-04-25,https://github.com/shopify/tapioca/issues/1883
GeneratedAttributeMethods is inconsistently included in the RBI files,6,help-wanted,2024-07-11,https://github.com/shopify/tapioca/issues/1954
Methods defined on `PrivateRelation` should return `T.self_type`,0,help-wanted,2024-12-12,https://github.com/shopify/tapioca/issues/2124
Don't run `UrlHelpers#gather_constants` if the `UrlHelpers` compiler is excluded,0,,2025-01-27,https://github.com/shopify/tapioca/issues/2167
Error init tapioca with ruby 3.4,12,help-wanted,2025-01-18,https://github.com/shopify/tapioca/issues/2156
Aliasing `.new` doesn't reuse the signature from `#initialize`,3,help-wanted,2025-03-03,https://github.com/shopify/tapioca/issues/2222
Tapioca::Dsl::Compilers::ActiveJob creates an invalid RBI for generic job classes,2,help-wanted,2025-03-13,https://github.com/shopify/tapioca/issues/2233
Check for pending migrations doesn't work when rake is in an indirect dependency,1,help-wanted,2025-02-07,https://github.com/shopify/tapioca/issues/2186
