# Issues Total: 115
# Repository: https://github.com/shopify/theme-tools
# Generated: 2025-08-12
#
issue_title,comments_count,labels,opened_date,hyperlink
[Theme Check] MatchingTranslations rule handling Customer Accounts translations incorrectly,4,,2025-05-06,https://github.com/shopify/theme-tools/issues/930
[Bug]: Theme check in CLI does not report cross-file LiquidDoc errors,0,"Severity: 3, Windows",2025-07-30,https://github.com/shopify/theme-tools/issues/1022
`Unknown object` warnings for global Liquid objects in editor when using `{% doc %}` tag,3,,2025-05-14,https://github.com/shopify/theme-tools/issues/944
.shopify/metafields.json is showing up everywhere,1,,2025-07-16,https://github.com/shopify/theme-tools/issues/1005
When I format Liquid code with Shopify Liquid then it is replaced with empty code,1,,2025-07-16,https://github.com/shopify/theme-tools/issues/1004
Not respecting `ignore` list on checks,1,"Bug, area:theme-check",2025-07-09,https://github.com/shopify/theme-tools/issues/1012
Check for deprecated fonts,0,"enhancement, good first issue, area:theme-check",2025-07-18,https://github.com/shopify/theme-tools/issues/1008
Formatting `.liquid` files deletes their contents,16,"Bug, Severity: 3",2024-05-14,https://github.com/shopify/theme-tools/issues/358
`recommendations` is an object that is available to the Section Rendering API,1,tech debt,2024-04-15,https://github.com/shopify/theme-tools/issues/346
RemoteAsset shouldn't throw for video_source.url,0,Bug,2025-07-01,https://github.com/shopify/theme-tools/issues/995
Detect circular dependencies  [Requires: Cross-file checking],3,,2024-11-04,https://github.com/shopify/theme-tools/issues/559
Liquid inside `{% schema %}` should not be visited by theme-check.,0,Bug,2025-01-06,https://github.com/shopify/theme-tools/issues/685
New `visible_if` schema property showing as invalid,4,,2025-05-06,https://github.com/shopify/theme-tools/issues/932
Snippet Usage Treeview Navigation,1,enhancement,2024-10-07,https://github.com/shopify/theme-tools/issues/525
RemoteAsset shouldn't throw for hash URLs,0,,2025-06-13,https://github.com/shopify/theme-tools/issues/982
Rework `DocumentLinks` to use `@shopify/theme-graph`,0,"enhancement, good first issue, tech debt, area:language-server",2025-06-11,https://github.com/shopify/theme-tools/issues/968
VSCode prompt to remove dead code with an alert,0,"enhancement, good first issue, area:theme-check-vscode",2025-06-11,https://github.com/shopify/theme-tools/issues/970
Theme check to notify when files are orphaned,0,"enhancement, good first issue, area:theme-check",2025-06-11,https://github.com/shopify/theme-tools/issues/969
Section blocks are not validated in `presets` or `default`,0,"Bug, SEV-3",2025-06-05,https://github.com/shopify/theme-tools/issues/965
prettier.config.js doesn't load in extension,2,Bug,2024-11-26,https://github.com/shopify/theme-tools/issues/619
ValidLocalBlock throwing false positives,0,Bug,2024-11-19,https://github.com/shopify/theme-tools/issues/608
Support discriminated unions,1,enhancement,2023-11-02,https://github.com/shopify/theme-tools/issues/223
Theme check disable next line does not work for `doc` tag,0,enhancement,2025-05-14,https://github.com/shopify/theme-tools/issues/945
Call Signature support,0,enhancement,2023-10-30,https://github.com/shopify/theme-tools/issues/215
I would like to be warned when a select setting's default value is not a valid option.,0,enhancement,2025-05-09,https://github.com/shopify/theme-tools/issues/943
{% schema %} checking of `t:` translations only seems to be checking `name` properties.,0,Bug,2025-05-09,https://github.com/shopify/theme-tools/issues/942
Can't rename LiquidDoc param when cursor is at the first character of the var name,0,"Bug, SEV-3",2025-05-06,https://github.com/shopify/theme-tools/issues/936
Shortcut enhancements + emmet like functionality,0,"enhancement, good first issue",2025-04-30,https://github.com/shopify/theme-tools/issues/920
Use optional jsonc on schema tags,4,"enhancement, good first issue",2025-02-24,https://github.com/shopify/theme-tools/issues/815
Template JSON needs check for missing static block in Liquid file,0,,2025-05-08,https://github.com/shopify/theme-tools/issues/941
Broken Syntax Highlighting for Spaced Parameter Delimiter,0,"Bug, SEV-4, good first issue",2025-01-04,https://github.com/shopify/theme-tools/issues/684
Add code action to disable a check,4,"enhancement, area:theme-check",2021-11-09,https://github.com/shopify/theme-tools/issues/432
.prettierignore file is ignored by the plugin,2,"good first issue, tech debt, Severity: 3, area:prettier-plugin",2023-04-12,https://github.com/shopify/theme-tools/issues/379
Shopify Liquid VS code extension error Request textDocument/hover failed,1,Windows,2025-03-24,https://github.com/shopify/theme-tools/issues/862
No autocomplete offered for nested properties when key starts with number,0,"Bug, enhancement",2025-03-17,https://github.com/shopify/theme-tools/issues/858
Theme blocks optimisations,4,enhancement,2025-04-09,https://github.com/shopify/theme-tools/issues/882
Warn against missing use of `{{ block.shopify_attributes }}` in blocks with `tag: null`,3,enhancement,2025-04-01,https://github.com/shopify/theme-tools/issues/867
"False Positive """"Variable Assigned but Not Used"""" in Style Tags",1,"Bug, Severity: 3",2024-08-04,https://github.com/shopify/theme-tools/issues/465
Support for .yml.liquid file formatting,2,"enhancement, open for contributions",2025-03-26,https://github.com/shopify/theme-tools/issues/863
