# Issues Total: 198
# Repository: https://github.com/shopify/yjit-metrics
# Generated: 2025-08-12
#
issue_title,comments_count,labels,opened_date,hyperlink
Use rustup to get 1.85+ and rebuild servers,0,,2025-05-15,https://github.com/shopify/yjit-metrics/issues/405
Disable unattended upgrades,0,,2025-02-11,https://github.com/shopify/yjit-metrics/issues/385
Implement CI testing on GitHub pull requests,2,,2024-03-19,https://github.com/shopify/yjit-metrics/issues/233
Automatically detect YJIT coverage regressions?,0,enhancement,2024-11-27,https://github.com/shopify/yjit-metrics/issues/366
Clarify purpose and usefulness of timeline graphs,4,,2024-11-20,https://github.com/shopify/yjit-metrics/issues/348
Change mini timelines to use relative speedup,0,,2024-11-27,https://github.com/shopify/yjit-metrics/issues/370
History page: just link to the full details pages?,0,,2024-11-27,https://github.com/shopify/yjit-metrics/issues/367
GitHub Action to check instance running time,6,,2024-11-20,https://github.com/shopify/yjit-metrics/issues/351
Show compiler and configure options at the top,1,,2024-07-22,https://github.com/shopify/yjit-metrics/issues/284
Report total benchmarking time at top of full details page,0,,2024-11-20,https://github.com/shopify/yjit-metrics/issues/353
Link to short commit SHA on front-page,1,,2024-10-07,https://github.com/shopify/yjit-metrics/issues/323
Report yjit compile time,1,,2024-08-29,https://github.com/shopify/yjit-metrics/issues/306
Minor usability improvements for the full details page,1,,2024-06-20,https://github.com/shopify/yjit-metrics/issues/275
Enable linking to headers,0,,2024-06-17,https://github.com/shopify/yjit-metrics/issues/272
"Add event markers to """"over time"""" graphs",3,,2024-06-17,https://github.com/shopify/yjit-metrics/issues/271
Upgrade Graviton instance again,5,,2024-11-20,https://github.com/shopify/yjit-metrics/issues/347
Tiny graphs on front page disappeared,0,,2024-11-20,https://github.com/shopify/yjit-metrics/issues/349
Add a button that just runs yjit-bench interface,3,,2024-01-25,https://github.com/shopify/yjit-metrics/issues/222
New GitHub Action workflow for on demand commit benchmarking,2,,2024-11-08,https://github.com/shopify/yjit-metrics/issues/344
Dev AMIs,0,,2024-11-08,https://github.com/shopify/yjit-metrics/issues/345
Upgrade AWS Graviton instance,5,,2024-01-24,https://github.com/shopify/yjit-metrics/issues/221
Change speedup reporting to make ourselves look better,2,,2024-09-26,https://github.com/shopify/yjit-metrics/issues/317
Double-check harness and warm up heuristics,12,,2024-09-23,https://github.com/shopify/yjit-metrics/issues/316
Update stats reports to match YJIT latest console format,1,,2023-06-14,https://github.com/shopify/yjit-metrics/issues/214
Add a page to compare durations of the interpreter and YJIT,4,,2024-01-23,https://github.com/shopify/yjit-metrics/issues/220
Could we automatically detect/report performance regressions?,5,enhancement,2024-07-25,https://github.com/shopify/yjit-metrics/issues/285
Automate git gc,1,,2024-02-12,https://github.com/shopify/yjit-metrics/issues/225
Track GC stats,3,,2024-06-20,https://github.com/shopify/yjit-metrics/issues/276
Wishlist for the speed.yjit.org front page,0,enhancement,2024-05-17,https://github.com/shopify/yjit-metrics/issues/255
