# Issues Total: 96
# Repository: https://github.com/stripe/stripe-dotnet
# Generated: 2025-08-13
#
issue_title,comments_count,labels,opened_date,hyperlink
"Documentation states that new """"surcharge"""" fields should be present in new beta versions, but they do not exist.",1,bug,2025-08-12,https://github.com/stripe/stripe-dotnet/issues/3161
STJUnixDateTimeConverter does not handle nullable DateTime properties correctly,5,bug,2025-07-31,https://github.com/stripe/stripe-dotnet/issues/3157
"Unable to Access UsBankAccount.VerificationStatus Property from PaymentMethod of  Type = """"us_bank_account"""",",1,bug,2025-07-30,https://github.com/stripe/stripe-dotnet/issues/3154
Difficulty to obtain the invoice/intent/charge connections,3,bug,2025-07-21,https://github.com/stripe/stripe-dotnet/issues/3149
Missing customer level coupon migration between 47.* to 48.*,1,feature-request,2025-07-21,https://github.com/stripe/stripe-dotnet/issues/3148
The expected signature was not found in the Stripe-Signature header.,1,bug,2025-07-10,https://github.com/stripe/stripe-dotnet/issues/3146
Official Stripe sample for this library is completely broken,1,bug,2025-07-03,https://github.com/stripe/stripe-dotnet/issues/3144
System.ValueTuple 4.6.1 not compatible with Stripe.net 48.2.0,6,bug,2025-06-19,https://github.com/stripe/stripe-dotnet/issues/3140
Can't expand PaymentIntent object when expanding an invoice.,1,bug,2025-06-11,https://github.com/stripe/stripe-dotnet/issues/3138
Deserialization error in .NET SDK when using StripeClient.ParseThinEvent(),3,bug,2025-06-07,https://github.com/stripe/stripe-dotnet/issues/3136
InvoiceService.ListAsync: Can't expand subscription,2,bug,2025-06-04,https://github.com/stripe/stripe-dotnet/issues/3135
Version 48 (Basil) feedback,3,bug,2025-05-30,https://github.com/stripe/stripe-dotnet/issues/3134
RegistrationId and TaxId from code after the onboarding process,2,bug,2025-05-27,https://github.com/stripe/stripe-dotnet/issues/3130
Lack of nullability of reference types,4,"bug, future",2025-01-01,https://github.com/stripe/stripe-dotnet/issues/3041
"SubscriptionScheduleCreateOptions.Phases[0].StartDate triggers """"Received unknown parameter: phases[0][start_date]"""" even with valid DateTime",1,bug,2025-05-21,https://github.com/stripe/stripe-dotnet/issues/3129
Unable to Retrieve Invoice from InvoiceEvent,6,bug,2025-04-17,https://github.com/stripe/stripe-dotnet/issues/3108
checkout_session.payment_intent_data can not be retrieved when downloading the session object,7,feature-request,2025-04-22,https://github.com/stripe/stripe-dotnet/issues/3113
Invoice Pdf shows payment Amont due but receipt shows Amount paid,1,bug,2025-04-10,https://github.com/stripe/stripe-dotnet/issues/3098
Putting HttpClientFactory back on the radar,12,"future, feature-request",2023-04-18,https://github.com/stripe/stripe-dotnet/issues/2681
Timezone missing in CustomerCreateOptions and CustomerUpdateOptions,5,feature-request,2025-03-14,https://github.com/stripe/stripe-dotnet/issues/3061
Fetching prices twice at the same time throws InvalidOperationException,3,bug,2025-04-11,https://github.com/stripe/stripe-dotnet/issues/3100
Incorrect proration when increasing subscription quantity after 100% discount,2,bug,2025-04-15,https://github.com/stripe/stripe-dotnet/issues/3103
Stripe.StripeException: Invalid response object from API,7,bug,2025-03-20,https://github.com/stripe/stripe-dotnet/issues/3068
Configuation issue on Ubuntu 22.04,3,bug,2025-03-19,https://github.com/stripe/stripe-dotnet/issues/3067
(v48.0.0 breaking changes) - Help me understand the move from Subscription.CurrentPeriodEnd to SubscriptionItem.CurrentPeriodEnd,7,bug,2025-04-02,https://github.com/stripe/stripe-dotnet/issues/3089
Billing Portal Configuration - Not serialising correctly (Update Products),1,bug,2025-03-09,https://github.com/stripe/stripe-dotnet/issues/3057
Upgrade to v48 has breaking changes,2,bug,2025-04-02,https://github.com/stripe/stripe-dotnet/issues/3086
StripeException.Error.Code is null when updating a subscription with cancel_at value in the past,4,bug,2024-12-05,https://github.com/stripe/stripe-dotnet/issues/3034
Failure to parse response from /v1/forwarding/requests,13,bug,2024-11-08,https://github.com/stripe/stripe-dotnet/issues/3028
Provide Dependency injection support,16,future,2019-12-16,https://github.com/stripe/stripe-dotnet/issues/1882
Pleasse Support System.Text.Json,2,feature-request,2024-05-10,https://github.com/stripe/stripe-dotnet/issues/2910
