# Issues Total: 213
# Repository: https://github.com/stripe/stripe-js
# Generated: 2025-08-12
#
issue_title,comments_count,labels,opened_date,hyperlink
[BUG]: Failed to load Stripe,1,bug,2025-08-11,https://github.com/stripe/stripe-js/issues/797
Luminosity ratio of the focus indicator on 'x' button is less than required 3:1 ratio on the 'scan ....' popup.,2,bug,2025-07-15,https://github.com/stripe/stripe-js/issues/779
"There is no visual label for the form elements (like email, country combo box, mobile number, First and last name) under the 'Pay' tab.",2,bug,2025-07-15,https://github.com/stripe/stripe-js/issues/781
Screen reader is not announcing accessible name for 'Country' combo box available on pay tab.,2,bug,2025-07-15,https://github.com/stripe/stripe-js/issues/780
Luminosity ratio of the focus indicator on 'country' is less than required ratio of 3:1.,2,bug,2025-07-15,https://github.com/stripe/stripe-js/issues/782
Screen reader does not announce the name for info (i) button in windows.,2,bug,2025-07-17,https://github.com/stripe/stripe-js/issues/785
Visual label names are not descriptive for Expiration combo box in windows.,2,bug,2025-07-17,https://github.com/stripe/stripe-js/issues/786
[BUG]: 3D Secure Authentication behind top layer elements,25,"bug, pinned",2024-04-12,https://github.com/stripe/stripe-js/issues/599
Lack of Cross-Origin-Related HTTP Security Headers,20,"enhancement, stale",2023-02-01,https://github.com/stripe/stripe-js/issues/417
Luminosity ratio of the text is less than required 4.5:1 under the scan 'cash app pay' popup.,2,bug,2025-07-15,https://github.com/stripe/stripe-js/issues/783
"Error identification message is not provided at """"Credit card number"""", CVC/CVN"""" and """"Expiration date"""" form fields.",2,bug,2025-07-15,https://github.com/stripe/stripe-js/issues/784
[BUG]: Neither apiKey nor config.authenticator provided,29,bug,2024-10-13,https://github.com/stripe/stripe-js/issues/667
[BUG]: Wechat failed payment doesn't return an error when calling stripe.confirmPayment(),6,bug,2024-04-03,https://github.com/stripe/stripe-js/issues/590
Provide an API version constant for the types,22,"enhancement, pinned",2023-08-16,https://github.com/stripe/stripe-js/issues/483
[BUG]: Express checkout element - Apple pay button corners are transparent when changing the border radius,2,bug,2025-07-18,https://github.com/stripe/stripe-js/issues/787
[BUG]: Accessibility WCAG audit non-conformance,4,bug,2023-02-13,https://github.com/stripe/stripe-js/issues/422
[BUG]: Better error handling when using Express Checkout + Apple Pay,4,bug,2024-04-29,https://github.com/stripe/stripe-js/issues/605
"[BUG]: ExpressCheckoutElement.on doesn't support """"click"""" handler",1,bug,2025-07-15,https://github.com/stripe/stripe-js/issues/778
[BUG]: unable to use stripe identity anymore on react,2,"bug, stale",2025-06-08,https://github.com/stripe/stripe-js/issues/766
[BUG]: Scroll resets when Payment element mounts on Safari,1,bug,2025-07-01,https://github.com/stripe/stripe-js/issues/774
[BUG]: `CardElement` not focusing next element on forward tab when within iframe ,12,"bug, pinned",2022-11-15,https://github.com/stripe/stripe-js/issues/384
[BUG]: Afterpay payment preview not displaying correct value,1,bug,2025-06-25,https://github.com/stripe/stripe-js/issues/772
"[BUG]: element.create('address', options) - autocomplete option using Legacy Google Places",3,"bug, stale",2025-06-02,https://github.com/stripe/stripe-js/issues/762
[BUG]: runServerUpdate doesn't actually exist,6,"bug, stale",2025-05-01,https://github.com/stripe/stripe-js/issues/754
[BUG]: Stripe.js throws unclear error when passed undefined instead of string,3,"bug, stale",2025-04-11,https://github.com/stripe/stripe-js/issues/748
[BUG]: confirmAcssDebitSetup seems ignore the passed in mandate_data,1,"bug, stale",2025-05-17,https://github.com/stripe/stripe-js/issues/758
"[BUG]: Klarna requires additional """"mandate_data"""" when using Stripe JS",2,bug,2025-06-04,https://github.com/stripe/stripe-js/issues/763
Add support for configurable fields in the Address Element,2,"bug, stale",2025-05-12,https://github.com/stripe/stripe-js/issues/757
[BUG]: Cannot read properties of undefined (reading: 'match'),1,bug,2025-05-31,https://github.com/stripe/stripe-js/issues/761
Auto-handling of setup_future_usage based on payment method,2,"enhancement, stale",2025-03-15,https://github.com/stripe/stripe-js/issues/739
[NOTICE]: Versioning coming soon to Stripe.js. Pay attention to breaking changes in the next release.,1,pinned,2025-03-06,https://github.com/stripe/stripe-js/issues/733
[BUG]: Support chrome 63,2,bug,2025-05-06,https://github.com/stripe/stripe-js/issues/755
[BUG]: Issue: Stripe Integration Errors in Magento 1.9,15,bug,2025-02-10,https://github.com/stripe/stripe-js/issues/717
[BUG]: Stripe.js does not seem to load on subsequent app launches,3,bug,2025-04-07,https://github.com/stripe/stripe-js/issues/746
[BUG]: Stripe autofill invalid color,8,bug,2024-10-13,https://github.com/stripe/stripe-js/issues/668
It would be nice to be able to pass `customPaymentMethods` to elements.update (feature request),5,bug,2025-01-06,https://github.com/stripe/stripe-js/issues/706
"[BUG]: Custom styling fails for Payment Elements (Secure, 1-click checkout with Link)",5,"bug, stale",2024-05-29,https://github.com/stripe/stripe-js/issues/612
[BUG]: Please check your internet connection,19,"bug, stale",2024-12-03,https://github.com/stripe/stripe-js/issues/696
"[BUG]: Copy card details (number, cvc, etc.) not working in stripe-js embedded in webview",3,bug,2025-03-02,https://github.com/stripe/stripe-js/issues/724
[BUG]: accessible name on element iframe,2,bug,2025-02-10,https://github.com/stripe/stripe-js/issues/716
[BUG]: Documentation for loading stripe pure not correct for ESM environments.,5,"bug, stale",2025-01-27,https://github.com/stripe/stripe-js/issues/714
[BUG]: Cannot style read-only state of Payment Element,3,"bug, stale",2025-01-15,https://github.com/stripe/stripe-js/issues/710
Cancel reader action,1,"bug, stale",2025-01-10,https://github.com/stripe/stripe-js/issues/708
[BUG]: Link form validation skipped after logout,6,"bug, stale",2024-11-28,https://github.com/stripe/stripe-js/issues/695
[BUG]: Google pay button border looks thicker with white theme,4,bug,2025-01-10,https://github.com/stripe/stripe-js/issues/709
[BUG]: IntegrationError: Invalid stripe.redirectToCheckout parameter: trialEnd is not an accepted parameter.,1,bug,2025-01-16,https://github.com/stripe/stripe-js/issues/711
[BUG]: Unable to retrieve the origin of the event,2,"bug, stale",2024-11-21,https://github.com/stripe/stripe-js/issues/691
[BUG]: StripeEmbeddedCheckout.destroy cannot safely be called multiple times and no way to check a destroyed property,3,"bug, stale",2024-11-19,https://github.com/stripe/stripe-js/issues/685
[BUG]: confirmTwintPayment is missing from Stripe interface,2,"bug, stale",2024-11-18,https://github.com/stripe/stripe-js/issues/682
[BUG]: automatic_async does not exist in captureMethod of StripeElementsUpdateOptions,2,"bug, stale",2024-11-08,https://github.com/stripe/stripe-js/issues/677
[BUG]: confirmSetup overloads are incorrectly throwing errors,2,"bug, stale",2024-10-22,https://github.com/stripe/stripe-js/issues/673
[BUG]: Google Pay method with SetupIntent always show $0.00,1,bug,2025-01-03,https://github.com/stripe/stripe-js/issues/705
[BUG]: defaultValues and fields configuration ignored if Payment Element is initialised without Payment intent,4,bug,2024-12-13,https://github.com/stripe/stripe-js/issues/701
[BUG]: Wrong stripe-js version in dist,4,bug,2024-12-12,https://github.com/stripe/stripe-js/issues/699
"[BUG]: `CardElement` conditional rendering triggers """"IntegrationError: We could not retrieve data from the specified Element."""" ",8,bug,2024-01-08,https://github.com/stripe/stripe-js/issues/535
"[BUG]: 1px """"hidden"""" iframes at the bottom of body",2,"bug, stale",2024-09-04,https://github.com/stripe/stripe-js/issues/644
[BUG]: types of address attributes differ marginally,2,"bug, stale",2024-08-27,https://github.com/stripe/stripe-js/issues/640
[BUG]: Documentation is very inaccessible with screen reader.,2,"bug, stale",2024-08-30,https://github.com/stripe/stripe-js/issues/642
[REQUEST]: Custom placeholder option for inputs in Address Element. ,4,"bug, stale",2024-07-04,https://github.com/stripe/stripe-js/issues/629
