# Issues Total: 183
# Repository: https://github.com/stripe/stripe-node
# Generated: 2025-08-12
#
issue_title,comments_count,labels,opened_date,hyperlink
Missing 'nz_bank_account' in PaymentMethodType in SessionResources.d.ts,2,bug,2025-06-30,https://github.com/stripe/stripe-node/issues/2359
createPreview doesn't expand `lines.data.price.tiers`,1,bug,2025-08-05,https://github.com/stripe/stripe-node/issues/2382
Auto-pagination error iterating over subscriptions when updating last record of page to canceled state,3,bug,2025-07-09,https://github.com/stripe/stripe-node/issues/2368
Requests not aborted within timeout,8,bug,2025-05-06,https://github.com/stripe/stripe-node/issues/2332
Customer portal config - set min/max quantity range,3,feature-request,2025-07-21,https://github.com/stripe/stripe-node/issues/2378
with Subscription object payment intent within latest invoice is not longer populated,1,bug,2025-07-10,https://github.com/stripe/stripe-node/issues/2369
stripe.invoices.retrieveUpcoming in SDK docs appears to be incorrect,1,bug,2025-07-07,https://github.com/stripe/stripe-node/issues/2366
Stripe V2 Account Link Preview - Results in 404,1,bug,2025-07-03,https://github.com/stripe/stripe-node/issues/2364
TypeScript types are not accurate when expanding data and it's very annoying.,5,"bug, future",2025-05-03,https://github.com/stripe/stripe-node/issues/2327
Add support for accounts v2,0,feature-request,2025-07-02,https://github.com/stripe/stripe-node/issues/2361
Export current api version string,0,"future, feature-request",2025-06-26,https://github.com/stripe/stripe-node/issues/2357
Zod schemas,3,"future, feature-request",2025-06-18,https://github.com/stripe/stripe-node/issues/2350
"apiVersion set in new Stripe, but ephemeralKeys.create still ask for it",1,bug,2025-06-18,https://github.com/stripe/stripe-node/issues/2351
`current_period_start` and `current_period_end` are not in the `Subscription` type,1,bug,2025-06-22,https://github.com/stripe/stripe-node/issues/2353
Promotion code first_time_transaction isn't applied correctly,3,bug,2025-06-13,https://github.com/stripe/stripe-node/issues/2349
invoices.createPreview failing on customer param,1,bug,2025-06-11,https://github.com/stripe/stripe-node/issues/2347
"Link used in """"mcc"""" annotation goes to a missing page",2,bug,2025-05-17,https://github.com/stripe/stripe-node/issues/2340
Add AbortSignal support,8,"future, feature-request",2024-12-17,https://github.com/stripe/stripe-node/issues/2241
No signatures found matching the expected signature for payload,3,bug,2025-05-09,https://github.com/stripe/stripe-node/issues/2337
`retrieveUpcoming` missing?,1,bug,2025-05-07,https://github.com/stripe/stripe-node/issues/2334
Billing thresholds were removed from the API without adequate replacement,1,bug,2025-05-04,https://github.com/stripe/stripe-node/issues/2328
Default Node `httpClient` configuration does not get mocked by MSW nor upcoming Nock version,5,"bug, future",2024-10-21,https://github.com/stripe/stripe-node/issues/2211
Accounts v2 API - Metadata not persisting,1,bug,2025-04-25,https://github.com/stripe/stripe-node/issues/2315
`.retrieve()` calls should accept the object as first argument and allow reusing existing expansions,1,"future, feature-request",2025-04-17,https://github.com/stripe/stripe-node/issues/2305
"Usage records and retrieveUpcoming methods are removed in 18.0.0, but required for migrating customers to the new Meters API.",5,bug,2025-04-12,https://github.com/stripe/stripe-node/issues/2303
`stripe.invoices.upcoming` in SDK docs appears to be incorrect,2,bug,2025-03-20,https://github.com/stripe/stripe-node/issues/2275
Property 'quantity' does not exist on type 'Response<Subscription>',3,bug,2023-09-21,https://github.com/stripe/stripe-node/issues/1909
Detect breaking changes,1,feature-request,2025-04-04,https://github.com/stripe/stripe-node/issues/2296
Missing payment_intent in Invoice,2,bug,2025-04-05,https://github.com/stripe/stripe-node/issues/2299
NPM module alias doesn't allow for module type resolution.,1,bug,2025-04-03,https://github.com/stripe/stripe-node/issues/2295
Type issues,3,feature-request,2024-09-14,https://github.com/stripe/stripe-node/issues/2176
Stripe.SubscriptionSchedule.Phase type is missing trial property,3,"bug, future",2025-03-09,https://github.com/stripe/stripe-node/issues/2267
Specify a major release for `apiVersion`,3,"future, feature-request",2025-03-18,https://github.com/stripe/stripe-node/issues/2273
Metadata not passed in customer.subscription.created when using live webhook,2,bug,2025-03-29,https://github.com/stripe/stripe-node/issues/2290
"""""Narrative"""" missing from evidence/dispute.",1,bug,2025-03-26,https://github.com/stripe/stripe-node/issues/2280
