# Issues Total: 341
# Repository: https://github.com/stripe/stripe-react-native
# Generated: 2025-08-13
#
issue_title,comments_count,labels,opened_date,hyperlink
Sync with latest klarna requirements,1,,2025-08-02,https://github.com/stripe/stripe-react-native/issues/2031
Support TWINT as a payment method,4,,2025-08-06,https://github.com/stripe/stripe-react-native/issues/2039
Stripe SDK confirmPayment must not be null,4,,2025-08-08,https://github.com/stripe/stripe-react-native/issues/2048
Cannot access Primary Button from Payment Sheet on Android in Detox Tests,4,,2023-09-14,https://github.com/stripe/stripe-react-native/issues/1504
Update jest/mocks.ts for the EmbeddedElement feature,0,,2025-08-07,https://github.com/stripe/stripe-react-native/issues/2046
App crashes when presenting PaymentSheet on Android,3,,2025-08-07,https://github.com/stripe/stripe-react-native/issues/2045
'StripeSdk' could not be found,16,,2025-06-02,https://github.com/stripe/stripe-react-native/issues/1962
Including customPaymentMethodConfiguration crashes the app,2,,2025-07-23,https://github.com/stripe/stripe-react-native/issues/2015
[Payment sheet] Localization support,38,docs,2021-05-20,https://github.com/stripe/stripe-react-native/issues/243
Including the library without using it breaks expo web,7,,2025-05-29,https://github.com/stripe/stripe-react-native/issues/1954
Type 'PaymentSheet.Appearance.EmbeddedPaymentElement.Row.Style' has no member 'flatWithChevron',0,,2025-08-05,https://github.com/stripe/stripe-react-native/issues/2034
Credit card icon not displaying on Android real devices and some iOS devices,6,,2024-07-01,https://github.com/stripe/stripe-react-native/issues/1682
CardField causing app to crush,5,,2025-04-11,https://github.com/stripe/stripe-react-native/issues/1883
Ability to override theme in PaymentSheet initialization,2,,2025-07-20,https://github.com/stripe/stripe-react-native/issues/2007
UnsupportedModulePropertyParserError: Module NativeStripeSdkModule: TypeScript interfaces extending TurboModule must only contain 'FunctionTypeAnnotation's or non nullable 'EventEmitter's. Property 'onConfirmHandlerCallback' refers to a 'TSTypeReference'.,2,,2025-07-28,https://github.com/stripe/stripe-react-native/issues/2027
"Android handleNextAction got 3 arguments, expected 4",4,,2025-05-31,https://github.com/stripe/stripe-react-native/issues/1960
Module NativeStripeSdkModule: TypeScript interfaces extending TurboModule must only contain 'FunctionTypeAnnotation's. Property 'onConfirmHandlerCallback' refers to a 'TSTypeReference',8,,2025-06-24,https://github.com/stripe/stripe-react-native/issues/1977
