# Issues Total: 230
# Repository: https://github.com/stripe/stripe-terminal-react-native
# Generated: 2025-08-13
#
issue_title,comments_count,labels,opened_date,hyperlink
EAS build with fresh install on Expo 52 fails,7,,2025-03-20,https://github.com/stripe/stripe-terminal-react-native/issues/898
Changing Terminal Tokens,5,,2025-06-29,https://github.com/stripe/stripe-terminal-react-native/issues/982
Add ability to simulate terminal error codes,3,feature-request,2025-08-01,https://github.com/stripe/stripe-terminal-react-native/issues/1007
"Facing issue with react native version 0.77.2,",7,Tap to Pay,2025-05-09,https://github.com/stripe/stripe-terminal-react-native/issues/936
"Issue with Implementing """"Tap to Pay"""" using Stripe Terminal in React Native App",11,,2023-12-12,https://github.com/stripe/stripe-terminal-react-native/issues/589
ERROR  First initialize the Stripe Terminal SDK before performing any action,13,bug,2024-04-05,https://github.com/stripe/stripe-terminal-react-native/issues/659
Missing tapZoneIndicator option for NFC readers located to the right of the screen,5,"enhancement, Tap to Pay",2025-06-18,https://github.com/stripe/stripe-terminal-react-native/issues/970
Bluetooth reader connection and dis-connection issue,0,,2025-08-01,https://github.com/stripe/stripe-terminal-react-native/issues/1008
setReaderDisplay not supported on S700,1,,2025-08-01,https://github.com/stripe/stripe-terminal-react-native/issues/1005
Trouble with locally testing reader updates,2,,2025-07-22,https://github.com/stripe/stripe-terminal-react-native/issues/997
Reader update failed due to lack of internet connection,3,,2025-07-27,https://github.com/stripe/stripe-terminal-react-native/issues/1003
RE: USB on iPad - Redistributable DriverKit System Extension?,1,feature-request,2025-07-26,https://github.com/stripe/stripe-terminal-react-native/issues/1002
"ERROR  TypeError: Cannot read property 'getConstants' of null, js engine: hermes",2,,2025-07-24,https://github.com/stripe/stripe-terminal-react-native/issues/1001
Incompatible with React 19.0.0! When will the next update be released?,9,,2025-07-03,https://github.com/stripe/stripe-terminal-react-native/issues/983
PaymentIntent `sdkUuid` is blank after `confirmPaymentIntent` failed,0,bug,2025-06-26,https://github.com/stripe/stripe-terminal-react-native/issues/978
"Issue with Bluetooth Terminal Stuck in """"Processing"""" After SDK Update",11,,2025-07-15,https://github.com/stripe/stripe-terminal-react-native/issues/993
discoverReaders stuck on unresolved promise,9,integration,2024-04-09,https://github.com/stripe/stripe-terminal-react-native/issues/661
The Stripe Terminal React Native SDK does not allow the implementation of a custom timeout for the `collectPaymentMethod` function.,3,"feature-request, Tap to Pay",2025-01-20,https://github.com/stripe/stripe-terminal-react-native/issues/877
Android OOM issue on v0.0.1-beta.23,4,bug,2025-04-02,https://github.com/stripe/stripe-terminal-react-native/issues/911
Request: Restart the entire native SDK when Javascript app bundle is restarted (Could not execute discoverReaders because the SDK is busy with another command: discoverReaders),5,"enhancement, feature-request",2023-10-12,https://github.com/stripe/stripe-terminal-react-native/issues/553
Interac co-branded cards not being accepted on SetupIntent,9,Tap to Pay,2025-02-24,https://github.com/stripe/stripe-terminal-react-native/issues/887
Direct Charges on Tap to Pay on a Connected account is not possible,3,"Tap to Pay, integration",2024-09-21,https://github.com/stripe/stripe-terminal-react-native/issues/819
Issue Kiosk -> Elo Touch Solutions -> 22in-I-Series-4 Tap below device - NFC Position,1,"feature-request, Tap to Pay",2025-04-29,https://github.com/stripe/stripe-terminal-react-native/issues/929
Failed to generate key pair [Android 11],4,Tap to Pay,2024-09-18,https://github.com/stripe/stripe-terminal-react-native/issues/817
Android - INTEGRATION_ERROR.TAP_TO_PAY_INSECURE_ENVIRONMENT,4,Tap to Pay,2025-06-14,https://github.com/stripe/stripe-terminal-react-native/issues/966
Feature Request (iOS) Educating Merchants Modal,1,Tap to Pay,2025-02-10,https://github.com/stripe/stripe-terminal-react-native/issues/885
com.stripeterminalreactnative.TokenProvider.setConnectionToken Android Crash,3,,2025-06-26,https://github.com/stripe/stripe-terminal-react-native/issues/979
is there a way to work with library without the hook api ? ,10,"enhancement, feature-request",2024-01-28,https://github.com/stripe/stripe-terminal-react-native/issues/614
Latest React and react native version peer dependency conflicts,15,,2025-04-04,https://github.com/stripe/stripe-terminal-react-native/issues/914
Unexpected layout rotation at tap-to-pay screen when calling collectPaymentMethod,3,,2023-11-16,https://github.com/stripe/stripe-terminal-react-native/issues/571
[bug] `PaymentIntent` type inconsistencies,1,bug,2024-11-19,https://github.com/stripe/stripe-terminal-react-native/issues/856
Remove the need to wrap up the whole app in the StripeTerminalProvider component,2,"enhancement, feature-request",2024-10-21,https://github.com/stripe/stripe-terminal-react-native/issues/838
collectPaymentMethod is hanging on IOS.,3,,2025-06-26,https://github.com/stripe/stripe-terminal-react-native/issues/976
[Feature Request] iOS TOS Popup,4,"feature-request, Tap to Pay",2025-05-14,https://github.com/stripe/stripe-terminal-react-native/issues/940
[TapToPay] Inconsistent error code when user cancel the payment depending on the platform,4,Tap to Pay,2024-03-11,https://github.com/stripe/stripe-terminal-react-native/issues/634
Mismatch between TypeScript and returned value,1,bug,2023-09-14,https://github.com/stripe/stripe-terminal-react-native/issues/543
App Crash and Slowness After Payment with Expo 51 and Stripe Terminal,7,Tap to Pay,2024-06-27,https://github.com/stripe/stripe-terminal-react-native/issues/744
client_secret not exposed following createPaymentIntent,2,feature-request,2025-06-02,https://github.com/stripe/stripe-terminal-react-native/issues/957
Automatically add Tap to Pay Capability,1,Tap to Pay,2025-05-29,https://github.com/stripe/stripe-terminal-react-native/issues/955
Unable to rediscover BluetoothScan devices after pairing (M2),1,,2025-06-18,https://github.com/stripe/stripe-terminal-react-native/issues/972
Stripe issue while using stripe-react-native and terminal library at the same time,1,,2025-06-20,https://github.com/stripe/stripe-terminal-react-native/issues/974
Could not execute discoverReaders because the SDK is busy with another command: discoverReaders,1,,2025-01-28,https://github.com/stripe/stripe-terminal-react-native/issues/879
[bug] Contactless transaction failed com.stripe.core.aidIrpc.AidIRpcException: Failed to send request to AIDL server.,18,Tap to Pay,2024-09-12,https://github.com/stripe/stripe-terminal-react-native/issues/809
CollectPaymentMethod Hanging?,9,Tap to Pay,2025-03-17,https://github.com/stripe/stripe-terminal-react-native/issues/893
Manage dynamic discover reader method,1,"feature-request, Tap to Pay",2025-06-09,https://github.com/stripe/stripe-terminal-react-native/issues/962
Tap to Pay option not available in discoverReaders using @stripe/stripe-terminal-react-native,8,Tap to Pay,2025-06-05,https://github.com/stripe/stripe-terminal-react-native/issues/960
collectPaymentMethod property remains null,6,documentation,2025-05-22,https://github.com/stripe/stripe-terminal-react-native/issues/947
onFinishDiscoveringReaders not called after timeout - unable to trigger subsequent events,5,,2025-05-13,https://github.com/stripe/stripe-terminal-react-native/issues/938
Tip in UK,1,"question, Tap to Pay",2025-06-02,https://github.com/stripe/stripe-terminal-react-native/issues/956
"""""Timed out connecting to remote host"""" on public Webhook",1,,2025-05-28,https://github.com/stripe/stripe-terminal-react-native/issues/951
Android build not resolving StripeTerminalProvider,5,,2025-05-27,https://github.com/stripe/stripe-terminal-react-native/issues/950
Reader Fails to Connect,3,,2025-05-26,https://github.com/stripe/stripe-terminal-react-native/issues/949
NOT_INITIALIZED (null): adk not initialized,7,,2025-05-23,https://github.com/stripe/stripe-terminal-react-native/issues/948
Android restart app due to repeated failure to freeze binder,2,,2025-05-22,https://github.com/stripe/stripe-terminal-react-native/issues/946
App crashing when using discoverReaders method.,6,,2024-07-06,https://github.com/stripe/stripe-terminal-react-native/issues/751
"Android Error when initializing Tap to Pay: """"Localmobile reader not operating in secure process""""",12,Tap to Pay,2024-12-19,https://github.com/stripe/stripe-terminal-react-native/issues/866
Showing toast when opening Tap to Pay app in kiosk mode,1,Tap to Pay,2025-04-15,https://github.com/stripe/stripe-terminal-react-native/issues/919
on device tip amount returns null on ios ,2,next release,2024-11-15,https://github.com/stripe/stripe-terminal-react-native/issues/854
Key expiring and throwing,2,,2024-05-06,https://github.com/stripe/stripe-terminal-react-native/issues/687
TapToPay disappears after go to the Home screen,1,Tap to Pay,2025-01-29,https://github.com/stripe/stripe-terminal-react-native/issues/880
allow_redisplay not supported in collectPaymentMethod contrary to docs,6,next release,2024-12-03,https://github.com/stripe/stripe-terminal-react-native/issues/858
M2 Reader Detection Issue on Certain Android Devices,2,,2024-11-13,https://github.com/stripe/stripe-terminal-react-native/issues/852
Issue with Stripe Terminal Integration - Compile Error,2,,2024-10-31,https://github.com/stripe/stripe-terminal-react-native/issues/842
onFinishDiscoveringReaders not getting called,3,,2024-08-28,https://github.com/stripe/stripe-terminal-react-native/issues/798
[Feature Request] Possible improvements to cross-platform support,0,enhancement,2024-08-22,https://github.com/stripe/stripe-terminal-react-native/issues/795
"First initialize the Stripe Terminal SDK before performing any action""""",5,,2024-07-04,https://github.com/stripe/stripe-terminal-react-native/issues/749
Production Android Build Not Connect With Reader With Live_Stripe_KEY Using v0.0.1-beta.16 Version.,15,,2024-05-24,https://github.com/stripe/stripe-terminal-react-native/issues/711
